,Vienna,Brussels,Paris,Thessaloniki,Oslo,London,Hong Kong,Tokyo,Detroit,Las Vegas,Los Angeles,Miami,Minneapolis,New York,Phoenix,Portland,San Diego,San Francisco,Seattle,Tampa
1995-03-31,107.3,46,2700,26.14,17.0,74000,113.3,153.0,70.73898434,87.74011591,75.77565159,86.75390813,74.78362284,78.56712582,75.67028,78.40070378,73.00053795,67.72523946,71.96274977,85.71257108
1995-06-30,105.6,45,2650,26.14,17.6,76000,108.2,148.8,70.56058046,88.02933659,74.55546599,86.96212106,75.58286371,78.43181627,76.78954131,79.15786432,72.10048852,66.92125416,71.43447271,86.40986817
1995-09-30,111.6,48,2630,27.45,18.2,75000,101.6,145.6,71.93752928,88.64819122,74.19116631,87.23714047,76.23008014,78.50593278,77.60153685,81.2481059,72.18940194,67.10789585,72.60804593,86.91893803
1995-12-31,102.8,48,2550,27.48,18.4,75000,103.9,148.0,73.20557344,89.12769002,73.93694589,87.51504496,76.13776726,78.85489946,78.86103437,82.68142218,71.81080658,66.84972074,73.23765543,87.13339698
1996-03-31,108.9,45,2430,28.74,18.8,76000,112.8,147.1,74.70568815,89.44004219,73.85540325,87.16270056,76.81987853,79.50162265,80.07869708,84.47716691,71.76444481,66.80768708,73.73531924,87.85623177
1996-06-30,110.2,48,2420,28.83,20.2,78000,115.0,147.3,76.50940238,90.21653008,74.15439578,87.57438438,77.34428993,79.36632996,81.01945807,86.25564718,71.83395777,67.01561405,74.00505134,87.8764516
1996-09-30,105.5,48,2420,28.83,20.5,80000,118.2,143.5,78.02051158,89.81414896,73.99947215,87.98318559,78.47260411,79.75952967,81.85514598,87.94748916,71.70565559,67.79587905,74.28156390000001,87.78521777
1996-12-31,103.5,47,2390,28.95,21.5,81000,134.5,136.5,79.17055386,90.142155,74.51555366,87.99853058,79.58539509999999,80.19763520000001,82.47599777,90.74569807,72.21576182,69.20716989,75.15063512,88.72468696
1997-03-31,108.0,45,2280,29.59,22.7,85000,162.2,140.2,80.24743575,91.91016623,74.79060446,88.34070981,79.89467808,80.58976509,83.54929649,93.09838928,72.97456521,70.63641283,76.86524642,87.95456096
1997-06-30,105.9,48,2300,29.59,24.1,89000,172.0,136.0,82.22028572,91.72252405,76.19281468,88.75044231,80.72591892,81.39361131,84.39287552,93.03426698,74.05495103,72.31046201,79.65272632,88.81822958
1997-09-30,110.7,51,2270,29.94,24.2,94000,170.3,139.2,83.480352,92.58626547,77.55531435,89.17145214,81.76439525,82.06119045,85.02708209,93.16826022,75.38222831,74.11510266,81.69227554,89.44007837
1997-12-31,106.6,50,2260,32.36,25.1,97000,155.0,131.7,84.7541087,93.20487638,79.90761184,90.32575944,82.58676546,83.27303364,86.55868266,93.93921416,78.08675145,76.49970289,83.67007712,90.08667724
1998-03-31,105.1,47,2250,36.81,27.5,99000,138.7,130.7,86.27929731,94.78434118,83.65321759,91.13743994,83.70152688,84.94315266,87.69138828,94.552148,81.00992823,78.30659237,86.30299327,91.39372381
1998-06-30,101.0,49,2280,36.81,28.8,103000,112.5,124.0,88.05693388,94.22762255,86.44541836,92.03294106,85.347894,86.48242497,89.25213735,95.69555839,84.05077152,81.39190998,88.38395112,91.88297073
1998-09-30,104.0,51,2320,36.88,28.2,105000,98.5,125.1,89.44571738,94.78792633,90.08424997,93.06796827,86.77037212,88.22857965,90.61764983,96.77256928,87.13130098,84.43969142,90.47940521,93.23440409
1998-12-31,100.1,50,2340,37.46,27.3,105000,104.6,121.4,91.50457591,95.63437541,91.7812348,93.56889318,89.04411574,89.55839963,92.2013613,98.0764595,88.89799508,85.39775518,92.13411423,93.78612188
1999-03-31,100.5,50,2410,37.86,29.5,107000,101.7,120.6,93.48466999,96.69665692,93.38405497,95.11681807,91.27594465,91.28555728,94.02493323,98.74984559,91.98686253,88.29171244,93.88357442,94.86006171
1999-06-30,100.6,54,2460,38.69,32.4,113000,102.3,120.1,94.8871741,97.95334283,96.02552777,96.08017008,93.720114,94.03504795,95.59062737,99.59934205,94.06513664,91.27607868,96.33369145,96.55917081
1999-09-30,100.0,53,2580,39.34,33.4,123000,97.1,120.0,97.41024404,98.57566239,97.67920952,97.88827881,96.98842669,96.79117381,97.61565042,100.33699969999999,96.95752136,95.59622742,98.19860695,97.98971479999999
1999-12-31,98.9,52,2630,40.12,34.7,128000,95.7,120.1,99.47795716,99.85235172,100.32964840000001,99.31631555,99.62593091,99.35197738,99.64444829,100.52833670000001,100.0737129,100.02915290000001,100.52828670000001,99.68455107
2000-03-31,100.3,55,2740,40.41,38.5,134000,95.3,117.5,101.3743405,101.4374829,103.2246994,101.0864619,101.6311661,102.06062890000001,101.7151348,101.5559328,104.0909461,107.3372227,102.9441449,101.4470557
2000-06-30,100.1,52,2840,41.17,40.3,144000,86.0,117.0,103.27534770000001,102.27847659999999,105.6934072,103.4057955,105.6098482,106.06468829999999,103.70345440000001,102.189657,108.96720959999999,116.8151059,104.43256240000001,104.2270218
2000-09-30,100.2,55,2930,42.59,38.8,147000,88.2,119.8,104.6521813,103.8936804,107.8867871,105.1079676,108.465488,108.82550630000001,104.9660752,102.8113357,112.6560764,120.41485559999998,105.6243827,105.90625220000001
2000-12-31,99.4,56,2960,44.34,37.9,147000,81.8,116.6,106.6794301,105.5192317,110.71600520000001,108.65895230000001,111.73151990000001,111.83959080000001,106.0128828,104.1085066,116.9609436,130.0612341,107.288858,109.8084811
2001-03-31,98.4,57,3040,45.26,40.6,151000,82.1,113.2,108.0410814,106.98561629999999,114.17849709999999,112.27046740000002,116.3910356,115.31419129999999,107.45636950000001,105.10133390000001,122.3211871,134.9369741,108.145494,112.4152115
2001-06-30,98.5,57,3080,46.65,41.7,159000,80.9,110.9,109.14206709999999,109.506724,115.7346117,115.9053588,119.6755966,118.0750461,109.0207496,106.5914852,124.51575929999998,130.8338027,109.73984479999999,115.1989236
2001-09-30,96.4,60,3210,47.6,42.1,165000,77.2,108.9,110.85282590000001,111.7007452,118.3400899,119.5218379,123.19559009999999,121.983005,110.2765554,108.3422752,126.97773290000002,128.18420270000001,111.2109405,118.12495770000001
2001-12-31,93.0,56,3220,50.41,41.6,168000,73.8,107.4,111.25094540000002,113.5169007,121.28961979999998,123.76577820000001,125.9766529,124.57547279999999,111.6535514,108.4060982,129.9879841,126.84308859999999,112.0679733,119.88509450000001
2002-03-31,98.7,58,3240,52.07,43.8,173000,73.3,106.6,112.3353388,115.40456979999999,125.456074,126.64891709999999,128.12330459999998,127.32047639999999,113.2063821,111.13550049999999,133.1933984,129.55993759999998,113.57284009999998,122.9581473
2002-06-30,98.4,57,3330,52.62,45.2,186000,71.8,104.6,113.37689280000001,116.3382142,130.7723064,131.5675032,131.2041354,132.49559309999998,114.6767182,111.29874199999999,140.5380729,137.56918480000002,114.0536346,125.597678
2002-09-30,97.8,59,3500,53.33,44.3,197000,66.7,102.0,114.79711670000002,117.80449409999999,137.23673290000002,136.5818407,133.89471029999999,138.8266875,115.5396142,112.2054834,148.0427742,141.85083469999998,115.04625759999999,128.5738392
2002-12-31,98.6,64,3570,54.66,43.0,203000,64.8,100.4,115.606834,122.0057821,143.9820567,141.7057939,137.9123719,144.91395219999998,116.7144976,113.80203840000001,155.1977373,143.8192908,116.62969620000001,131.8303779
2003-03-31,100.2,61,3660,55.26,43.3,206000,61.2,105.2,116.17070700000001,124.33111699999999,148.88173940000001,147.3891276,140.5726615,149.2158488,119.56335890000001,116.00012379999998,159.6986695,143.9563275,117.99921040000001,135.5203056
2003-06-30,99.3,65,3790,55.76,42.8,209000,59.3,101.9,117.83907659999998,126.9435156,154.0628845,150.720363,142.59284409999998,152.24694540000002,120.6650723,117.66701409999999,164.20072539999998,144.8403059,119.361021,138.66574450000002
2003-09-30,98.4,64,3920,57.43,43.8,213000,60.9,98.1,118.12913619999999,132.6996341,163.5882608,157.0674709,145.8738031,156.3630686,123.0430523,119.45213940000001,173.15118600000002,149.637026,121.69857340000001,141.8645616
2003-12-31,95.6,70,3990,58.41,44.5,217000,65.4,98.4,119.4409467,143.07711880000002,174.7845749,162.6049183,148.75333730000003,161.89504630000002,126.2474386,122.38514679999999,185.045196,155.9872659,124.8350505,145.2327622
2004-03-31,97.8,67,4120,59.24,46.6,221000,78.1,99.0,120.95026419999999,159.83503280000002,188.7866726,170.3128263,152.79395290000002,167.4792502,129.6369804,124.18300559999999,199.05850049999998,162.2127071,127.52611429999999,152.668747
2004-06-30,99.1,69,4300,60.21,47.5,230000,74.7,100.2,121.8042875,185.00116640000002,205.2786725,179.8376471,156.2315926,173.34754130000002,133.9242165,127.51316509999998,216.7245708,169.83529860000002,131.0946849,157.83404290000001
2004-09-30,99.1,67,4450,61.26,48.7,234000,80.9,98.8,121.7997757,203.01967630000001,212.71781830000003,190.3905779,157.298015,179.1221997,140.57323080000003,131.1662044,227.986983,177.016888,134.2341774,165.0829192
2004-12-31,99.4,70,4580,62.16,49.3,230000,83.3,97.7,122.70168020000001,208.18525400000001,218.1291411,200.87354960000002,159.6755824,184.60016940000003,152.15194259999998,135.22052109999998,234.29998340000003,187.114347,139.1152218,173.57029319999998
2005-03-31,100.8,98,4720,70.48,51.2,231000,94.6,98.5,124.76312490000001,213.663356,229.7469491,215.95878280000002,163.7647481,193.1876882,167.7971504,140.1986219,239.9157711,200.4687584,145.33193480000003,185.26570139999998
2005-06-30,104.5,98,4870,75.72,51.8,236000,92.9,100.5,125.8619662,219.4368935,240.5833929,233.9546397,165.41790269999998,198.19752519999997,188.9478621,147.5672503,243.65364830000001,207.1950069,150.7868026,196.802434
2005-09-30,107.4,102,5130,78.4,53.1,237000,94.0,101.8,124.654577,223.7733762,252.8411111,250.6965233,165.586513,204.0752824,209.5775053,156.46179030000002,245.952118,212.69786639999998,157.5274437,211.71292569999997
2005-12-31,107.3,103,5210,82.67,53.5,238000,90.1,100.8,126.3437624,229.8884687,265.4191225,263.93992480000003,169.3291948,212.0535705,220.17757819999997,164.2339106,249.868842,216.4136736,164.8273054,226.00258739999998
2006-03-31,110.8,110,5360,86.7,56.5,241000,92.6,104.8,127.86979779999999,235.2299133,272.0844702,275.0764201,172.2542776,215.7196941,226.48565950000003,172.57717309999998,251.6922937,219.2947023,171.7976175,235.9779113
2006-06-30,111.8,111,5480,91.01,59.3,251000,92.3,107.4,123.7576406,233.67683530000002,272.2182317,279.2094721,171.4453605,216.1953125,227.54060330000001,176.7215855,247.918582,216.5468523,176.5374091,237.9644653
2006-09-30,115.5,113,5650,95.37,62.4,258000,93.3,106.3,120.6263169,231.870933,270.4349504,276.306596,167.3900162,213.02659730000002,222.9439912,179.5062366,243.3755643,213.5586958,181.0198179,234.1377732
2006-12-31,115.5,121,5720,100.66,63.3,264000,93.8,110.5,118.6543365,231.76887889999998,270.32171519999997,279.6898619,167.6613346,213.2538128,220.7063779,180.4554741,239.3334482,213.15935530000004,184.7358364,230.1074443
2007-03-31,118.0,122,5830,99.07,67.2,273000,97.9,116.9,118.5912707,231.2334855,268.74775960000005,278.60440689999996,169.9842274,214.2501731,220.15086890000003,185.0746334,236.62678540000002,215.31976600000002,189.5458167,229.57694500000002
