DATE,ATNHPIUS10420Q
1976-07-01,40.24
1976-10-01,38.98
1977-01-01,40.88
1977-04-01,42.38
1977-07-01,43.94
1977-10-01,44.65
1978-01-01,48.38
1978-04-01,49.39
1978-07-01,48.69
1978-10-01,53.06
1979-01-01,53.69
1979-04-01,56.28
1979-07-01,56.21
1979-10-01,55.61
1980-01-01,55.67
1980-04-01,56.92
1980-07-01,56.27
1980-10-01,57.08
1981-01-01,56.22
1981-04-01,57.13
1981-07-01,56.68
1981-10-01,54.41
1982-01-01,47.88
1982-04-01,53.25
1982-07-01,52.3
1982-10-01,55.62
1983-01-01,56.58
1983-04-01,58.2
1983-07-01,57.97
1983-10-01,56.76
1984-01-01,56.8
1984-04-01,57.8
1984-07-01,56.74
1984-10-01,57.58
1985-01-01,58.69
1985-04-01,59.07
1985-07-01,59.49
1985-10-01,59.9
1986-01-01,61.53
1986-04-01,61.91
1986-07-01,63.35
1986-10-01,63.92
1987-01-01,65.03
1987-04-01,66.93
1987-07-01,67.78
1987-10-01,67.93
1988-01-01,69.87
1988-04-01,70.64
1988-07-01,71.2
1988-10-01,71.86
1989-01-01,71.71
1989-04-01,73.9
1989-07-01,77
1989-10-01,76.84
1990-01-01,79.3
1990-04-01,78.53
1990-07-01,80.68
1990-10-01,80.66
1991-01-01,82
1991-04-01,83.1
1991-07-01,84.06
1991-10-01,84.92
1992-01-01,86.9
1992-04-01,87.41
1992-07-01,89.11
1992-10-01,90.13
1993-01-01,91.1
1993-04-01,92.01
1993-07-01,93.79
1993-10-01,95.35
1994-01-01,95.68
1994-04-01,96.69
1994-07-01,98.57
1994-10-01,98.47
1995-01-01,100.00
1995-04-01,101.49
1995-07-01,103.39
1995-10-01,104.69
1996-01-01,107.17
1996-04-01,107.28
1996-07-01,108.23
1996-10-01,110
1997-01-01,110.94
1997-04-01,111.94
1997-07-01,114.19
1997-10-01,115.41
1998-01-01,117.42
1998-04-01,118.49
1998-07-01,119.77
1998-10-01,121.27
1999-01-01,122.3
1999-04-01,123.61
1999-07-01,123.79
1999-10-01,124.1
2000-01-01,124.18
2000-04-01,125.95
2000-07-01,128.04
2000-10-01,129.45
2001-01-01,132.2
2001-04-01,133.5
2001-07-01,134.49
2001-10-01,136.39
2002-01-01,136.84
2002-04-01,137.07
2002-07-01,138.95
2002-10-01,139.92
2003-01-01,140.85
2003-04-01,141.68
2003-07-01,143.12
2003-10-01,143.33
2004-01-01,144.62
2004-04-01,145.56
2004-07-01,146.37
2004-10-01,147.72
2005-01-01,149.03
2005-04-01,150.38
2005-07-01,151.92
2005-10-01,152.29
2006-01-01,152.87
2006-04-01,150.25
2006-07-01,149.33
2006-10-01,151.27
2007-01-01,150.62
2007-04-01,148.68
2007-07-01,147.23
2007-10-01,146.7
2008-01-01,147.5
2008-04-01,145.63
2008-07-01,141.13
2008-10-01,141.33
2009-01-01,144.39
2009-04-01,140.53
2009-07-01,137.72
2009-10-01,137.96
2010-01-01,135.44
2010-04-01,135.45
2010-07-01,136.84
2010-10-01,136.26
2011-01-01,132.62
2011-04-01,129.19
2011-07-01,130.44
2011-10-01,130.14
2012-01-01,127.01
2012-04-01,126.64
2012-07-01,127.63
2012-10-01,128.52
2013-01-01,128.27
2013-04-01,128.79
2013-07-01,129.5
2013-10-01,130.28
2014-01-01,128.6
2014-04-01,132.24
2014-07-01,134.79
2014-10-01,134.53
2015-01-01,134.78
2015-04-01,138.72
2015-07-01,136.89
2015-10-01,140.45
2016-01-01,138.97
2016-04-01,141.86
2016-07-01,143.43
2016-10-01,142.47
2017-01-01,143.51
2017-04-01,148.1
2017-07-01,149
2017-10-01,150.48
2018-01-01,151.26
2018-04-01,153.26
2018-07-01,158.41
2018-10-01,156.44
2019-01-01,158.56
2019-04-01,162.13
2019-07-01,164.05
2019-10-01,165.68
2020-01-01,167.92
2020-04-01,169.05
2020-07-01,173.04
2020-10-01,177.92
2021-01-01,180.07
2021-04-01,187.99
