DATE,ATNHPIUS10580Q
1979-07-01,37.74
1979-10-01,39.35
1980-01-01,41.3
1980-04-01,39.2
1980-07-01,39.61
1980-10-01,40.23
1981-01-01,43.92
1981-04-01,39.49
1981-07-01,43.16
1981-10-01,.
1982-01-01,43.57
1982-04-01,43.68
1982-07-01,46.35
1982-10-01,43.13
1983-01-01,44.77
1983-04-01,45.83
1983-07-01,49.59
1983-10-01,49.21
1984-01-01,52.33
1984-04-01,52.61
1984-07-01,54.49
1984-10-01,55.56
1985-01-01,56.35
1985-04-01,58.71
1985-07-01,62.6
1985-10-01,60.98
1986-01-01,67.26
1986-04-01,69.43
1986-07-01,72.62
1986-10-01,78.13
1987-01-01,82.19
1987-04-01,84.3
1987-07-01,88.7
1987-10-01,90.83
1988-01-01,93.82
1988-04-01,97.5
1988-07-01,98.63
1988-10-01,99.74
1989-01-01,100.4
1989-04-01,101.53
1989-07-01,103.52
1989-10-01,103.76
1990-01-01,104.3
1990-04-01,103.74
1990-07-01,103.44
1990-10-01,104.79
1991-01-01,104.38
1991-04-01,105.47
1991-07-01,105.34
1991-10-01,105.97
1992-01-01,107.61
1992-04-01,106.36
1992-07-01,107.4
1992-10-01,107.95
1993-01-01,107
1993-04-01,107.43
1993-07-01,107.28
1993-10-01,107.47
1994-01-01,107.18
1994-04-01,104.61
1994-07-01,102.94
1994-10-01,102.94
1995-01-01,100.00
1995-04-01,100.61
1995-07-01,102.18
1995-10-01,102.48
1996-01-01,103.29
1996-04-01,100.5
1996-07-01,100.73
1996-10-01,99.4
1997-01-01,99.99
1997-04-01,100.35
1997-07-01,99.82
1997-10-01,100.99
1998-01-01,102.81
1998-04-01,101.93
1998-07-01,102.25
1998-10-01,103.4
1999-01-01,103.65
1999-04-01,104.01
1999-07-01,104.2
1999-10-01,102.93
2000-01-01,104.07
2000-04-01,105.42
2000-07-01,107.55
2000-10-01,107.71
2001-01-01,108.96
2001-04-01,111.25
2001-07-01,113.7
2001-10-01,114.62
2002-01-01,115.8
2002-04-01,118.55
2002-07-01,121.22
2002-10-01,124.19
2003-01-01,126.08
2003-04-01,128.66
2003-07-01,132.52
2003-10-01,137.99
2004-01-01,140.89
2004-04-01,146.17
2004-07-01,155.17
2004-10-01,158.28
2005-01-01,162.26
2005-04-01,170.42
2005-07-01,177.13
2005-10-01,179.38
2006-01-01,183.92
2006-04-01,187.37
2006-07-01,187.97
2006-10-01,190.26
2007-01-01,192.07
2007-04-01,193.89
2007-07-01,193.11
2007-10-01,194.21
2008-01-01,195.46
2008-04-01,193.47
2008-07-01,192.22
2008-10-01,190.87
2009-01-01,194.05
2009-04-01,190.9
2009-07-01,189.03
2009-10-01,187.81
2010-01-01,186.96
2010-04-01,187
2010-07-01,189.29
2010-10-01,188.61
2011-01-01,186.53
2011-04-01,184.99
2011-07-01,184.79
2011-10-01,186.74
2012-01-01,185.46
2012-04-01,183.43
2012-07-01,185.2
2012-10-01,185.16
2013-01-01,185.54
2013-04-01,185.25
2013-07-01,186.29
2013-10-01,184.05
2014-01-01,181.76
2014-04-01,183.59
2014-07-01,185.2
2014-10-01,185.4
2015-01-01,186.76
2015-04-01,187.74
2015-07-01,187.98
2015-10-01,187.05
2016-01-01,189.63
2016-04-01,191.49
2016-07-01,193.19
2016-10-01,193.08
2017-01-01,192.2
2017-04-01,195.36
2017-07-01,198.77
2017-10-01,199.35
2018-01-01,200.36
2018-04-01,201.78
2018-07-01,203
2018-10-01,202.57
2019-01-01,205.5
2019-04-01,206.77
2019-07-01,209
2019-10-01,210.26
2020-01-01,210.51
2020-04-01,214.87
2020-07-01,217.5
2020-10-01,223.32
2021-01-01,228.02
2021-04-01,234.92
