DATE,ATNHPIUS10740Q
1977-07-01,36.8
1977-10-01,39.26
1978-01-01,39.84
1978-04-01,41.95
1978-07-01,43.86
1978-10-01,45.83
1979-01-01,47.07
1979-04-01,49.4
1979-07-01,50.08
1979-10-01,50.31
1980-01-01,53
1980-04-01,52.81
1980-07-01,53.6
1980-10-01,55.98
1981-01-01,54.41
1981-04-01,58.07
1981-07-01,57.54
1981-10-01,57.33
1982-01-01,47.22
1982-04-01,53.33
1982-07-01,61.33
1982-10-01,60.34
1983-01-01,59.74
1983-04-01,62.11
1983-07-01,64.42
1983-10-01,65.57
1984-01-01,66.73
1984-04-01,64.63
1984-07-01,66.89
1984-10-01,68.66
1985-01-01,68.17
1985-04-01,69.33
1985-07-01,70.87
1985-10-01,70.17
1986-01-01,71.73
1986-04-01,72.46
1986-07-01,72.93
1986-10-01,73.93
1987-01-01,75.36
1987-04-01,75.3
1987-07-01,75.55
1987-10-01,75.11
1988-01-01,75.27
1988-04-01,75.75
1988-07-01,75.41
1988-10-01,74.39
1989-01-01,75.43
1989-04-01,75.49
1989-07-01,76.61
1989-10-01,76.27
1990-01-01,75.21
1990-04-01,75.47
1990-07-01,75.95
1990-10-01,75.58
1991-01-01,75.91
1991-04-01,76.61
1991-07-01,77.18
1991-10-01,77.94
1992-01-01,79.79
1992-04-01,80.55
1992-07-01,81.02
1992-10-01,82.09
1993-01-01,83.14
1993-04-01,85.3
1993-07-01,87.06
1993-10-01,89.05
1994-01-01,91.57
1994-04-01,95.23
1994-07-01,97.88
1994-10-01,98.86
1995-01-01,100.00
1995-04-01,102.29
1995-07-01,104.03
1995-10-01,104.93
1996-01-01,105.74
1996-04-01,105.31
1996-07-01,105.31
1996-10-01,105.93
1997-01-01,106.36
1997-04-01,106.53
1997-07-01,107.17
1997-10-01,108.52
1998-01-01,109.16
1998-04-01,108.72
1998-07-01,109.15
1998-10-01,109.91
1999-01-01,109.48
1999-04-01,109.21
1999-07-01,108.9
1999-10-01,108.81
2000-01-01,109.41
2000-04-01,109.14
2000-07-01,109.96
2000-10-01,110.62
2001-01-01,113.08
2001-04-01,113.98
2001-07-01,114.46
2001-10-01,115.34
2002-01-01,115.74
2002-04-01,116.81
2002-07-01,118.38
2002-10-01,119.11
2003-01-01,120.3
2003-04-01,121.57
2003-07-01,122.46
2003-10-01,124.86
2004-01-01,126.27
2004-04-01,128.75
2004-07-01,132.02
2004-10-01,134.32
2005-01-01,136.97
2005-04-01,143.92
2005-07-01,150.08
2005-10-01,154.79
2006-01-01,160.51
2006-04-01,166.91
2006-07-01,172.79
2006-10-01,176.23
2007-01-01,178.6
2007-04-01,180.21
2007-07-01,180.73
2007-10-01,180.93
2008-01-01,181.36
2008-04-01,178.67
2008-07-01,174.48
2008-10-01,173.54
2009-01-01,174.67
2009-04-01,168.41
2009-07-01,164.35
2009-10-01,163.8
2010-01-01,163.29
2010-04-01,160.69
2010-07-01,161.23
2010-10-01,159.96
2011-01-01,155.45
2011-04-01,151.65
2011-07-01,152.53
2011-10-01,153.34
2012-01-01,150.66
2012-04-01,149.74
2012-07-01,151.32
2012-10-01,150.92
2013-01-01,151.5
2013-04-01,151.92
2013-07-01,151.92
2013-10-01,151.29
2014-01-01,152.04
2014-04-01,153.73
2014-07-01,154.97
2014-10-01,155.15
2015-01-01,156
2015-04-01,157.12
2015-07-01,157.44
2015-10-01,157.4
2016-01-01,159.09
2016-04-01,161.12
2016-07-01,163.14
2016-10-01,165.34
2017-01-01,164.21
2017-04-01,166.57
2017-07-01,170.39
2017-10-01,170.15
2018-01-01,171.63
2018-04-01,174.09
2018-07-01,175.35
2018-10-01,175.61
2019-01-01,177.33
2019-04-01,181.77
2019-07-01,184.68
2019-10-01,185.48
2020-01-01,188.86
2020-04-01,191.3
2020-07-01,195.49
2020-10-01,199.88
2021-01-01,206.06
2021-04-01,216
