DATE,ATNHPIUS11100Q
1980-01-01,65.72
1980-04-01,64.6
1980-07-01,63.21
1980-10-01,67.09
1981-01-01,70.57
1981-04-01,80.95
1981-07-01,75
1981-10-01,71.31
1982-01-01,79.8
1982-04-01,62.48
1982-07-01,64
1982-10-01,72.28
1983-01-01,81.01
1983-04-01,79.6
1983-07-01,81.51
1983-10-01,82.59
1984-01-01,82.5
1984-04-01,87.18
1984-07-01,85.31
1984-10-01,86.88
1985-01-01,83.81
1985-04-01,84.05
1985-07-01,84.62
1985-10-01,84.83
1986-01-01,85.58
1986-04-01,85.26
1986-07-01,84.77
1986-10-01,84.79
1987-01-01,84.97
1987-04-01,85.94
1987-07-01,84.67
1987-10-01,79.97
1988-01-01,83.67
1988-04-01,79.14
1988-07-01,76.89
1988-10-01,73.23
1989-01-01,77.23
1989-04-01,76.04
1989-07-01,76.08
1989-10-01,74.89
1990-01-01,73.42
1990-04-01,73.89
1990-07-01,76.15
1990-10-01,73.87
1991-01-01,77.77
1991-04-01,77.39
1991-07-01,80.49
1991-10-01,79.72
1992-01-01,81.07
1992-04-01,81.34
1992-07-01,82.95
1992-10-01,84.04
1993-01-01,84.17
1993-04-01,87.31
1993-07-01,89.77
1993-10-01,90.32
1994-01-01,93.84
1994-04-01,95.89
1994-07-01,98.75
1994-10-01,98.48
1995-01-01,100.00
1995-04-01,102.02
1995-07-01,102.96
1995-10-01,104.15
1996-01-01,103.14
1996-04-01,104.26
1996-07-01,105.22
1996-10-01,104.87
1997-01-01,106.15
1997-04-01,106.54
1997-07-01,107.24
1997-10-01,110.02
1998-01-01,109.47
1998-04-01,109.39
1998-07-01,111.26
1998-10-01,112.04
1999-01-01,112.54
1999-04-01,115.65
1999-07-01,118.58
1999-10-01,118.74
2000-01-01,120.56
2000-04-01,120.26
2000-07-01,121.89
2000-10-01,123.29
2001-01-01,126.61
2001-04-01,126.52
2001-07-01,127.6
2001-10-01,128.2
2002-01-01,129.2
2002-04-01,131.37
2002-07-01,132.4
2002-10-01,135.76
2003-01-01,135.61
2003-04-01,135.78
2003-07-01,135.69
2003-10-01,137.33
2004-01-01,137.34
2004-04-01,139.11
2004-07-01,141.66
2004-10-01,144.24
2005-01-01,142.82
2005-04-01,146.92
2005-07-01,149.63
2005-10-01,151.95
2006-01-01,151.52
2006-04-01,155.13
2006-07-01,157.9
2006-10-01,157.4
2007-01-01,159.96
2007-04-01,161.75
2007-07-01,161.66
2007-10-01,163.16
2008-01-01,164.72
2008-04-01,163.46
2008-07-01,163
2008-10-01,164.91
2009-01-01,164.72
2009-04-01,165.5
2009-07-01,166.01
2009-10-01,165.36
2010-01-01,166.53
2010-04-01,165.13
2010-07-01,166.76
2010-10-01,164.93
2011-01-01,165.87
2011-04-01,163.22
2011-07-01,163.45
2011-10-01,166.13
2012-01-01,167.3
2012-04-01,166.43
2012-07-01,166.36
2012-10-01,169.56
2013-01-01,169.18
2013-04-01,170.32
2013-07-01,171.31
2013-10-01,172.55
2014-01-01,170.22
2014-04-01,174.2
2014-07-01,174.45
2014-10-01,174.37
2015-01-01,177.47
2015-04-01,178.99
2015-07-01,183.21
2015-10-01,183.31
2016-01-01,184.43
2016-04-01,187.3
2016-07-01,188.98
2016-10-01,189.15
2017-01-01,190.37
2017-04-01,191.39
2017-07-01,194.32
2017-10-01,194.63
2018-01-01,196.16
2018-04-01,197.89
2018-07-01,199.33
2018-10-01,198.6
2019-01-01,199.67
2019-04-01,201.83
2019-07-01,205.35
2019-10-01,206.03
2020-01-01,207.38
2020-04-01,208.56
2020-07-01,210.93
2020-10-01,215.17
2021-01-01,220.84
2021-04-01,230.58
