DATE,ATNHPIUS11460Q
1978-04-01,46.02
1978-07-01,47.4
1978-10-01,53.26
1979-01-01,53.14
1979-04-01,54.96
1979-07-01,57.13
1979-10-01,50.98
1980-01-01,54.92
1980-04-01,54.46
1980-07-01,56.43
1980-10-01,55.82
1981-01-01,57.77
1981-04-01,57.33
1981-07-01,61.22
1981-10-01,.
1982-01-01,.
1982-04-01,55.95
1982-07-01,53.82
1982-10-01,51.51
1983-01-01,52.57
1983-04-01,53.9
1983-07-01,55.32
1983-10-01,53.72
1984-01-01,54.18
1984-04-01,54.48
1984-07-01,54.77
1984-10-01,53.69
1985-01-01,53.64
1985-04-01,55.14
1985-07-01,56.37
1985-10-01,57.02
1986-01-01,57.3
1986-04-01,58.94
1986-07-01,60.52
1986-10-01,62.03
1987-01-01,62.77
1987-04-01,66.11
1987-07-01,68.99
1987-10-01,69.65
1988-01-01,72.14
1988-04-01,74.44
1988-07-01,76.44
1988-10-01,77.91
1989-01-01,79.55
1989-04-01,80.9
1989-07-01,84.28
1989-10-01,84.73
1990-01-01,85.35
1990-04-01,86.4
1990-07-01,86.13
1990-10-01,87.36
1991-01-01,86.97
1991-04-01,89.24
1991-07-01,89.43
1991-10-01,90.43
1992-01-01,91.17
1992-04-01,91.19
1992-07-01,91.86
1992-10-01,91.95
1993-01-01,92.37
1993-04-01,92.65
1993-07-01,93.15
1993-10-01,94.04
1994-01-01,95.08
1994-04-01,95.59
1994-07-01,97.56
1994-10-01,98.93
1995-01-01,100.00
1995-04-01,101.68
1995-07-01,102.81
1995-10-01,104.38
1996-01-01,106.5
1996-04-01,108.44
1996-07-01,110.42
1996-10-01,111.74
1997-01-01,114.09
1997-04-01,116.21
1997-07-01,118.45
1997-10-01,119.74
1998-01-01,121.23
1998-04-01,123.06
1998-07-01,126.17
1998-10-01,126.88
1999-01-01,129.42
1999-04-01,132.63
1999-07-01,136.22
1999-10-01,139.56
2000-01-01,141.55
2000-04-01,145.01
2000-07-01,148.33
2000-10-01,150.21
2001-01-01,152.58
2001-04-01,154.52
2001-07-01,157.55
2001-10-01,158.27
2002-01-01,161.41
2002-04-01,164.42
2002-07-01,165.59
2002-10-01,166.92
2003-01-01,168.49
2003-04-01,169.84
2003-07-01,171.09
2003-10-01,174.5
2004-01-01,174.88
2004-04-01,178.13
2004-07-01,181.39
2004-10-01,182.42
2005-01-01,184.17
2005-04-01,187.54
2005-07-01,187.5
2005-10-01,185.69
2006-01-01,185.02
2006-04-01,181.71
2006-07-01,179.96
2006-10-01,180.85
2007-01-01,179.32
2007-04-01,173.9
2007-07-01,164.57
2007-10-01,164.31
2008-01-01,164.69
2008-04-01,157.42
2008-07-01,150.44
2008-10-01,150.23
2009-01-01,151.95
2009-04-01,147.15
2009-07-01,143.47
2009-10-01,141.26
2010-01-01,140.4
2010-04-01,140.86
2010-07-01,140.53
2010-10-01,140.3
2011-01-01,139.24
2011-04-01,138.53
2011-07-01,138.79
2011-10-01,138.89
2012-01-01,136.57
2012-04-01,138.66
2012-07-01,140.83
2012-10-01,141.94
2013-01-01,145.48
2013-04-01,149.17
2013-07-01,153.47
2013-10-01,155.75
2014-01-01,158.61
2014-04-01,162.83
2014-07-01,165.92
2014-10-01,166.3
2015-01-01,166.71
2015-04-01,171.96
2015-07-01,174.24
2015-10-01,177.32
2016-01-01,176.51
2016-04-01,179.54
2016-07-01,184.26
2016-10-01,184.41
2017-01-01,188.23
2017-04-01,194.68
2017-07-01,198.9
2017-10-01,199.42
2018-01-01,200.5
2018-04-01,208.63
2018-07-01,212.96
2018-10-01,212.05
2019-01-01,214.4
2019-04-01,218.57
2019-07-01,220.39
2019-10-01,220.26
2020-01-01,222.78
2020-04-01,222.84
2020-07-01,226.41
2020-10-01,229.2
2021-01-01,232.46
2021-04-01,242.26
