DATE,ATNHPIUS11700Q
1984-10-01,61.42
1985-01-01,63.89
1985-04-01,64.06
1985-07-01,67.31
1985-10-01,66.52
1986-01-01,65.59
1986-04-01,67.93
1986-07-01,69.4
1986-10-01,70.05
1987-01-01,72.25
1987-04-01,72.04
1987-07-01,75.2
1987-10-01,74.91
1988-01-01,74.51
1988-04-01,75.16
1988-07-01,76.87
1988-10-01,78.46
1989-01-01,77.33
1989-04-01,78.01
1989-07-01,80.84
1989-10-01,79.94
1990-01-01,81.92
1990-04-01,82.62
1990-07-01,84.75
1990-10-01,84.91
1991-01-01,85.26
1991-04-01,85.22
1991-07-01,85.52
1991-10-01,87.4
1992-01-01,88.5
1992-04-01,89.33
1992-07-01,90.15
1992-10-01,91.29
1993-01-01,90.18
1993-04-01,93.14
1993-07-01,93.28
1993-10-01,94.41
1994-01-01,94.15
1994-04-01,96.39
1994-07-01,96.37
1994-10-01,98.24
1995-01-01,100.00
1995-04-01,101.09
1995-07-01,102.65
1995-10-01,104.49
1996-01-01,105.09
1996-04-01,107.25
1996-07-01,108.65
1996-10-01,109.78
1997-01-01,113.07
1997-04-01,114.84
1997-07-01,115.8
1997-10-01,119.3
1998-01-01,120.32
1998-04-01,123.21
1998-07-01,125.5
1998-10-01,126.64
1999-01-01,127.48
1999-04-01,130.3
1999-07-01,130.61
1999-10-01,132.58
2000-01-01,135.21
2000-04-01,137.08
2000-07-01,139.07
2000-10-01,141.54
2001-01-01,144.19
2001-04-01,147.06
2001-07-01,149.02
2001-10-01,151.02
2002-01-01,152.06
2002-04-01,154.5
2002-07-01,157.61
2002-10-01,159.34
2003-01-01,161.18
2003-04-01,163.65
2003-07-01,165.64
2003-10-01,168.06
2004-01-01,170.28
2004-04-01,173.45
2004-07-01,179.04
2004-10-01,180.59
2005-01-01,186.96
2005-04-01,191.52
2005-07-01,195.47
2005-10-01,202.97
2006-01-01,206.27
2006-04-01,213.55
2006-07-01,220.16
2006-10-01,223.4
2007-01-01,229.99
2007-04-01,233.75
2007-07-01,235.1
2007-10-01,236.51
2008-01-01,237.42
2008-04-01,237.5
2008-07-01,234.32
2008-10-01,234.18
2009-01-01,236.65
2009-04-01,233.13
2009-07-01,228.21
2009-10-01,222.46
2010-01-01,221.21
2010-04-01,215.73
2010-07-01,219.18
2010-10-01,216.24
2011-01-01,211.95
2011-04-01,207.45
2011-07-01,206.73
2011-10-01,208.92
2012-01-01,207.07
2012-04-01,200.7
2012-07-01,205.63
2012-10-01,204.5
2013-01-01,206.2
2013-04-01,207.17
2013-07-01,207.66
2013-10-01,209.8
2014-01-01,211.14
2014-04-01,214.46
2014-07-01,219.81
2014-10-01,220.42
2015-01-01,223.7
2015-04-01,230.19
2015-07-01,233.39
2015-10-01,237.41
2016-01-01,240.22
2016-04-01,245.64
2016-07-01,252.12
2016-10-01,253.42
2017-01-01,257.2
2017-04-01,267.85
2017-07-01,268.87
2017-10-01,271.82
2018-01-01,278.52
2018-04-01,282.77
2018-07-01,287.44
2018-10-01,287.21
2019-01-01,293.06
2019-04-01,297.27
2019-07-01,299.71
2019-10-01,305.46
2020-01-01,306.75
2020-04-01,310.21
2020-07-01,316.1
2020-10-01,322.85
2021-01-01,332.65
2021-04-01,350.41
