DATE,ATNHPIUS12420Q
1977-04-01,39.16
1977-07-01,40.65
1977-10-01,43.24
1978-01-01,44.35
1978-04-01,46.47
1978-07-01,48.1
1978-10-01,49.38
1979-01-01,52.29
1979-04-01,52.66
1979-07-01,55.95
1979-10-01,59.22
1980-01-01,58.41
1980-04-01,63.7
1980-07-01,60.54
1980-10-01,61.54
1981-01-01,63.54
1981-04-01,66.63
1981-07-01,68.58
1981-10-01,57.47
1982-01-01,69.24
1982-04-01,64.23
1982-07-01,62.53
1982-10-01,72.84
1983-01-01,74.32
1983-04-01,77.35
1983-07-01,78.07
1983-10-01,81.34
1984-01-01,82.55
1984-04-01,86.27
1984-07-01,89.86
1984-10-01,91.49
1985-01-01,93.47
1985-04-01,96.79
1985-07-01,96.5
1985-10-01,96.55
1986-01-01,97.07
1986-04-01,98.66
1986-07-01,97.72
1986-10-01,95.73
1987-01-01,93.33
1987-04-01,91.71
1987-07-01,85.06
1987-10-01,81.37
1988-01-01,79.24
1988-04-01,91.47
1988-07-01,75.32
1988-10-01,73.77
1989-01-01,73.36
1989-04-01,72.98
1989-07-01,73.99
1989-10-01,73.01
1990-01-01,72.77
1990-04-01,73.15
1990-07-01,72.77
1990-10-01,72.99
1991-01-01,75.08
1991-04-01,76.81
1991-07-01,77.95
1991-10-01,78.38
1992-01-01,80.29
1992-04-01,82.15
1992-07-01,84.43
1992-10-01,85.66
1993-01-01,87.78
1993-04-01,89.84
1993-07-01,93.05
1993-10-01,94.96
1994-01-01,97.2
1994-04-01,99.84
1994-07-01,100.34
1994-10-01,100.25
1995-01-01,100.00
1995-04-01,102.2
1995-07-01,104.16
1995-10-01,105.03
1996-01-01,105.87
1996-04-01,106.2
1996-07-01,106.23
1996-10-01,107.24
1997-01-01,106.89
1997-04-01,107.13
1997-07-01,107.3
1997-10-01,109.1
1998-01-01,110.54
1998-04-01,111.54
1998-07-01,113.2
1998-10-01,114.68
1999-01-01,116.18
1999-04-01,119.73
1999-07-01,123.19
1999-10-01,126.42
2000-01-01,130.13
2000-04-01,135.38
2000-07-01,140
2000-10-01,142.2
2001-01-01,147.87
2001-04-01,150.02
2001-07-01,149.61
2001-10-01,150.42
2002-01-01,150.08
2002-04-01,150.44
2002-07-01,152.82
2002-10-01,153.43
2003-01-01,153.38
2003-04-01,153.39
2003-07-01,152.27
2003-10-01,153.03
2004-01-01,153.22
2004-04-01,153.9
2004-07-01,154.01
2004-10-01,156.36
2005-01-01,157.37
2005-04-01,160.72
2005-07-01,163.74
2005-10-01,165.8
2006-01-01,167.92
2006-04-01,173.41
2006-07-01,176.97
2006-10-01,180.49
2007-01-01,184.75
2007-04-01,190.18
2007-07-01,192.04
2007-10-01,193.64
2008-01-01,196.92
2008-04-01,198
2008-07-01,197.45
2008-10-01,197.97
2009-01-01,198.38
2009-04-01,196.26
2009-07-01,194.71
2009-10-01,194.25
2010-01-01,193.42
2010-04-01,193.25
2010-07-01,194.78
2010-10-01,193.4
2011-01-01,189.5
2011-04-01,189.94
2011-07-01,191.84
2011-10-01,193.9
2012-01-01,193.41
2012-04-01,195.23
2012-07-01,198.35
2012-10-01,200.95
2013-01-01,204.21
2013-04-01,210.14
2013-07-01,216.7
2013-10-01,220.86
2014-01-01,225.94
2014-04-01,236.94
2014-07-01,242.35
2014-10-01,244.72
2015-01-01,248.8
2015-04-01,258.47
2015-07-01,266.18
2015-10-01,266.86
2016-01-01,273.14
2016-04-01,281.23
2016-07-01,287.5
2016-10-01,288.69
2017-01-01,293.5
2017-04-01,302.92
2017-07-01,305.94
2017-10-01,307.69
2018-01-01,311.85
2018-04-01,319.83
2018-07-01,323.46
2018-10-01,323.89
2019-01-01,331.89
2019-04-01,339.2
2019-07-01,343.72
2019-10-01,347.06
2020-01-01,352.99
2020-04-01,358.1
2020-07-01,364.84
2020-10-01,376.95
2021-01-01,393.42
2021-04-01,437.48
