DATE,ATNHPIUS12540Q
1977-07-01,52.51
1977-10-01,53.61
1978-01-01,53.52
1978-04-01,58.22
1978-07-01,58.61
1978-10-01,61.44
1979-01-01,61.4
1979-04-01,65.14
1979-07-01,67.57
1979-10-01,69.62
1980-01-01,68.02
1980-04-01,70.72
1980-07-01,73.87
1980-10-01,72.25
1981-01-01,73.01
1981-04-01,74.55
1981-07-01,76.93
1981-10-01,82.24
1982-01-01,76.56
1982-04-01,73.02
1982-07-01,73.9
1982-10-01,80.96
1983-01-01,83.32
1983-04-01,82.43
1983-07-01,81.63
1983-10-01,82.06
1984-01-01,82.06
1984-04-01,83.96
1984-07-01,83.57
1984-10-01,84.28
1985-01-01,85.58
1985-04-01,84.33
1985-07-01,86.03
1985-10-01,86.29
1986-01-01,86.58
1986-04-01,88.87
1986-07-01,89.06
1986-10-01,87.73
1987-01-01,88.7
1987-04-01,89.78
1987-07-01,88.29
1987-10-01,86.21
1988-01-01,88.02
1988-04-01,88.75
1988-07-01,89.2
1988-10-01,90.22
1989-01-01,89.87
1989-04-01,91.61
1989-07-01,93.14
1989-10-01,95.43
1990-01-01,97.39
1990-04-01,98.69
1990-07-01,101.3
1990-10-01,102.93
1991-01-01,104.44
1991-04-01,105.82
1991-07-01,105.6
1991-10-01,108.44
1992-01-01,109.26
1992-04-01,108.28
1992-07-01,110.04
1992-10-01,109.48
1993-01-01,108.79
1993-04-01,109.13
1993-07-01,108.15
1993-10-01,108.56
1994-01-01,107.6
1994-04-01,103.99
1994-07-01,103.52
1994-10-01,101.14
1995-01-01,100.00
1995-04-01,100.94
1995-07-01,102.08
1995-10-01,101.87
1996-01-01,103.27
1996-04-01,100.19
1996-07-01,98.64
1996-10-01,99.57
1997-01-01,99.03
1997-04-01,98.11
1997-07-01,99.25
1997-10-01,101.76
1998-01-01,103.61
1998-04-01,102.63
1998-07-01,103.82
1998-10-01,104.54
1999-01-01,104.61
1999-04-01,103.65
1999-07-01,104.94
1999-10-01,102.64
2000-01-01,104.21
2000-04-01,104.85
2000-07-01,107.35
2000-10-01,109.14
2001-01-01,111.81
2001-04-01,113.89
2001-07-01,115.64
2001-10-01,117.48
2002-01-01,119.61
2002-04-01,123.12
2002-07-01,126.77
2002-10-01,130.18
2003-01-01,133.76
2003-04-01,137.95
2003-07-01,144.06
2003-10-01,152.55
2004-01-01,159.23
2004-04-01,169.85
2004-07-01,189.48
2004-10-01,201.37
2005-01-01,215
2005-04-01,229.98
2005-07-01,245.34
2005-10-01,260.23
2006-01-01,269.95
2006-04-01,275.65
2006-07-01,278.66
2006-10-01,279.43
2007-01-01,276.75
2007-04-01,270.45
2007-07-01,259.81
2007-10-01,246.17
2008-01-01,227.34
2008-04-01,207.99
2008-07-01,182.33
2008-10-01,172.91
2009-01-01,171.91
2009-04-01,163.16
2009-07-01,154.2
2009-10-01,152.15
2010-01-01,152.67
2010-04-01,148.51
2010-07-01,146.97
2010-10-01,146.5
2011-01-01,139.95
2011-04-01,133.99
2011-07-01,135.15
2011-10-01,135.96
2012-01-01,135.59
2012-04-01,137.26
2012-07-01,142.31
2012-10-01,145.52
2013-01-01,149.64
2013-04-01,157.36
2013-07-01,165.14
2013-10-01,170.22
2014-01-01,176.58
2014-04-01,179.32
2014-07-01,182.78
2014-10-01,184.87
2015-01-01,187.49
2015-04-01,188.56
2015-07-01,191.14
2015-10-01,191.11
2016-01-01,192.29
2016-04-01,193.61
2016-07-01,195.51
2016-10-01,198.44
2017-01-01,199.03
2017-04-01,202.42
2017-07-01,203.8
2017-10-01,206.83
2018-01-01,208.97
2018-04-01,211.71
2018-07-01,214.6
2018-10-01,215.6
2019-01-01,217.97
2019-04-01,221.05
2019-07-01,224.13
2019-10-01,226.51
2020-01-01,229.67
2020-04-01,232.95
2020-07-01,236.65
2020-10-01,243.41
2021-01-01,251.51
2021-04-01,265.19
