DATE,ATNHPIUS13460Q
1985-04-01,47.76
1985-07-01,47.2
1985-10-01,47.35
1986-01-01,46.64
1986-04-01,48.58
1986-07-01,50.03
1986-10-01,47.92
1987-01-01,48.51
1987-04-01,48.97
1987-07-01,49.47
1987-10-01,49.07
1988-01-01,51.37
1988-04-01,52
1988-07-01,54.34
1988-10-01,55.11
1989-01-01,59.12
1989-04-01,58.56
1989-07-01,62.53
1989-10-01,64.12
1990-01-01,68.53
1990-04-01,73.16
1990-07-01,74.25
1990-10-01,76.35
1991-01-01,78.5
1991-04-01,80.27
1991-07-01,81.4
1991-10-01,83.49
1992-01-01,85.79
1992-04-01,86.97
1992-07-01,88.07
1992-10-01,90.25
1993-01-01,90.72
1993-04-01,92.48
1993-07-01,93.42
1993-10-01,94.14
1994-01-01,96.32
1994-04-01,97.35
1994-07-01,99.07
1994-10-01,98.4
1995-01-01,100.00
1995-04-01,101.64
1995-07-01,103.75
1995-10-01,104.97
1996-01-01,106.36
1996-04-01,106.88
1996-07-01,106.64
1996-10-01,107.37
1997-01-01,107.67
1997-04-01,109.35
1997-07-01,110.79
1997-10-01,113.35
1998-01-01,115.12
1998-04-01,115.26
1998-07-01,116.61
1998-10-01,118.3
1999-01-01,120.99
1999-04-01,122.25
1999-07-01,123.43
1999-10-01,127.07
2000-01-01,129.28
2000-04-01,131.72
2000-07-01,133.9
2000-10-01,135.43
2001-01-01,139.99
2001-04-01,142.3
2001-07-01,145.1
2001-10-01,146.49
2002-01-01,149.95
2002-04-01,153.21
2002-07-01,155.57
2002-10-01,158.09
2003-01-01,160.99
2003-04-01,162.75
2003-07-01,165.58
2003-10-01,169.93
2004-01-01,171.6
2004-04-01,178.31
2004-07-01,184.08
2004-10-01,189.88
2005-01-01,196.49
2005-04-01,208.96
2005-07-01,226.87
2005-10-01,247.1
2006-01-01,263.01
2006-04-01,285.42
2006-07-01,295.75
2006-10-01,297.3
2007-01-01,296.26
2007-04-01,289.57
2007-07-01,287.4
2007-10-01,283.31
2008-01-01,272.24
2008-04-01,259.67
2008-07-01,241.5
2008-10-01,226.95
2009-01-01,226.22
2009-04-01,209.74
2009-07-01,187.76
2009-10-01,180.87
2010-01-01,172.58
2010-04-01,166.36
2010-07-01,164.93
2010-10-01,165.98
2011-01-01,158.32
2011-04-01,157.56
2011-07-01,159.67
2011-10-01,163.63
2012-01-01,164.15
2012-04-01,160.01
2012-07-01,165.43
2012-10-01,171.01
2013-01-01,177.48
2013-04-01,188.25
2013-07-01,197.97
2013-10-01,206.92
2014-01-01,212.34
2014-04-01,219.54
2014-07-01,228.72
2014-10-01,230.81
2015-01-01,234.93
2015-04-01,246.52
2015-07-01,255.75
2015-10-01,257.7
2016-01-01,263.92
2016-04-01,272.23
2016-07-01,283.68
2016-10-01,286.97
2017-01-01,290.27
2017-04-01,304.8
2017-07-01,307.08
2017-10-01,312.49
2018-01-01,316.43
2018-04-01,326.55
2018-07-01,330.04
2018-10-01,334.63
2019-01-01,337.55
2019-04-01,342.07
2019-07-01,348.8
2019-10-01,353.51
2020-01-01,356.07
2020-04-01,362.69
2020-07-01,369.19
2020-10-01,384.01
2021-01-01,403.03
2021-04-01,440.66
