DATE,ATNHPIUS13900Q
1986-07-01,81.54
1986-10-01,78.29
1987-01-01,80.43
1987-04-01,79.28
1987-07-01,81.63
1987-10-01,80
1988-01-01,81.35
1988-04-01,77.86
1988-07-01,79.63
1988-10-01,78.21
1989-01-01,78.99
1989-04-01,80.37
1989-07-01,80.25
1989-10-01,79.75
1990-01-01,79.98
1990-04-01,80.54
1990-07-01,81.65
1990-10-01,81.88
1991-01-01,83
1991-04-01,82.9
1991-07-01,83.6
1991-10-01,84.57
1992-01-01,86.15
1992-04-01,85.77
1992-07-01,88.46
1992-10-01,88.62
1993-01-01,89.43
1993-04-01,90.58
1993-07-01,92.8
1993-10-01,93.62
1994-01-01,94.56
1994-04-01,97.95
1994-07-01,98.26
1994-10-01,99.12
1995-01-01,100.00
1995-04-01,101.55
1995-07-01,101.88
1995-10-01,104.33
1996-01-01,106.26
1996-04-01,104.29
1996-07-01,105.41
1996-10-01,106.19
1997-01-01,108.71
1997-04-01,109.07
1997-07-01,109.71
1997-10-01,109.67
1998-01-01,111.49
1998-04-01,113.57
1998-07-01,114.44
1998-10-01,115.5
1999-01-01,116.6
1999-04-01,116.98
1999-07-01,117.22
1999-10-01,116.35
2000-01-01,120.01
2000-04-01,118.58
2000-07-01,119.2
2000-10-01,122.31
2001-01-01,124.51
2001-04-01,124.97
2001-07-01,125.94
2001-10-01,127.17
2002-01-01,128.31
2002-04-01,131.01
2002-07-01,133.38
2002-10-01,135
2003-01-01,135.62
2003-04-01,137.09
2003-07-01,139.23
2003-10-01,139.39
2004-01-01,142.04
2004-04-01,144.48
2004-07-01,148.98
2004-10-01,151.12
2005-01-01,151.78
2005-04-01,156.85
2005-07-01,162.08
2005-10-01,163.01
2006-01-01,165.48
2006-04-01,170.73
2006-07-01,174.86
2006-10-01,174.91
2007-01-01,179.36
2007-04-01,182.2
2007-07-01,184.25
2007-10-01,185.37
2008-01-01,188.13
2008-04-01,188.04
2008-07-01,187.24
2008-10-01,189.26
2009-01-01,188.97
2009-04-01,189.06
2009-07-01,188.76
2009-10-01,189.58
2010-01-01,189.52
2010-04-01,190.43
2010-07-01,191.13
2010-10-01,193.11
2011-01-01,195.24
2011-04-01,198.53
2011-07-01,201.72
2011-10-01,202.14
2012-01-01,205.05
2012-04-01,213.04
2012-07-01,219.73
2012-10-01,229.65
2013-01-01,231.67
2013-04-01,241.73
2013-07-01,249.69
2013-10-01,254.2
2014-01-01,257.09
2014-04-01,261.04
2014-07-01,265.77
2014-10-01,268.92
2015-01-01,273.38
2015-04-01,274.55
2015-07-01,278.48
2015-10-01,280.95
2016-01-01,275.46
2016-04-01,278.38
2016-07-01,281.35
2016-10-01,283.08
2017-01-01,282.73
2017-04-01,282.53
2017-07-01,284.24
2017-10-01,282.51
2018-01-01,284.06
2018-04-01,282.77
2018-07-01,282.68
2018-10-01,278.97
2019-01-01,283.73
2019-04-01,285.98
2019-07-01,289.33
2019-10-01,291.6
2020-01-01,289.38
2020-04-01,290.87
2020-07-01,294.13
2020-10-01,298.66
2021-01-01,299.8
2021-04-01,309.74
