DATE,ATNHPIUS16300Q
1979-01-01,56.67
1979-04-01,56.64
1979-07-01,59.89
1979-10-01,59.86
1980-01-01,63.15
1980-04-01,64.74
1980-07-01,61.29
1980-10-01,53.9
1981-01-01,.
1981-04-01,.
1981-07-01,.
1981-10-01,.
1982-01-01,.
1982-04-01,.
1982-07-01,55.44
1982-10-01,.
1983-01-01,.
1983-04-01,56.84
1983-07-01,60.61
1983-10-01,.
1984-01-01,59.51
1984-04-01,56.15
1984-07-01,58.64
1984-10-01,61.12
1985-01-01,60.45
1985-04-01,62.11
1985-07-01,61.05
1985-10-01,61.3
1986-01-01,62.22
1986-04-01,63.03
1986-07-01,63.76
1986-10-01,63.96
1987-01-01,65.14
1987-04-01,65.66
1987-07-01,67.32
1987-10-01,66.15
1988-01-01,66.43
1988-04-01,69.84
1988-07-01,69.37
1988-10-01,69.7
1989-01-01,72.37
1989-04-01,72.53
1989-07-01,73.45
1989-10-01,74.53
1990-01-01,75.72
1990-04-01,76.09
1990-07-01,77.48
1990-10-01,77.5
1991-01-01,78.22
1991-04-01,80.49
1991-07-01,81.27
1991-10-01,82.08
1992-01-01,82.73
1992-04-01,84.38
1992-07-01,85.31
1992-10-01,85.59
1993-01-01,86.8
1993-04-01,88.88
1993-07-01,90.23
1993-10-01,91.71
1994-01-01,93.64
1994-04-01,96.62
1994-07-01,97.72
1994-10-01,99.29
1995-01-01,100.00
1995-04-01,101.64
1995-07-01,103.12
1995-10-01,104.25
1996-01-01,104.12
1996-04-01,105.28
1996-07-01,106.25
1996-10-01,106.17
1997-01-01,105.99
1997-04-01,107.14
1997-07-01,109.09
1997-10-01,109.22
1998-01-01,111.05
1998-04-01,111.27
1998-07-01,112.28
1998-10-01,113.61
1999-01-01,114.61
1999-04-01,115.23
1999-07-01,116.28
1999-10-01,115.92
2000-01-01,117.46
2000-04-01,118.68
2000-07-01,120.11
2000-10-01,120.71
2001-01-01,123.05
2001-04-01,124.21
2001-07-01,125.57
2001-10-01,126.33
2002-01-01,127.64
2002-04-01,127.76
2002-07-01,129.77
2002-10-01,130.4
2003-01-01,131.64
2003-04-01,132.34
2003-07-01,133.76
2003-10-01,134.87
2004-01-01,135.76
2004-04-01,136.91
2004-07-01,138.27
2004-10-01,139.49
2005-01-01,142.06
2005-04-01,142.45
2005-07-01,142.68
2005-10-01,143.54
2006-01-01,143.47
2006-04-01,144.16
2006-07-01,144.92
2006-10-01,145.84
2007-01-01,146.36
2007-04-01,147.48
2007-07-01,147.76
2007-10-01,148.04
2008-01-01,148.28
2008-04-01,147.84
2008-07-01,148.01
2008-10-01,148.62
2009-01-01,149.3
2009-04-01,148.09
2009-07-01,148.85
2009-10-01,148.19
2010-01-01,147.69
2010-04-01,148.19
2010-07-01,149.5
2010-10-01,148.31
2011-01-01,146.95
2011-04-01,146.43
2011-07-01,148.01
2011-10-01,147.9
2012-01-01,148.1
2012-04-01,148.05
2012-07-01,148.1
2012-10-01,148.69
2013-01-01,149.16
2013-04-01,149.21
2013-07-01,148.95
2013-10-01,148.41
2014-01-01,149.06
2014-04-01,151.37
2014-07-01,151.37
2014-10-01,151.78
2015-01-01,153.02
2015-04-01,154.02
2015-07-01,153.71
2015-10-01,153.77
2016-01-01,155.13
2016-04-01,155.67
2016-07-01,156.95
2016-10-01,157.32
2017-01-01,160.02
2017-04-01,160.17
2017-07-01,162.34
2017-10-01,161.53
2018-01-01,163.6
2018-04-01,164.55
2018-07-01,168.38
2018-10-01,168.47
2019-01-01,168.9
2019-04-01,171.1
2019-07-01,171.48
2019-10-01,172.63
2020-01-01,174.11
2020-04-01,174.96
2020-07-01,176.3
2020-10-01,179.63
2021-01-01,181.61
2021-04-01,190.85
