DATE,ATNHPIUS16860Q
1981-04-01,59.1
1981-07-01,50.52
1981-10-01,52.83
1982-01-01,59.25
1982-04-01,61.38
1982-07-01,58.93
1982-10-01,60.39
1983-01-01,62.6
1983-04-01,64.54
1983-07-01,63.43
1983-10-01,68.55
1984-01-01,67.11
1984-04-01,67.69
1984-07-01,58.91
1984-10-01,71.13
1985-01-01,66.8
1985-04-01,69.71
1985-07-01,71.53
1985-10-01,70.98
1986-01-01,71.43
1986-04-01,72.87
1986-07-01,72.89
1986-10-01,74.37
1987-01-01,77.61
1987-04-01,78.59
1987-07-01,81.12
1987-10-01,81.71
1988-01-01,83.58
1988-04-01,83.63
1988-07-01,84.17
1988-10-01,84.1
1989-01-01,84.69
1989-04-01,85.95
1989-07-01,85.31
1989-10-01,85.59
1990-01-01,86.29
1990-04-01,86.48
1990-07-01,86.25
1990-10-01,86.29
1991-01-01,87.75
1991-04-01,88.32
1991-07-01,88.42
1991-10-01,88.94
1992-01-01,90.4
1992-04-01,90.77
1992-07-01,92.44
1992-10-01,92.34
1993-01-01,92.89
1993-04-01,94.45
1993-07-01,95.65
1993-10-01,96.46
1994-01-01,97.78
1994-04-01,98.38
1994-07-01,99.38
1994-10-01,99.26
1995-01-01,100.00
1995-04-01,102.78
1995-07-01,103.42
1995-10-01,105.42
1996-01-01,107.07
1996-04-01,107.52
1996-07-01,108.93
1996-10-01,110.97
1997-01-01,111.27
1997-04-01,111.75
1997-07-01,113.23
1997-10-01,114.72
1998-01-01,117.17
1998-04-01,117.38
1998-07-01,119.32
1998-10-01,120.64
1999-01-01,122.41
1999-04-01,123.18
1999-07-01,124.11
1999-10-01,124.73
2000-01-01,124.89
2000-04-01,126.81
2000-07-01,127.65
2000-10-01,129.72
2001-01-01,132.86
2001-04-01,134.31
2001-07-01,135.65
2001-10-01,137.36
2002-01-01,138.16
2002-04-01,138.79
2002-07-01,141.87
2002-10-01,143.01
2003-01-01,144.38
2003-04-01,146.07
2003-07-01,147.75
2003-10-01,149.44
2004-01-01,151.52
2004-04-01,153.1
2004-07-01,155.88
2004-10-01,157.77
2005-01-01,160.83
2005-04-01,165.11
2005-07-01,166.88
2005-10-01,170.23
2006-01-01,171.97
2006-04-01,174.53
2006-07-01,175.22
2006-10-01,177.01
2007-01-01,179.09
2007-04-01,181.71
2007-07-01,181.48
2007-10-01,180.28
2008-01-01,181.86
2008-04-01,180.85
2008-07-01,177.78
2008-10-01,176.77
2009-01-01,181.12
2009-04-01,178.31
2009-07-01,175.28
2009-10-01,174.83
2010-01-01,174.69
2010-04-01,172.56
2010-07-01,176.48
2010-10-01,175.71
2011-01-01,171.45
2011-04-01,168.07
2011-07-01,170.67
2011-10-01,171.45
2012-01-01,169.36
2012-04-01,171.06
2012-07-01,171.94
2012-10-01,172.18
2013-01-01,172.21
2013-04-01,174.31
2013-07-01,172.42
2013-10-01,174.42
2014-01-01,175
2014-04-01,176.35
2014-07-01,176.77
2014-10-01,178.73
2015-01-01,178.43
2015-04-01,181.16
2015-07-01,183.91
2015-10-01,185.46
2016-01-01,186.43
2016-04-01,188.56
2016-07-01,190.4
2016-10-01,191.02
2017-01-01,194.52
2017-04-01,200.15
2017-07-01,203.57
2017-10-01,205.84
2018-01-01,206.62
2018-04-01,213.27
2018-07-01,214.75
2018-10-01,218
2019-01-01,219.96
2019-04-01,225.28
2019-07-01,228.27
2019-10-01,231.07
2020-01-01,233.15
2020-04-01,237.62
2020-07-01,243.73
2020-10-01,249.09
2021-01-01,255.41
2021-04-01,270.67
