DATE,ATNHPIUS17460Q
1975-10-01,36.44
1976-01-01,38.38
1976-04-01,38.55
1976-07-01,41.92
1976-10-01,40.88
1977-01-01,43.12
1977-04-01,44.54
1977-07-01,47.68
1977-10-01,48.83
1978-01-01,48.9
1978-04-01,51.86
1978-07-01,53.04
1978-10-01,54.07
1979-01-01,55.97
1979-04-01,56.98
1979-07-01,57.86
1979-10-01,56.86
1980-01-01,56.94
1980-04-01,55.83
1980-07-01,57.65
1980-10-01,57.57
1981-01-01,57.32
1981-04-01,58.47
1981-07-01,58.2
1981-10-01,58.42
1982-01-01,46.33
1982-04-01,51.44
1982-07-01,53.45
1982-10-01,56.8
1983-01-01,56.26
1983-04-01,58.85
1983-07-01,58.8
1983-10-01,59.43
1984-01-01,59.15
1984-04-01,59.87
1984-07-01,59.43
1984-10-01,60.18
1985-01-01,60.58
1985-04-01,61.14
1985-07-01,61.62
1985-10-01,62.4
1986-01-01,62.61
1986-04-01,63.74
1986-07-01,64.62
1986-10-01,65.63
1987-01-01,67.66
1987-04-01,68.51
1987-07-01,70.31
1987-10-01,70.44
1988-01-01,71.29
1988-04-01,72.2
1988-07-01,72.75
1988-10-01,74.29
1989-01-01,75.21
1989-04-01,76.8
1989-07-01,78.69
1989-10-01,79.54
1990-01-01,80.4
1990-04-01,82.04
1990-07-01,83.38
1990-10-01,83.17
1991-01-01,84.46
1991-04-01,86
1991-07-01,86.82
1991-10-01,87.83
1992-01-01,89.66
1992-04-01,89.86
1992-07-01,91.77
1992-10-01,92.78
1993-01-01,93.05
1993-04-01,94.09
1993-07-01,95.21
1993-10-01,96.9
1994-01-01,97.44
1994-04-01,98.72
1994-07-01,98.93
1994-10-01,100.3
1995-01-01,100.00
1995-04-01,102.3
1995-07-01,104.28
1995-10-01,105.59
1996-01-01,107.65
1996-04-01,108.12
1996-07-01,108.57
1996-10-01,109.12
1997-01-01,111.14
1997-04-01,111.66
1997-07-01,112.87
1997-10-01,114.32
1998-01-01,115.86
1998-04-01,116.62
1998-07-01,117.88
1998-10-01,119.04
1999-01-01,120.52
1999-04-01,121.18
1999-07-01,121.45
1999-10-01,121.67
2000-01-01,123.35
2000-04-01,124.45
2000-07-01,125.75
2000-10-01,127.41
2001-01-01,130.1
2001-04-01,131.04
2001-07-01,132.5
2001-10-01,133.62
2002-01-01,134.45
2002-04-01,135.73
2002-07-01,136.77
2002-10-01,137.98
2003-01-01,138.98
2003-04-01,139.85
2003-07-01,141.23
2003-10-01,142.95
2004-01-01,144.15
2004-04-01,145.1
2004-07-01,146.76
2004-10-01,148.23
2005-01-01,148.95
2005-04-01,150.26
2005-07-01,151.46
2005-10-01,151.16
2006-01-01,151.39
2006-04-01,150.35
2006-07-01,149.25
2006-10-01,149.01
2007-01-01,150.16
2007-04-01,148.32
2007-07-01,145.21
2007-10-01,144.59
2008-01-01,144.56
2008-04-01,142.68
2008-07-01,137.38
2008-10-01,137.28
2009-01-01,140.94
2009-04-01,136.85
2009-07-01,133.43
2009-10-01,132.87
2010-01-01,131.14
2010-04-01,129.58
2010-07-01,131.74
2010-10-01,130.67
2011-01-01,126.57
2011-04-01,124.24
2011-07-01,125.06
2011-10-01,126.04
2012-01-01,123.3
2012-04-01,122.46
2012-07-01,124.03
2012-10-01,123.78
2013-01-01,122.97
2013-04-01,123.54
2013-07-01,124.74
2013-10-01,124.62
2014-01-01,124.18
2014-04-01,126.77
2014-07-01,129.27
2014-10-01,129.45
2015-01-01,129.95
2015-04-01,132.53
2015-07-01,133.62
2015-10-01,132.55
2016-01-01,133.31
2016-04-01,135.74
2016-07-01,138.16
2016-10-01,138.52
2017-01-01,139.38
2017-04-01,143.21
2017-07-01,145.05
2017-10-01,144.42
2018-01-01,146.4
2018-04-01,149.83
2018-07-01,152.36
2018-10-01,151.62
2019-01-01,153.68
2019-04-01,156.8
2019-07-01,158.77
2019-10-01,160.19
2020-01-01,162.77
2020-04-01,164.32
2020-07-01,168.63
2020-10-01,172.45
2021-01-01,175.13
2021-04-01,183.76
