DATE,ATNHPIUS18140Q
1976-04-01,38.86
1976-07-01,38.58
1976-10-01,40.16
1977-01-01,38.48
1977-04-01,39.81
1977-07-01,42.14
1977-10-01,42.61
1978-01-01,43.9
1978-04-01,46.25
1978-07-01,46.74
1978-10-01,47.7
1979-01-01,49.7
1979-04-01,51.46
1979-07-01,52.19
1979-10-01,54.38
1980-01-01,52.7
1980-04-01,53.21
1980-07-01,55.66
1980-10-01,56.89
1981-01-01,57.19
1981-04-01,58.26
1981-07-01,58.26
1981-10-01,56.86
1982-01-01,54.79
1982-04-01,56.97
1982-07-01,59.63
1982-10-01,60.68
1983-01-01,58.51
1983-04-01,59.49
1983-07-01,60.2
1983-10-01,60.5
1984-01-01,60.32
1984-04-01,61.94
1984-07-01,62.66
1984-10-01,61.6
1985-01-01,62.55
1985-04-01,62.92
1985-07-01,64.1
1985-10-01,64.41
1986-01-01,65.37
1986-04-01,66.01
1986-07-01,67.55
1986-10-01,68.63
1987-01-01,69.3
1987-04-01,70.94
1987-07-01,72.77
1987-10-01,73.29
1988-01-01,74.99
1988-04-01,76.41
1988-07-01,77.17
1988-10-01,77.86
1989-01-01,79.03
1989-04-01,79.49
1989-07-01,80.96
1989-10-01,81.33
1990-01-01,82.12
1990-04-01,82.63
1990-07-01,83.88
1990-10-01,84.12
1991-01-01,84.84
1991-04-01,86.17
1991-07-01,86.33
1991-10-01,87.88
1992-01-01,88.76
1992-04-01,89.33
1992-07-01,90.48
1992-10-01,91.14
1993-01-01,91.96
1993-04-01,92.61
1993-07-01,93.92
1993-10-01,94.71
1994-01-01,96.1
1994-04-01,97.75
1994-07-01,98.38
1994-10-01,99.81
1995-01-01,100.00
1995-04-01,101.76
1995-07-01,103.3
1995-10-01,104.68
1996-01-01,105.96
1996-04-01,107.07
1996-07-01,107.73
1996-10-01,108.91
1997-01-01,110.42
1997-04-01,111.07
1997-07-01,112.2
1997-10-01,113.52
1998-01-01,115.17
1998-04-01,115.88
1998-07-01,117.16
1998-10-01,118.71
1999-01-01,119.8
1999-04-01,120.97
1999-07-01,121.4
1999-10-01,122.52
2000-01-01,123.96
2000-04-01,125.52
2000-07-01,126.78
2000-10-01,128.46
2001-01-01,130.89
2001-04-01,132.18
2001-07-01,133.59
2001-10-01,134.76
2002-01-01,136.12
2002-04-01,137.27
2002-07-01,138.88
2002-10-01,139.69
2003-01-01,140.96
2003-04-01,142.01
2003-07-01,143.18
2003-10-01,145.68
2004-01-01,146.73
2004-04-01,147.64
2004-07-01,149.63
2004-10-01,151.56
2005-01-01,152.89
2005-04-01,154.71
2005-07-01,155.99
2005-10-01,156.39
2006-01-01,156.57
2006-04-01,156.5
2006-07-01,156.34
2006-10-01,156.75
2007-01-01,156.78
2007-04-01,155.99
2007-07-01,155
2007-10-01,155.19
2008-01-01,155.97
2008-04-01,153.38
2008-07-01,150.66
2008-10-01,151.49
2009-01-01,153.4
2009-04-01,150.27
2009-07-01,147.98
2009-10-01,147.81
2010-01-01,146.28
2010-04-01,145.35
2010-07-01,147.35
2010-10-01,146.76
2011-01-01,142.95
2011-04-01,140.84
2011-07-01,142.69
2011-10-01,143.26
2012-01-01,141.56
2012-04-01,140.92
2012-07-01,143.04
2012-10-01,142.84
2013-01-01,143.26
2013-04-01,144.35
2013-07-01,146.2
2013-10-01,146.18
2014-01-01,147.86
2014-04-01,152.21
2014-07-01,153.24
2014-10-01,153.09
2015-01-01,154.97
2015-04-01,158.35
2015-07-01,161.27
2015-10-01,162.07
2016-01-01,163.79
2016-04-01,167.28
2016-07-01,171.57
2016-10-01,171.41
2017-01-01,173.55
2017-04-01,179.66
2017-07-01,183.21
2017-10-01,183.69
2018-01-01,186.88
2018-04-01,192.31
2018-07-01,194.51
2018-10-01,195.43
2019-01-01,197.54
2019-04-01,202.96
2019-07-01,205.25
2019-10-01,207.29
2020-01-01,210.75
2020-04-01,212.9
2020-07-01,218.25
2020-10-01,223.01
2021-01-01,227.26
2021-04-01,240.57
