DATE,ATNHPIUS18580Q
1979-01-01,67.85
1979-04-01,73.58
1979-07-01,68.94
1979-10-01,62.25
1980-01-01,76.14
1980-04-01,75.83
1980-07-01,80.69
1980-10-01,80.76
1981-01-01,81.07
1981-04-01,83.59
1981-07-01,79.89
1981-10-01,79.69
1982-01-01,91.41
1982-04-01,92.44
1982-07-01,85.21
1982-10-01,93.52
1983-01-01,91.36
1983-04-01,97.67
1983-07-01,95.99
1983-10-01,93.35
1984-01-01,96.07
1984-04-01,95.31
1984-07-01,93.59
1984-10-01,90.29
1985-01-01,93.42
1985-04-01,91.51
1985-07-01,92.12
1985-10-01,94.67
1986-01-01,92.7
1986-04-01,96.56
1986-07-01,96.23
1986-10-01,94.14
1987-01-01,95.3
1987-04-01,91.54
1987-07-01,89.47
1987-10-01,85.06
1988-01-01,80.83
1988-04-01,84.82
1988-07-01,85.77
1988-10-01,85.88
1989-01-01,84.1
1989-04-01,84.44
1989-07-01,85.87
1989-10-01,85.56
1990-01-01,85.88
1990-04-01,85.92
1990-07-01,85.97
1990-10-01,84.11
1991-01-01,84.61
1991-04-01,87.99
1991-07-01,88.32
1991-10-01,88.14
1992-01-01,90.24
1992-04-01,89.92
1992-07-01,94.03
1992-10-01,92.73
1993-01-01,95.36
1993-04-01,95.55
1993-07-01,96.61
1993-10-01,97.69
1994-01-01,99.09
1994-04-01,100.13
1994-07-01,100.72
1994-10-01,100
1995-01-01,100.00
1995-04-01,103.27
1995-07-01,104.04
1995-10-01,104.4
1996-01-01,105.29
1996-04-01,105.18
1996-07-01,104.13
1996-10-01,106.54
1997-01-01,104.8
1997-04-01,105.83
1997-07-01,106.88
1997-10-01,106.43
1998-01-01,108.29
1998-04-01,107.55
1998-07-01,108.28
1998-10-01,109.6
1999-01-01,108.75
1999-04-01,111.51
1999-07-01,113.82
1999-10-01,113.64
2000-01-01,112.24
2000-04-01,113.68
2000-07-01,114.02
2000-10-01,116.07
2001-01-01,114.47
2001-04-01,119.38
2001-07-01,120.29
2001-10-01,120.94
2002-01-01,122.66
2002-04-01,123.66
2002-07-01,126.37
2002-10-01,127.83
2003-01-01,128.75
2003-04-01,128.74
2003-07-01,132.11
2003-10-01,132.69
2004-01-01,134.59
2004-04-01,136.85
2004-07-01,139.89
2004-10-01,144.5
2005-01-01,144.45
2005-04-01,148.34
2005-07-01,151.59
2005-10-01,154.18
2006-01-01,156.17
2006-04-01,160.06
2006-07-01,159.73
2006-10-01,160.69
2007-01-01,164.44
2007-04-01,165.36
2007-07-01,166.34
2007-10-01,165.26
2008-01-01,164.46
2008-04-01,164.14
2008-07-01,164.67
2008-10-01,165.01
2009-01-01,168.15
2009-04-01,166.28
2009-07-01,169.56
2009-10-01,165.69
2010-01-01,161.78
2010-04-01,164.24
2010-07-01,161.81
2010-10-01,159.2
2011-01-01,157.14
2011-04-01,158.52
2011-07-01,159.76
2011-10-01,161.5
2012-01-01,156.61
2012-04-01,159.61
2012-07-01,163.41
2012-10-01,161.96
2013-01-01,163.38
2013-04-01,167.4
2013-07-01,170.58
2013-10-01,171.5
2014-01-01,175.28
2014-04-01,182.62
2014-07-01,182.82
2014-10-01,187.09
2015-01-01,187.54
2015-04-01,189.11
2015-07-01,191.85
2015-10-01,196.3
2016-01-01,194
2016-04-01,199.85
2016-07-01,201.15
2016-10-01,202.53
2017-01-01,196.38
2017-04-01,205.06
2017-07-01,209.32
2017-10-01,203.13
2018-01-01,207.48
2018-04-01,209.11
2018-07-01,209.57
2018-10-01,209.15
2019-01-01,211.91
2019-04-01,215.06
2019-07-01,219.44
2019-10-01,219.29
2020-01-01,222.74
2020-04-01,225
2020-07-01,229.38
2020-10-01,232.99
2021-01-01,242.44
2021-04-01,249.43
