DATE,ATNHPIUS19124Q
1975-10-01,40.92
1976-01-01,39.82
1976-04-01,45.34
1976-07-01,42.35
1976-10-01,42.1
1977-01-01,44.72
1977-04-01,51.57
1977-07-01,47.09
1977-10-01,49.38
1978-01-01,51.82
1978-04-01,56.68
1978-07-01,58.09
1978-10-01,60.16
1979-01-01,62.21
1979-04-01,67.78
1979-07-01,69.25
1979-10-01,71.91
1980-01-01,74.74
1980-04-01,76.03
1980-07-01,78.24
1980-10-01,79.77
1981-01-01,81.84
1981-04-01,83.59
1981-07-01,84.89
1981-10-01,78.05
1982-01-01,87.6
1982-04-01,82.13
1982-07-01,85.31
1982-10-01,87.54
1983-01-01,91.4
1983-04-01,93.1
1983-07-01,94.65
1983-10-01,97.05
1984-01-01,97.48
1984-04-01,99.34
1984-07-01,101.72
1984-10-01,101.96
1985-01-01,102.52
1985-04-01,104.8
1985-07-01,105.87
1985-10-01,106.23
1986-01-01,106.7
1986-04-01,109.13
1986-07-01,108.02
1986-10-01,107.51
1987-01-01,107.09
1987-04-01,102.85
1987-07-01,102.13
1987-10-01,99.07
1988-01-01,98.62
1988-04-01,98.41
1988-07-01,95.85
1988-10-01,94.36
1989-01-01,93.6
1989-04-01,93.92
1989-07-01,95.58
1989-10-01,95.05
1990-01-01,94.41
1990-04-01,94.95
1990-07-01,95.15
1990-10-01,94.43
1991-01-01,95.64
1991-04-01,96.2
1991-07-01,95.57
1991-10-01,97.22
1992-01-01,98.44
1992-04-01,97.53
1992-07-01,99.15
1992-10-01,99.25
1993-01-01,99.1
1993-04-01,99.95
1993-07-01,100.5
1993-10-01,101.21
1994-01-01,101.41
1994-04-01,100.82
1994-07-01,100.51
1994-10-01,100.07
1995-01-01,100.00
1995-04-01,101.53
1995-07-01,103.26
1995-10-01,104
1996-01-01,104.99
1996-04-01,104.88
1996-07-01,105.72
1996-10-01,106.07
1997-01-01,106.95
1997-04-01,107.76
1997-07-01,108.79
1997-10-01,110.37
1998-01-01,112.15
1998-04-01,112.93
1998-07-01,115.27
1998-10-01,116.74
1999-01-01,117.74
1999-04-01,120.21
1999-07-01,121.89
1999-10-01,123.47
2000-01-01,125.83
2000-04-01,127.65
2000-07-01,129.33
2000-10-01,131.04
2001-01-01,134.53
2001-04-01,136.55
2001-07-01,137.76
2001-10-01,139.51
2002-01-01,140.1
2002-04-01,141.29
2002-07-01,143.42
2002-10-01,144.45
2003-01-01,145.11
2003-04-01,145.87
2003-07-01,146.47
2003-10-01,147.05
2004-01-01,147.92
2004-04-01,148.89
2004-07-01,149.49
2004-10-01,150.97
2005-01-01,151.65
2005-04-01,153.27
2005-07-01,154.95
2005-10-01,155.78
2006-01-01,156.89
2006-04-01,157.99
2006-07-01,159.06
2006-10-01,160.22
2007-01-01,161.57
2007-04-01,164.31
2007-07-01,162.99
2007-10-01,163.97
2008-01-01,165.28
2008-04-01,165.06
2008-07-01,164.28
2008-10-01,165.02
2009-01-01,167.36
2009-04-01,165.52
2009-07-01,162.56
2009-10-01,162.85
2010-01-01,162.3
2010-04-01,162.32
2010-07-01,163.4
2010-10-01,162.31
2011-01-01,159.4
2011-04-01,157.88
2011-07-01,160.18
2011-10-01,159.72
2012-01-01,159.49
2012-04-01,160.11
2012-07-01,161.61
2012-10-01,163.21
2013-01-01,164.46
2013-04-01,168.51
2013-07-01,172.12
2013-10-01,174.27
2014-01-01,178
2014-04-01,183.77
2014-07-01,187.44
2014-10-01,189.58
2015-01-01,194.23
2015-04-01,200.9
2015-07-01,206.59
2015-10-01,209.27
2016-01-01,213.84
2016-04-01,221.84
2016-07-01,226.44
2016-10-01,230.61
2017-01-01,235.63
2017-04-01,244.91
2017-07-01,249.46
2017-10-01,252.02
2018-01-01,256.03
2018-04-01,261.21
2018-07-01,264.18
2018-10-01,264.56
2019-01-01,267.04
2019-04-01,271.6
2019-07-01,274.3
2019-10-01,275.97
2020-01-01,277.92
2020-04-01,279.14
2020-07-01,283.73
2020-10-01,289.55
2021-01-01,295.7
2021-04-01,314.47
