DATE,ATNHPIUS19740Q
1976-04-01,31.89
1976-07-01,31.67
1976-10-01,32.57
1977-01-01,33.48
1977-04-01,34.22
1977-07-01,37.41
1977-10-01,39.42
1978-01-01,41.76
1978-04-01,44.14
1978-07-01,46.94
1978-10-01,49.11
1979-01-01,51.54
1979-04-01,53.07
1979-07-01,55.16
1979-10-01,55.21
1980-01-01,56.56
1980-04-01,57.96
1980-07-01,60.53
1980-10-01,60.2
1981-01-01,61.86
1981-04-01,62.69
1981-07-01,65.15
1981-10-01,65.37
1982-01-01,68.31
1982-04-01,68.67
1982-07-01,70.26
1982-10-01,72.89
1983-01-01,72.15
1983-04-01,72.18
1983-07-01,73.28
1983-10-01,71.39
1984-01-01,73.54
1984-04-01,73.52
1984-07-01,74.27
1984-10-01,72.57
1985-01-01,73.69
1985-04-01,73.83
1985-07-01,73.78
1985-10-01,72.47
1986-01-01,74.74
1986-04-01,74.85
1986-07-01,74.68
1986-10-01,74.18
1987-01-01,74.46
1987-04-01,73.48
1987-07-01,72.82
1987-10-01,70.99
1988-01-01,71.53
1988-04-01,71.56
1988-07-01,70.77
1988-10-01,70.07
1989-01-01,70.1
1989-04-01,70.34
1989-07-01,71.65
1989-10-01,71.14
1990-01-01,71.2
1990-04-01,71.98
1990-07-01,72.49
1990-10-01,72.88
1991-01-01,73.26
1991-04-01,74.42
1991-07-01,74.88
1991-10-01,75.98
1992-01-01,77.33
1992-04-01,78.76
1992-07-01,80.57
1992-10-01,81.79
1993-01-01,83.22
1993-04-01,84.83
1993-07-01,87.19
1993-10-01,89.08
1994-01-01,91.5
1994-04-01,95.52
1994-07-01,97.61
1994-10-01,98.21
1995-01-01,100.00
1995-04-01,101.88
1995-07-01,103.73
1995-10-01,105.36
1996-01-01,106.3
1996-04-01,107.61
1996-07-01,108.87
1996-10-01,110.54
1997-01-01,112.06
1997-04-01,113.63
1997-07-01,115.51
1997-10-01,117.4
1998-01-01,118.99
1998-04-01,120.76
1998-07-01,123.53
1998-10-01,125.13
1999-01-01,127.89
1999-04-01,132.91
1999-07-01,138.49
1999-10-01,141.36
2000-01-01,147.3
2000-04-01,152.05
2000-07-01,156.56
2000-10-01,160.62
2001-01-01,164.87
2001-04-01,168.62
2001-07-01,171.98
2001-10-01,173.2
2002-01-01,175.17
2002-04-01,177.22
2002-07-01,179.32
2002-10-01,180.23
2003-01-01,180.65
2003-04-01,181.29
2003-07-01,181.78
2003-10-01,184.2
2004-01-01,185.4
2004-04-01,186.1
2004-07-01,188.39
2004-10-01,189.99
2005-01-01,191.67
2005-04-01,193.33
2005-07-01,195.37
2005-10-01,197.03
2006-01-01,196.11
2006-04-01,196.25
2006-07-01,196.01
2006-10-01,196.91
2007-01-01,195.71
2007-04-01,195.4
2007-07-01,192.24
2007-10-01,192.99
2008-01-01,193.35
2008-04-01,191.8
2008-07-01,187.93
2008-10-01,188.89
2009-01-01,193.1
2009-04-01,190.64
2009-07-01,186.6
2009-10-01,186.94
2010-01-01,185.84
2010-04-01,184.21
2010-07-01,187.25
2010-10-01,186.84
2011-01-01,182.48
2011-04-01,179.34
2011-07-01,181.79
2011-10-01,183.27
2012-01-01,182.68
2012-04-01,184.73
2012-07-01,187.9
2012-10-01,190.1
2013-01-01,193.3
2013-04-01,198.97
2013-07-01,205.83
2013-10-01,208.59
2014-01-01,212.01
2014-04-01,220.59
2014-07-01,225.56
2014-10-01,229.82
2015-01-01,234.34
2015-04-01,245.68
2015-07-01,254.99
2015-10-01,259.23
2016-01-01,264.54
2016-04-01,274.32
2016-07-01,281.82
2016-10-01,285.91
2017-01-01,292.43
2017-04-01,303.61
2017-07-01,308.26
2017-10-01,313.06
2018-01-01,321.42
2018-04-01,330.33
2018-07-01,334.63
2018-10-01,334.95
2019-01-01,339.17
2019-04-01,343.96
2019-07-01,346.16
2019-10-01,348.65
2020-01-01,352.11
2020-04-01,355.98
2020-07-01,362
2020-10-01,368.56
2021-01-01,378.45
2021-04-01,405.77
