DATE,ATNHPIUS19780Q
1977-04-01,49.38
1977-07-01,51.84
1977-10-01,53.77
1978-01-01,55.1
1978-04-01,58.12
1978-07-01,57.62
1978-10-01,61.68
1979-01-01,62.6
1979-04-01,65.21
1979-07-01,64.56
1979-10-01,66.16
1980-01-01,60.91
1980-04-01,66.3
1980-07-01,62.77
1980-10-01,65.25
1981-01-01,64.16
1981-04-01,58.15
1981-07-01,55.27
1981-10-01,69.79
1982-01-01,65.67
1982-04-01,61.38
1982-07-01,58.09
1982-10-01,63.21
1983-01-01,66.74
1983-04-01,65.51
1983-07-01,65.77
1983-10-01,66.26
1984-01-01,65.34
1984-04-01,67.28
1984-07-01,66.13
1984-10-01,68.1
1985-01-01,69.12
1985-04-01,69.8
1985-07-01,71.51
1985-10-01,70.73
1986-01-01,72.27
1986-04-01,72.81
1986-07-01,72.3
1986-10-01,72.3
1987-01-01,74
1987-04-01,73.67
1987-07-01,74.13
1987-10-01,72.48
1988-01-01,74.52
1988-04-01,74.86
1988-07-01,75.77
1988-10-01,75.72
1989-01-01,76.74
1989-04-01,78.01
1989-07-01,78.71
1989-10-01,78.69
1990-01-01,79.3
1990-04-01,81.04
1990-07-01,81.73
1990-10-01,82.38
1991-01-01,82.75
1991-04-01,83.85
1991-07-01,84.46
1991-10-01,85.72
1992-01-01,85.51
1992-04-01,86.97
1992-07-01,87.56
1992-10-01,88.44
1993-01-01,89.13
1993-04-01,90.21
1993-07-01,92.2
1993-10-01,92.91
1994-01-01,94.63
1994-04-01,97.92
1994-07-01,99.35
1994-10-01,98.76
1995-01-01,100.00
1995-04-01,102.94
1995-07-01,103.77
1995-10-01,105.04
1996-01-01,106.13
1996-04-01,106.97
1996-07-01,107.84
1996-10-01,108.45
1997-01-01,109.32
1997-04-01,110.5
1997-07-01,112.06
1997-10-01,112.93
1998-01-01,114.57
1998-04-01,116.09
1998-07-01,117.06
1998-10-01,118.93
1999-01-01,119.69
1999-04-01,121.78
1999-07-01,121.94
1999-10-01,123.59
2000-01-01,124.66
2000-04-01,126.33
2000-07-01,128.02
2000-10-01,129.04
2001-01-01,132.19
2001-04-01,133.45
2001-07-01,134.35
2001-10-01,136.15
2002-01-01,137.72
2002-04-01,138.5
2002-07-01,140.22
2002-10-01,141.46
2003-01-01,142.92
2003-04-01,143.69
2003-07-01,145.64
2003-10-01,148.6
2004-01-01,149.26
2004-04-01,151.27
2004-07-01,153.16
2004-10-01,154.98
2005-01-01,157.13
2005-04-01,159.15
2005-07-01,162.19
2005-10-01,162.74
2006-01-01,162.12
2006-04-01,163.19
2006-07-01,164.04
2006-10-01,165.12
2007-01-01,165.72
2007-04-01,166.53
2007-07-01,165.77
2007-10-01,167.49
2008-01-01,167.99
2008-04-01,164.97
2008-07-01,162.9
2008-10-01,164.14
2009-01-01,165.6
2009-04-01,163.77
2009-07-01,161.27
2009-10-01,160.47
2010-01-01,158.85
2010-04-01,158.6
2010-07-01,160.59
2010-10-01,160.13
2011-01-01,157.62
2011-04-01,156.27
2011-07-01,157.98
2011-10-01,158.41
2012-01-01,157.71
2012-04-01,156.86
2012-07-01,158.31
2012-10-01,158.62
2013-01-01,159.17
2013-04-01,160.24
2013-07-01,161.21
2013-10-01,161.75
2014-01-01,161.36
2014-04-01,165.04
2014-07-01,166.28
2014-10-01,167.76
2015-01-01,167.58
2015-04-01,170.8
2015-07-01,173.52
2015-10-01,175.32
2016-01-01,175.87
2016-04-01,178.62
2016-07-01,181.62
2016-10-01,181.77
2017-01-01,184.43
2017-04-01,187.71
2017-07-01,190.13
2017-10-01,190.6
2018-01-01,192.04
2018-04-01,196.22
2018-07-01,197.3
2018-10-01,197.62
2019-01-01,199.35
2019-04-01,201.39
2019-07-01,202.7
2019-10-01,203.83
2020-01-01,204.37
2020-04-01,205.9
2020-07-01,207.95
2020-10-01,210.65
2021-01-01,212.67
2021-04-01,223.58
