DATE,ATNHPIUS20100Q
1987-07-01,79.56
1987-10-01,80.55
1988-01-01,80.18
1988-04-01,84.64
1988-07-01,86.09
1988-10-01,86.15
1989-01-01,83.39
1989-04-01,90.55
1989-07-01,92.16
1989-10-01,92.16
1990-01-01,92.9
1990-04-01,96.95
1990-07-01,95.55
1990-10-01,96.56
1991-01-01,98.93
1991-04-01,98.96
1991-07-01,97.48
1991-10-01,101.13
1992-01-01,100.96
1992-04-01,98.98
1992-07-01,101.3
1992-10-01,102.09
1993-01-01,101.63
1993-04-01,103.99
1993-07-01,104.36
1993-10-01,103.72
1994-01-01,103.73
1994-04-01,103.23
1994-07-01,101.31
1994-10-01,100.01
1995-01-01,100.00
1995-04-01,104.37
1995-07-01,103.65
1995-10-01,103.56
1996-01-01,105.16
1996-04-01,103.31
1996-07-01,104.08
1996-10-01,105.94
1997-01-01,107.18
1997-04-01,108.6
1997-07-01,105.98
1997-10-01,109.28
1998-01-01,110.84
1998-04-01,108.96
1998-07-01,110.38
1998-10-01,111.16
1999-01-01,112.82
1999-04-01,110.68
1999-07-01,111.84
1999-10-01,113.45
2000-01-01,111.52
2000-04-01,113.43
2000-07-01,113.64
2000-10-01,115.34
2001-01-01,117.99
2001-04-01,120.97
2001-07-01,121.41
2001-10-01,123.58
2002-01-01,124.84
2002-04-01,127.39
2002-07-01,128.6
2002-10-01,130.56
2003-01-01,132.22
2003-04-01,133.09
2003-07-01,135.14
2003-10-01,140.43
2004-01-01,143.99
2004-04-01,146.54
2004-07-01,156.58
2004-10-01,161.99
2005-01-01,167.31
2005-04-01,178.75
2005-07-01,184.46
2005-10-01,188.84
2006-01-01,191.96
2006-04-01,198.72
2006-07-01,203.08
2006-10-01,207.63
2007-01-01,210.4
2007-04-01,208.83
2007-07-01,209.19
2007-10-01,207.26
2008-01-01,208.88
2008-04-01,204.44
2008-07-01,199.32
2008-10-01,196.87
2009-01-01,198.38
2009-04-01,192.17
2009-07-01,185.76
2009-10-01,182.29
2010-01-01,179.91
2010-04-01,175.46
2010-07-01,177.47
2010-10-01,173.23
2011-01-01,172.06
2011-04-01,164.8
2011-07-01,162.26
2011-10-01,165.63
2012-01-01,167.55
2012-04-01,161.92
2012-07-01,162.5
2012-10-01,162.72
2013-01-01,165.53
2013-04-01,163.13
2013-07-01,162.17
2013-10-01,164.21
2014-01-01,163.57
2014-04-01,163.97
2014-07-01,168.39
2014-10-01,167.67
2015-01-01,170.71
2015-04-01,169.52
2015-07-01,170.86
2015-10-01,172.2
2016-01-01,174.54
2016-04-01,180.71
2016-07-01,180.91
2016-10-01,179.63
2017-01-01,180.21
2017-04-01,178.64
2017-07-01,179.99
2017-10-01,185.2
2018-01-01,185.69
2018-04-01,186.72
2018-07-01,188.56
2018-10-01,187.87
2019-01-01,186.86
2019-04-01,193.84
2019-07-01,197.89
2019-10-01,198.07
2020-01-01,199.77
2020-04-01,204.47
2020-07-01,209.53
2020-10-01,208.85
2021-01-01,218.29
2021-04-01,225.74
