DATE,ATNHPIUS20260Q
1986-04-01,62.94
1986-07-01,64.63
1986-10-01,63.1
1987-01-01,63.36
1987-04-01,64.71
1987-07-01,67.49
1987-10-01,67.91
1988-01-01,70.19
1988-04-01,69.87
1988-07-01,71.81
1988-10-01,71.36
1989-01-01,73.61
1989-04-01,71.72
1989-07-01,77.05
1989-10-01,77.91
1990-01-01,76.81
1990-04-01,78.53
1990-07-01,80.74
1990-10-01,80.24
1991-01-01,81.08
1991-04-01,84.64
1991-07-01,84.95
1991-10-01,87.31
1992-01-01,87.75
1992-04-01,88.83
1992-07-01,92.41
1992-10-01,93.39
1993-01-01,95.38
1993-04-01,96.74
1993-07-01,97.62
1993-10-01,99.31
1994-01-01,100.46
1994-04-01,98.31
1994-07-01,99.59
1994-10-01,99.96
1995-01-01,100.00
1995-04-01,102.83
1995-07-01,105.94
1995-10-01,107.68
1996-01-01,108.43
1996-04-01,109.95
1996-07-01,109.61
1996-10-01,112.05
1997-01-01,115.16
1997-04-01,112.75
1997-07-01,116.58
1997-10-01,118.83
1998-01-01,120.57
1998-04-01,121.96
1998-07-01,124.53
1998-10-01,124.88
1999-01-01,126.76
1999-04-01,128.68
1999-07-01,131.46
1999-10-01,133
2000-01-01,138.09
2000-04-01,139.5
2000-07-01,143.03
2000-10-01,146.73
2001-01-01,149.36
2001-04-01,152.83
2001-07-01,156.23
2001-10-01,158.88
2002-01-01,162.21
2002-04-01,166.49
2002-07-01,170.28
2002-10-01,173.4
2003-01-01,176.44
2003-04-01,178.8
2003-07-01,184.99
2003-10-01,192.02
2004-01-01,194.59
2004-04-01,198.16
2004-07-01,206.9
2004-10-01,207.45
2005-01-01,211.99
2005-04-01,217.81
2005-07-01,222.41
2005-10-01,225.17
2006-01-01,228.95
2006-04-01,226.27
2006-07-01,227.06
2006-10-01,229.69
2007-01-01,232.78
2007-04-01,234.93
2007-07-01,233.64
2007-10-01,233.38
2008-01-01,233.34
2008-04-01,231.32
2008-07-01,228.93
2008-10-01,227.96
2009-01-01,232.59
2009-04-01,229.35
2009-07-01,223.43
2009-10-01,222.32
2010-01-01,218.49
2010-04-01,218.82
2010-07-01,224.18
2010-10-01,221.01
2011-01-01,215.03
2011-04-01,212.42
2011-07-01,215.83
2011-10-01,218.21
2012-01-01,213.91
2012-04-01,213.14
2012-07-01,215.8
2012-10-01,215.67
2013-01-01,216.1
2013-04-01,216.13
2013-07-01,216.68
2013-10-01,216.24
2014-01-01,216.86
2014-04-01,222.98
2014-07-01,222.37
2014-10-01,223.46
2015-01-01,223.88
2015-04-01,226.6
2015-07-01,227.78
2015-10-01,226.48
2016-01-01,228.7
2016-04-01,233.9
2016-07-01,234.85
2016-10-01,237.04
2017-01-01,241.55
2017-04-01,242.08
2017-07-01,245.69
2017-10-01,248.76
2018-01-01,249.2
2018-04-01,253.15
2018-07-01,257.51
2018-10-01,259.54
2019-01-01,258.68
2019-04-01,263.67
2019-07-01,268.15
2019-10-01,270.1
2020-01-01,271.9
2020-04-01,274.49
2020-07-01,281.39
2020-10-01,285.21
2021-01-01,288.24
2021-04-01,306.47
