DATE,ATNHPIUS24340Q
1978-07-01,43.43
1978-10-01,44.71
1979-01-01,46.74
1979-04-01,48.05
1979-07-01,50.12
1979-10-01,50.8
1980-01-01,52.47
1980-04-01,53.96
1980-07-01,53.24
1980-10-01,52.16
1981-01-01,56.59
1981-04-01,54.82
1981-07-01,56.88
1981-10-01,57.32
1982-01-01,60.38
1982-04-01,59.15
1982-07-01,54.3
1982-10-01,56.55
1983-01-01,58.45
1983-04-01,58.52
1983-07-01,57.15
1983-10-01,57.69
1984-01-01,57.15
1984-04-01,59.27
1984-07-01,59.86
1984-10-01,59.93
1985-01-01,61.15
1985-04-01,61.42
1985-07-01,62.54
1985-10-01,62.96
1986-01-01,63.97
1986-04-01,64.53
1986-07-01,66.14
1986-10-01,66.79
1987-01-01,68.29
1987-04-01,69.51
1987-07-01,71.57
1987-10-01,72.27
1988-01-01,74.34
1988-04-01,75.19
1988-07-01,77.25
1988-10-01,77.82
1989-01-01,79.14
1989-04-01,81.48
1989-07-01,82.34
1989-10-01,82.81
1990-01-01,84.28
1990-04-01,85.08
1990-07-01,85.55
1990-10-01,85.54
1991-01-01,86.56
1991-04-01,87.81
1991-07-01,88.48
1991-10-01,88.79
1992-01-01,89.31
1992-04-01,89.85
1992-07-01,90.24
1992-10-01,90.5
1993-01-01,90.67
1993-04-01,91.58
1993-07-01,92.01
1993-10-01,92.43
1994-01-01,93.6
1994-04-01,95.65
1994-07-01,97.47
1994-10-01,98.62
1995-01-01,100.00
1995-04-01,102.1
1995-07-01,103.01
1995-10-01,104.43
1996-01-01,105.6
1996-04-01,108.48
1996-07-01,110.57
1996-10-01,111.89
1997-01-01,112.81
1997-04-01,114.99
1997-07-01,116.33
1997-10-01,118.03
1998-01-01,119
1998-04-01,120.98
1998-07-01,122.39
1998-10-01,122.86
1999-01-01,125.34
1999-04-01,127.82
1999-07-01,128.93
1999-10-01,130.59
2000-01-01,133.06
2000-04-01,135.01
2000-07-01,136.74
2000-10-01,138.3
2001-01-01,140.66
2001-04-01,141.91
2001-07-01,143.73
2001-10-01,144.99
2002-01-01,146.32
2002-04-01,148.06
2002-07-01,149.39
2002-10-01,150.4
2003-01-01,151.58
2003-04-01,152.29
2003-07-01,153.87
2003-10-01,156.26
2004-01-01,157.12
2004-04-01,158.46
2004-07-01,160.28
2004-10-01,162.42
2005-01-01,164
2005-04-01,164.83
2005-07-01,166.95
2005-10-01,166.16
2006-01-01,164.89
2006-04-01,162.58
2006-07-01,162.49
2006-10-01,163.97
2007-01-01,163.21
2007-04-01,161.69
2007-07-01,157.8
2007-10-01,158.1
2008-01-01,158.44
2008-04-01,153.02
2008-07-01,147.7
2008-10-01,147.63
2009-01-01,150.24
2009-04-01,144.93
2009-07-01,139.15
2009-10-01,139.75
2010-01-01,138.29
2010-04-01,136.67
2010-07-01,138.41
2010-10-01,137.8
2011-01-01,133.52
2011-04-01,131.82
2011-07-01,133.85
2011-10-01,134.93
2012-01-01,133.45
2012-04-01,132.18
2012-07-01,134.88
2012-10-01,136.2
2013-01-01,135.81
2013-04-01,139.37
2013-07-01,142.8
2013-10-01,142.87
2014-01-01,143.79
2014-04-01,149.44
2014-07-01,153.43
2014-10-01,154.24
2015-01-01,155.04
2015-04-01,159.7
2015-07-01,164.46
2015-10-01,164.85
2016-01-01,167.41
2016-04-01,173.2
2016-07-01,177.12
2016-10-01,177.35
2017-01-01,182.04
2017-04-01,189.15
2017-07-01,193.35
2017-10-01,193.22
2018-01-01,197.26
2018-04-01,204.49
2018-07-01,207.07
2018-10-01,209.27
2019-01-01,212.85
2019-04-01,216.9
2019-07-01,220.12
2019-10-01,221.39
2020-01-01,224.49
2020-04-01,227.21
2020-07-01,232.78
2020-10-01,237.93
2021-01-01,243.28
2021-04-01,261.2
