DATE,ATNHPIUS24660Q
1979-01-01,49.69
1979-04-01,51.17
1979-07-01,54.46
1979-10-01,54.53
1980-01-01,54.36
1980-04-01,52.51
1980-07-01,54.87
1980-10-01,55.52
1981-01-01,54.68
1981-04-01,56.58
1981-07-01,56.06
1981-10-01,60.33
1982-01-01,59.99
1982-04-01,57.7
1982-07-01,60.9
1982-10-01,62.49
1983-01-01,63.15
1983-04-01,61.37
1983-07-01,63.31
1983-10-01,59.38
1984-01-01,64.8
1984-04-01,66.83
1984-07-01,67.55
1984-10-01,68.97
1985-01-01,70.37
1985-04-01,71.8
1985-07-01,73.94
1985-10-01,73.45
1986-01-01,75.04
1986-04-01,75.87
1986-07-01,78.18
1986-10-01,78.76
1987-01-01,81.19
1987-04-01,82.57
1987-07-01,84.17
1987-10-01,83.28
1988-01-01,85.38
1988-04-01,86.34
1988-07-01,86.96
1988-10-01,86.53
1989-01-01,86.95
1989-04-01,87.07
1989-07-01,88.75
1989-10-01,88.97
1990-01-01,88.31
1990-04-01,88.92
1990-07-01,89.03
1990-10-01,89.6
1991-01-01,90.57
1991-04-01,90.67
1991-07-01,91.25
1991-10-01,91.64
1992-01-01,93.06
1992-04-01,92.88
1992-07-01,94.03
1992-10-01,94.07
1993-01-01,94.74
1993-04-01,94.92
1993-07-01,95.89
1993-10-01,96.6
1994-01-01,97.35
1994-04-01,97.93
1994-07-01,98.8
1994-10-01,99.96
1995-01-01,100.00
1995-04-01,102.08
1995-07-01,102.55
1995-10-01,103.78
1996-01-01,105.31
1996-04-01,105.15
1996-07-01,107.02
1996-10-01,107.01
1997-01-01,109.84
1997-04-01,109.7
1997-07-01,111.22
1997-10-01,113.14
1998-01-01,113.9
1998-04-01,114.86
1998-07-01,115.94
1998-10-01,117.19
1999-01-01,117.89
1999-04-01,119.41
1999-07-01,120.89
1999-10-01,120.64
2000-01-01,122.25
2000-04-01,123.28
2000-07-01,124.51
2000-10-01,125.89
2001-01-01,127.74
2001-04-01,129.21
2001-07-01,130.48
2001-10-01,130.61
2002-01-01,131.89
2002-04-01,132.3
2002-07-01,133.55
2002-10-01,134.33
2003-01-01,135.17
2003-04-01,135.99
2003-07-01,136.02
2003-10-01,138.16
2004-01-01,139.16
2004-04-01,139.11
2004-07-01,140.06
2004-10-01,141.25
2005-01-01,143.14
2005-04-01,143.2
2005-07-01,145.92
2005-10-01,147.24
2006-01-01,148.4
2006-04-01,147.1
2006-07-01,149.6
2006-10-01,150.81
2007-01-01,151.91
2007-04-01,152.42
2007-07-01,151.57
2007-10-01,154.79
2008-01-01,154.92
2008-04-01,153.69
2008-07-01,152.47
2008-10-01,151.59
2009-01-01,154.72
2009-04-01,152.54
2009-07-01,149.74
2009-10-01,147.66
2010-01-01,145.69
2010-04-01,145.39
2010-07-01,147.64
2010-10-01,146.73
2011-01-01,142.68
2011-04-01,140.84
2011-07-01,140.35
2011-10-01,142.67
2012-01-01,138.68
2012-04-01,139.47
2012-07-01,141.25
2012-10-01,142.01
2013-01-01,140.67
2013-04-01,142.18
2013-07-01,142.05
2013-10-01,141.37
2014-01-01,140.92
2014-04-01,143.07
2014-07-01,142.6
2014-10-01,142.9
2015-01-01,144.07
2015-04-01,145.25
2015-07-01,146.84
2015-10-01,146.26
2016-01-01,148.75
2016-04-01,151.52
2016-07-01,152.42
2016-10-01,151.23
2017-01-01,151.57
2017-04-01,155.74
2017-07-01,158.82
2017-10-01,159.05
2018-01-01,159.98
2018-04-01,162.79
2018-07-01,165.63
2018-10-01,166.93
2019-01-01,166.92
2019-04-01,171.91
2019-07-01,173.84
2019-10-01,175.44
2020-01-01,177.25
2020-04-01,180.41
2020-07-01,182.8
2020-10-01,186.66
2021-01-01,190.9
2021-04-01,201.39
