DATE,ATNHPIUS46520Q
1977-01-01,20.55
1977-04-01,21.71
1977-07-01,22.26
1977-10-01,22.91
1978-01-01,23.29
1978-04-01,24.07
1978-07-01,24.39
1978-10-01,27.45
1979-01-01,26.94
1979-04-01,30.03
1979-07-01,33.09
1979-10-01,34.43
1980-01-01,37.04
1980-04-01,37.29
1980-07-01,37.72
1980-10-01,40.04
1981-01-01,37.99
1981-04-01,36.92
1981-07-01,33.1
1981-10-01,18.79
1982-01-01,41.21
1982-04-01,38.19
1982-07-01,37.32
1982-10-01,32.52
1983-01-01,37.86
1983-04-01,39.43
1983-07-01,41.45
1983-10-01,39.7
1984-01-01,40.13
1984-04-01,42.31
1984-07-01,41.03
1984-10-01,40.98
1985-01-01,43.1
1985-04-01,42.46
1985-07-01,43.61
1985-10-01,43.99
1986-01-01,44.99
1986-04-01,44.74
1986-07-01,45.5
1986-10-01,46.53
1987-01-01,48.13
1987-04-01,48.97
1987-07-01,50.23
1987-10-01,51.03
1988-01-01,54.44
1988-04-01,57.39
1988-07-01,59.1
1988-10-01,62.39
1989-01-01,67.91
1989-04-01,70.37
1989-07-01,75.25
1989-10-01,77.61
1990-01-01,84.32
1990-04-01,89.53
1990-07-01,94
1990-10-01,97.24
1991-01-01,98.88
1991-04-01,99.77
1991-07-01,99.64
1991-10-01,100.9
1992-01-01,100.62
1992-04-01,100.61
1992-07-01,100.9
1992-10-01,101.25
1993-01-01,101.16
1993-04-01,101.57
1993-07-01,101.36
1993-10-01,101.97
1994-01-01,102.48
1994-04-01,101.63
1994-07-01,103.14
1994-10-01,100.72
1995-01-01,100.00
1995-04-01,101.04
1995-07-01,101.45
1995-10-01,101.91
1996-01-01,98.65
1996-04-01,96.72
1996-07-01,93.49
1996-10-01,92.3
1997-01-01,90.23
1997-04-01,88.34
1997-07-01,87.79
1997-10-01,87.9
1998-01-01,87.58
1998-04-01,87.41
1998-07-01,88.02
1998-10-01,87.15
1999-01-01,86.93
1999-04-01,86.83
1999-07-01,84.88
1999-10-01,85.52
2000-01-01,87.13
2000-04-01,85.86
2000-07-01,87.78
2000-10-01,89.18
2001-01-01,91.93
2001-04-01,92.59
2001-07-01,94.16
2001-10-01,95.31
2002-01-01,96.77
2002-04-01,98.51
2002-07-01,101.74
2002-10-01,103
2003-01-01,105.6
2003-04-01,107.65
2003-07-01,110.57
2003-10-01,116.08
2004-01-01,121.57
2004-04-01,126.96
2004-07-01,137.45
2004-10-01,142.96
2005-01-01,149.05
2005-04-01,157.24
2005-07-01,169.16
2005-10-01,177.24
2006-01-01,183.24
2006-04-01,186.03
2006-07-01,190.51
2006-10-01,188.16
2007-01-01,191.9
2007-04-01,192.75
2007-07-01,194.24
2007-10-01,194.41
2008-01-01,193.23
2008-04-01,189.44
2008-07-01,186.36
2008-10-01,183.73
2009-01-01,183.15
2009-04-01,177.32
2009-07-01,173.91
2009-10-01,173.24
2010-01-01,173.87
2010-04-01,175.01
2010-07-01,175.96
2010-10-01,176.43
2011-01-01,174.91
2011-04-01,177.51
2011-07-01,177.35
2011-10-01,176.82
2012-01-01,177.69
2012-04-01,177.79
2012-07-01,179.85
2012-10-01,182.04
2013-01-01,184.56
2013-04-01,187.94
2013-07-01,191.26
2013-10-01,195.16
2014-01-01,197.41
2014-04-01,199.93
2014-07-01,202.68
2014-10-01,206.78
2015-01-01,208.95
2015-04-01,210.55
2015-07-01,215.67
2015-10-01,217.28
2016-01-01,225.42
2016-04-01,226.08
2016-07-01,231.16
2016-10-01,232.09
2017-01-01,231.83
2017-04-01,234.84
2017-07-01,236.57
2017-10-01,239.59
2018-01-01,241.55
2018-04-01,244.95
2018-07-01,244.34
2018-10-01,243.08
2019-01-01,247.39
2019-04-01,245.88
2019-07-01,248.71
2019-10-01,249.16
2020-01-01,249.25
2020-04-01,251.39
2020-07-01,247.79
2020-10-01,250.9
2021-01-01,253.53
2021-04-01,261.51
