DATE,ATNHPIUS26900Q
1976-10-01,38.14
1977-01-01,39.98
1977-04-01,39.94
1977-07-01,41.03
1977-10-01,43.05
1978-01-01,44.98
1978-04-01,46.61
1978-07-01,48.03
1978-10-01,48.32
1979-01-01,51.54
1979-04-01,52.37
1979-07-01,54.14
1979-10-01,55.9
1980-01-01,55.11
1980-04-01,57.13
1980-07-01,58.1
1980-10-01,58.18
1981-01-01,61.45
1981-04-01,59.66
1981-07-01,60.7
1981-10-01,63.45
1982-01-01,60.51
1982-04-01,59.71
1982-07-01,56.12
1982-10-01,58.57
1983-01-01,60.21
1983-04-01,61.3
1983-07-01,62.17
1983-10-01,61.73
1984-01-01,62.23
1984-04-01,63.75
1984-07-01,64.26
1984-10-01,64.52
1985-01-01,64.5
1985-04-01,65.56
1985-07-01,66.16
1985-10-01,67.18
1986-01-01,67.73
1986-04-01,69
1986-07-01,69.74
1986-10-01,70.79
1987-01-01,72.39
1987-04-01,73.65
1987-07-01,75.05
1987-10-01,75.98
1988-01-01,77.93
1988-04-01,78.85
1988-07-01,79.47
1988-10-01,79.9
1989-01-01,81.18
1989-04-01,82.37
1989-07-01,83.38
1989-10-01,83.45
1990-01-01,84.27
1990-04-01,85.32
1990-07-01,85.92
1990-10-01,86.27
1991-01-01,87.94
1991-04-01,88.32
1991-07-01,89.2
1991-10-01,90.21
1992-01-01,91.19
1992-04-01,91.89
1992-07-01,92.89
1992-10-01,93.46
1993-01-01,94.06
1993-04-01,94.98
1993-07-01,95.89
1993-10-01,96.6
1994-01-01,97.68
1994-04-01,98.44
1994-07-01,99.28
1994-10-01,99.06
1995-01-01,100.00
1995-04-01,101.66
1995-07-01,103.63
1995-10-01,104.99
1996-01-01,106.28
1996-04-01,106.34
1996-07-01,106.99
1996-10-01,108.45
1997-01-01,109.05
1997-04-01,110.04
1997-07-01,111.32
1997-10-01,113.02
1998-01-01,114.33
1998-04-01,114.71
1998-07-01,116.2
1998-10-01,117.4
1999-01-01,118.33
1999-04-01,118.71
1999-07-01,118.94
1999-10-01,120.26
2000-01-01,120.79
2000-04-01,122.04
2000-07-01,123.47
2000-10-01,124.97
2001-01-01,127.47
2001-04-01,128.71
2001-07-01,129.77
2001-10-01,131.04
2002-01-01,131.98
2002-04-01,132.77
2002-07-01,134.14
2002-10-01,134.93
2003-01-01,135.85
2003-04-01,136.3
2003-07-01,137.06
2003-10-01,137.74
2004-01-01,138.68
2004-04-01,138.66
2004-07-01,140.13
2004-10-01,141.21
2005-01-01,142.3
2005-04-01,143.39
2005-07-01,145.57
2005-10-01,145.22
2006-01-01,145.23
2006-04-01,143.68
2006-07-01,144.49
2006-10-01,145.6
2007-01-01,146.27
2007-04-01,145.87
2007-07-01,145.88
2007-10-01,146.11
2008-01-01,146.97
2008-04-01,145.52
2008-07-01,143.54
2008-10-01,142.99
2009-01-01,145.43
2009-04-01,142.8
2009-07-01,141.02
2009-10-01,141.34
2010-01-01,139.72
2010-04-01,139.28
2010-07-01,140.54
2010-10-01,140.55
2011-01-01,137.36
2011-04-01,136.36
2011-07-01,138.11
2011-10-01,138.69
2012-01-01,137.33
2012-04-01,137.06
2012-07-01,138.55
2012-10-01,138.76
2013-01-01,138.5
2013-04-01,139.45
2013-07-01,140.19
2013-10-01,140.01
2014-01-01,140.14
2014-04-01,144.5
2014-07-01,145.13
2014-10-01,145.51
2015-01-01,147.56
2015-04-01,149.65
2015-07-01,150.74
2015-10-01,151.55
2016-01-01,152.47
2016-04-01,155.06
2016-07-01,157.97
2016-10-01,158.55
2017-01-01,159.04
2017-04-01,163.91
2017-07-01,166.5
2017-10-01,168.13
2018-01-01,171.39
2018-04-01,177.12
2018-07-01,178.46
2018-10-01,180.03
2019-01-01,183.17
2019-04-01,187
2019-07-01,189.28
2019-10-01,191.34
2020-01-01,193.93
2020-04-01,196.45
2020-07-01,201.63
2020-10-01,206.36
2021-01-01,209.74
2021-04-01,222.15
