DATE,ATNHPIUS26980Q
1986-04-01,63.89
1986-07-01,64.09
1986-10-01,64.79
1987-01-01,65.88
1987-04-01,66.45
1987-07-01,66.43
1987-10-01,64.21
1988-01-01,65.99
1988-04-01,67.49
1988-07-01,68.44
1988-10-01,66.79
1989-01-01,74.4
1989-04-01,72.51
1989-07-01,72.18
1989-10-01,74.15
1990-01-01,75.33
1990-04-01,74.49
1990-07-01,78.08
1990-10-01,78.19
1991-01-01,80.04
1991-04-01,80.94
1991-07-01,81.42
1991-10-01,82.24
1992-01-01,82.31
1992-04-01,83.23
1992-07-01,84.53
1992-10-01,85.06
1993-01-01,85.76
1993-04-01,86.99
1993-07-01,88.92
1993-10-01,89.17
1994-01-01,92.9
1994-04-01,95.7
1994-07-01,97.98
1994-10-01,98.49
1995-01-01,100.00
1995-04-01,100.99
1995-07-01,101.1
1995-10-01,101.89
1996-01-01,102.56
1996-04-01,103.3
1996-07-01,103.14
1996-10-01,102.71
1997-01-01,105.81
1997-04-01,105.41
1997-07-01,107.03
1997-10-01,107.57
1998-01-01,108.59
1998-04-01,109.73
1998-07-01,109.76
1998-10-01,110.45
1999-01-01,111.17
1999-04-01,113.63
1999-07-01,112.96
1999-10-01,114.58
2000-01-01,116.44
2000-04-01,117.23
2000-07-01,118.93
2000-10-01,118.99
2001-01-01,121.7
2001-04-01,122.98
2001-07-01,123.58
2001-10-01,125.18
2002-01-01,125.41
2002-04-01,127.24
2002-07-01,129.2
2002-10-01,129.95
2003-01-01,130.8
2003-04-01,132.17
2003-07-01,133.26
2003-10-01,136.4
2004-01-01,136.84
2004-04-01,139.55
2004-07-01,143.14
2004-10-01,143.91
2005-01-01,146.43
2005-04-01,148.58
2005-07-01,150.61
2005-10-01,150.59
2006-01-01,150.41
2006-04-01,152.68
2006-07-01,153.66
2006-10-01,154.13
2007-01-01,154.95
2007-04-01,155.91
2007-07-01,154.04
2007-10-01,157.09
2008-01-01,157.23
2008-04-01,155.9
2008-07-01,155.85
2008-10-01,156.94
2009-01-01,158.14
2009-04-01,157.45
2009-07-01,157.7
2009-10-01,157.39
2010-01-01,156.62
2010-04-01,156.3
2010-07-01,157.59
2010-10-01,156.78
2011-01-01,154.44
2011-04-01,155.46
2011-07-01,156.54
2011-10-01,157.55
2012-01-01,156.38
2012-04-01,156.55
2012-07-01,158.36
2012-10-01,159.47
2013-01-01,159.71
2013-04-01,161.77
2013-07-01,164.04
2013-10-01,164.01
2014-01-01,162.88
2014-04-01,163.52
2014-07-01,166.34
2014-10-01,165.63
2015-01-01,166.51
2015-04-01,170.1
2015-07-01,172.22
2015-10-01,172.99
2016-01-01,172.8
2016-04-01,174.7
2016-07-01,177.07
2016-10-01,177.57
2017-01-01,177.33
2017-04-01,180.71
2017-07-01,182.45
2017-10-01,182.51
2018-01-01,183.27
2018-04-01,187.23
2018-07-01,188.72
2018-10-01,190.39
2019-01-01,189.91
2019-04-01,191.55
2019-07-01,192.38
2019-10-01,194.76
2020-01-01,194.87
2020-04-01,195.84
2020-07-01,195.77
2020-10-01,199.27
2021-01-01,198.78
2021-04-01,207.57
