DATE,ATNHPIUS27060Q
1987-04-01,83.64
1987-07-01,86.28
1987-10-01,92.41
1988-01-01,87.49
1988-04-01,96.98
1988-07-01,101.18
1988-10-01,99.99
1989-01-01,100.22
1989-04-01,104.03
1989-07-01,104.71
1989-10-01,107.48
1990-01-01,108.41
1990-04-01,104.09
1990-07-01,106
1990-10-01,108.11
1991-01-01,103.74
1991-04-01,107.4
1991-07-01,106.19
1991-10-01,107.81
1992-01-01,108.71
1992-04-01,106.45
1992-07-01,107.7
1992-10-01,108.01
1993-01-01,108.22
1993-04-01,109.94
1993-07-01,107.76
1993-10-01,109.37
1994-01-01,108.95
1994-04-01,104.97
1994-07-01,104.98
1994-10-01,101.77
1995-01-01,100.00
1995-04-01,102.4
1995-07-01,103.83
1995-10-01,101.2
1996-01-01,104.26
1996-04-01,101.19
1996-07-01,103.21
1996-10-01,105.65
1997-01-01,107.79
1997-04-01,103.29
1997-07-01,105.64
1997-10-01,107.47
1998-01-01,108.03
1998-04-01,107.23
1998-07-01,107.38
1998-10-01,108.91
1999-01-01,110.23
1999-04-01,108.83
1999-07-01,109.29
1999-10-01,109.76
2000-01-01,110.92
2000-04-01,111.97
2000-07-01,111.76
2000-10-01,113.43
2001-01-01,116.22
2001-04-01,118.57
2001-07-01,121.03
2001-10-01,121.39
2002-01-01,121.95
2002-04-01,124.56
2002-07-01,126.45
2002-10-01,127.98
2003-01-01,128.35
2003-04-01,131.66
2003-07-01,135.46
2003-10-01,143.78
2004-01-01,140.83
2004-04-01,150.48
2004-07-01,151.14
2004-10-01,152.52
2005-01-01,152.33
2005-04-01,168.01
2005-07-01,169.7
2005-10-01,175.1
2006-01-01,175
2006-04-01,180.22
2006-07-01,184.64
2006-10-01,180.29
2007-01-01,175.2
2007-04-01,184.23
2007-07-01,184.46
2007-10-01,185.25
2008-01-01,188.33
2008-04-01,191.9
2008-07-01,187.87
2008-10-01,191.4
2009-01-01,188.62
2009-04-01,190.19
2009-07-01,191.96
2009-10-01,191.63
2010-01-01,188.86
2010-04-01,190.59
2010-07-01,188.27
2010-10-01,187.46
2011-01-01,194.16
2011-04-01,192.76
2011-07-01,188.8
2011-10-01,190.56
2012-01-01,192.77
2012-04-01,192.84
2012-07-01,191.5
2012-10-01,194.2
2013-01-01,191.24
2013-04-01,197.01
2013-07-01,196.84
2013-10-01,196.01
2014-01-01,194.66
2014-04-01,212.27
2014-07-01,206.17
2014-10-01,209.48
2015-01-01,204.26
2015-04-01,208.93
2015-07-01,208.92
2015-10-01,210.23
2016-01-01,207.38
2016-04-01,212.88
2016-07-01,217.89
2016-10-01,222.92
2017-01-01,217.15
2017-04-01,223.73
2017-07-01,233.7
2017-10-01,226.1
2018-01-01,222.79
2018-04-01,219.08
2018-07-01,224.52
2018-10-01,228.27
2019-01-01,228.82
2019-04-01,225.72
2019-07-01,229.15
2019-10-01,229.63
2020-01-01,235.13
2020-04-01,237.11
2020-07-01,237.99
2020-10-01,245.97
2021-01-01,247.9
2021-04-01,258.69
