DATE,ATNHPIUS28140Q
1976-01-01,44.65
1976-04-01,45.42
1976-07-01,46.24
1976-10-01,46.17
1977-01-01,47.14
1977-04-01,49.73
1977-07-01,51.81
1977-10-01,53.77
1978-01-01,56.1
1978-04-01,57.9
1978-07-01,59.84
1978-10-01,60.39
1979-01-01,62.61
1979-04-01,64.97
1979-07-01,66.59
1979-10-01,68.88
1980-01-01,68.57
1980-04-01,69.21
1980-07-01,72.16
1980-10-01,72.6
1981-01-01,69.85
1981-04-01,71.33
1981-07-01,72.39
1981-10-01,71.55
1982-01-01,76.36
1982-04-01,70.26
1982-07-01,72.1
1982-10-01,72.15
1983-01-01,71.62
1983-04-01,73.23
1983-07-01,74.27
1983-10-01,74.76
1984-01-01,74.94
1984-04-01,74.78
1984-07-01,76.29
1984-10-01,75.97
1985-01-01,77.06
1985-04-01,77.87
1985-07-01,78.96
1985-10-01,79.46
1986-01-01,80.38
1986-04-01,81.76
1986-07-01,82.42
1986-10-01,83.23
1987-01-01,84.42
1987-04-01,85.69
1987-07-01,86.6
1987-10-01,86.55
1988-01-01,87.55
1988-04-01,87.95
1988-07-01,87.62
1988-10-01,87.75
1989-01-01,87.84
1989-04-01,88.42
1989-07-01,88.65
1989-10-01,88.87
1990-01-01,88.87
1990-04-01,88.12
1990-07-01,88.37
1990-10-01,87.71
1991-01-01,88.74
1991-04-01,89.22
1991-07-01,89.18
1991-10-01,90.5
1992-01-01,90.78
1992-04-01,90.9
1992-07-01,91.76
1992-10-01,92.19
1993-01-01,92.46
1993-04-01,92.92
1993-07-01,93.81
1993-10-01,94.66
1994-01-01,95.66
1994-04-01,97.57
1994-07-01,98.66
1994-10-01,99.25
1995-01-01,100.00
1995-04-01,101.55
1995-07-01,102.83
1995-10-01,104.13
1996-01-01,105.07
1996-04-01,106.43
1996-07-01,107.99
1996-10-01,109.16
1997-01-01,110.17
1997-04-01,111.86
1997-07-01,113.03
1997-10-01,114.95
1998-01-01,115.85
1998-04-01,117.51
1998-07-01,119.38
1998-10-01,120.68
1999-01-01,122.07
1999-04-01,125.16
1999-07-01,127.25
1999-10-01,129.12
2000-01-01,131.88
2000-04-01,133.66
2000-07-01,135.43
2000-10-01,137.3
2001-01-01,139.99
2001-04-01,141.8
2001-07-01,144.02
2001-10-01,145.82
2002-01-01,147.86
2002-04-01,149.55
2002-07-01,151.68
2002-10-01,152.93
2003-01-01,154.51
2003-04-01,155.63
2003-07-01,156.8
2003-10-01,159.87
2004-01-01,160.98
2004-04-01,162.6
2004-07-01,165.53
2004-10-01,167.37
2005-01-01,169.74
2005-04-01,171.14
2005-07-01,172.98
2005-10-01,174.52
2006-01-01,175.84
2006-04-01,174.59
2006-07-01,175.78
2006-10-01,178.41
2007-01-01,178.44
2007-04-01,178.73
2007-07-01,177.36
2007-10-01,177.27
2008-01-01,176.9
2008-04-01,174.94
2008-07-01,171.04
2008-10-01,170.79
2009-01-01,173.5
2009-04-01,171.13
2009-07-01,167.58
2009-10-01,166.62
2010-01-01,164.94
2010-04-01,164.88
2010-07-01,166.06
2010-10-01,165.43
2011-01-01,160.96
2011-04-01,158.48
2011-07-01,159.06
2011-10-01,160.35
2012-01-01,158.28
2012-04-01,156.41
2012-07-01,159.11
2012-10-01,158.62
2013-01-01,159.13
2013-04-01,159.5
2013-07-01,161.28
2013-10-01,160.73
2014-01-01,161.15
2014-04-01,164.89
2014-07-01,167.18
2014-10-01,167.79
2015-01-01,168.68
2015-04-01,173.03
2015-07-01,175.02
2015-10-01,177.64
2016-01-01,177.63
2016-04-01,182.18
2016-07-01,185.59
2016-10-01,187.74
2017-01-01,188.58
2017-04-01,195.56
2017-07-01,199.01
2017-10-01,200.37
2018-01-01,204.76
2018-04-01,211.23
2018-07-01,213.18
2018-10-01,215.34
2019-01-01,216.96
2019-04-01,221.91
2019-07-01,224.76
2019-10-01,227.48
2020-01-01,229.24
2020-04-01,233.37
2020-07-01,239.14
2020-10-01,244.45
2021-01-01,248.97
2021-04-01,264.92
