DATE,ATNHPIUS28940Q
1983-04-01,67.78
1983-07-01,66.19
1983-10-01,66.09
1984-01-01,69.6
1984-04-01,68.43
1984-07-01,67.81
1984-10-01,68.38
1985-01-01,70.61
1985-04-01,69.19
1985-07-01,70.99
1985-10-01,70.57
1986-01-01,71.38
1986-04-01,73
1986-07-01,74.21
1986-10-01,73.9
1987-01-01,76.23
1987-04-01,77.55
1987-07-01,77.25
1987-10-01,80.76
1988-01-01,78.44
1988-04-01,80.46
1988-07-01,80.7
1988-10-01,81.28
1989-01-01,82.52
1989-04-01,83.5
1989-07-01,83.57
1989-10-01,83.55
1990-01-01,84.96
1990-04-01,85.67
1990-07-01,86.47
1990-10-01,85.01
1991-01-01,86.58
1991-04-01,87.32
1991-07-01,87.22
1991-10-01,89.08
1992-01-01,89.87
1992-04-01,90.33
1992-07-01,91.96
1992-10-01,92.51
1993-01-01,92.86
1993-04-01,94.26
1993-07-01,94.83
1993-10-01,96.33
1994-01-01,97.27
1994-04-01,97.67
1994-07-01,99.84
1994-10-01,99.19
1995-01-01,100.00
1995-04-01,101.77
1995-07-01,103.84
1995-10-01,103.76
1996-01-01,105.56
1996-04-01,106.21
1996-07-01,107.5
1996-10-01,107.88
1997-01-01,108.25
1997-04-01,108.99
1997-07-01,110.01
1997-10-01,112.29
1998-01-01,113.89
1998-04-01,114.21
1998-07-01,115.66
1998-10-01,116.43
1999-01-01,117.57
1999-04-01,117.2
1999-07-01,117.48
1999-10-01,117.65
2000-01-01,119.89
2000-04-01,120.63
2000-07-01,121.2
2000-10-01,123.19
2001-01-01,126.16
2001-04-01,126.98
2001-07-01,128.33
2001-10-01,129.79
2002-01-01,130.83
2002-04-01,130.85
2002-07-01,132.59
2002-10-01,134.18
2003-01-01,135.85
2003-04-01,137.31
2003-07-01,138.65
2003-10-01,140.72
2004-01-01,142.53
2004-04-01,144.61
2004-07-01,146.89
2004-10-01,149.32
2005-01-01,152.27
2005-04-01,155.47
2005-07-01,160.04
2005-10-01,162.23
2006-01-01,165.37
2006-04-01,169.24
2006-07-01,171.36
2006-10-01,174.78
2007-01-01,176.72
2007-04-01,179.65
2007-07-01,179.87
2007-10-01,181.75
2008-01-01,182.88
2008-04-01,181.07
2008-07-01,179.45
2008-10-01,180.23
2009-01-01,182.2
2009-04-01,180.95
2009-07-01,177.19
2009-10-01,175.55
2010-01-01,174.39
2010-04-01,173.03
2010-07-01,175.36
2010-10-01,174.56
2011-01-01,171.6
2011-04-01,168.43
2011-07-01,170.35
2011-10-01,171.95
2012-01-01,170.48
2012-04-01,168.93
2012-07-01,170.86
2012-10-01,170.93
2013-01-01,171.11
2013-04-01,172.09
2013-07-01,172.2
2013-10-01,172.49
2014-01-01,172.2
2014-04-01,176.73
2014-07-01,175.51
2014-10-01,178.18
2015-01-01,178.95
2015-04-01,178.43
2015-07-01,181.67
2015-10-01,182.26
2016-01-01,183.3
2016-04-01,185.2
2016-07-01,188.43
2016-10-01,190.27
2017-01-01,191.81
2017-04-01,195.85
2017-07-01,198.21
2017-10-01,199.2
2018-01-01,202.87
2018-04-01,208.58
2018-07-01,210.68
2018-10-01,212.76
2019-01-01,214.55
2019-04-01,219.27
2019-07-01,223.13
2019-10-01,226.06
2020-01-01,229.66
2020-04-01,233.29
2020-07-01,238.02
2020-10-01,245.39
2021-01-01,251.36
2021-04-01,268.46
