DATE,ATNHPIUS31140Q
1976-07-01,38.04
1976-10-01,36.96
1977-01-01,39.01
1977-04-01,39.85
1977-07-01,41.22
1977-10-01,42.88
1978-01-01,43.86
1978-04-01,44.75
1978-07-01,47.28
1978-10-01,48.14
1979-01-01,49.06
1979-04-01,51.89
1979-07-01,51.83
1979-10-01,52.49
1980-01-01,54.19
1980-04-01,54.12
1980-07-01,55.38
1980-10-01,57.8
1981-01-01,58.03
1981-04-01,55.54
1981-07-01,55.49
1981-10-01,55.78
1982-01-01,58.13
1982-04-01,55.81
1982-07-01,55.03
1982-10-01,56.69
1983-01-01,56.72
1983-04-01,57.07
1983-07-01,58.79
1983-10-01,57.25
1984-01-01,58.71
1984-04-01,57.18
1984-07-01,58.96
1984-10-01,59.1
1985-01-01,60.19
1985-04-01,60.63
1985-07-01,60.26
1985-10-01,62.11
1986-01-01,62.46
1986-04-01,63.83
1986-07-01,64.35
1986-10-01,65.76
1987-01-01,66.48
1987-04-01,67.14
1987-07-01,68.96
1987-10-01,69.26
1988-01-01,70.68
1988-04-01,72.14
1988-07-01,73.16
1988-10-01,73.95
1989-01-01,74.82
1989-04-01,75.79
1989-07-01,77.49
1989-10-01,77.63
1990-01-01,78.58
1990-04-01,79.51
1990-07-01,80.13
1990-10-01,79.97
1991-01-01,81.15
1991-04-01,82.42
1991-07-01,82.47
1991-10-01,83.75
1992-01-01,84.76
1992-04-01,85.72
1992-07-01,87.02
1992-10-01,87.87
1993-01-01,88.17
1993-04-01,89.6
1993-07-01,90.51
1993-10-01,91.26
1994-01-01,92.84
1994-04-01,96.45
1994-07-01,97.55
1994-10-01,98.77
1995-01-01,100.00
1995-04-01,101.47
1995-07-01,102.94
1995-10-01,103.86
1996-01-01,104.98
1996-04-01,106.56
1996-07-01,107.83
1996-10-01,109.07
1997-01-01,110.86
1997-04-01,111.88
1997-07-01,112.95
1997-10-01,114.8
1998-01-01,115.97
1998-04-01,117.15
1998-07-01,118.35
1998-10-01,120.14
1999-01-01,121.07
1999-04-01,122.68
1999-07-01,124
1999-10-01,125.57
2000-01-01,127.53
2000-04-01,128.52
2000-07-01,130.02
2000-10-01,131.57
2001-01-01,134.09
2001-04-01,135.6
2001-07-01,136.56
2001-10-01,137.93
2002-01-01,139.18
2002-04-01,140.22
2002-07-01,141.6
2002-10-01,142.86
2003-01-01,144.03
2003-04-01,145.12
2003-07-01,146.18
2003-10-01,148.63
2004-01-01,150.01
2004-04-01,151.14
2004-07-01,152.79
2004-10-01,155.27
2005-01-01,157.04
2005-04-01,158.85
2005-07-01,161.16
2005-10-01,161.18
2006-01-01,162.78
2006-04-01,163.22
2006-07-01,163.79
2006-10-01,165.18
2007-01-01,166.62
2007-04-01,166.75
2007-07-01,166.5
2007-10-01,167.97
2008-01-01,169.23
2008-04-01,168.63
2008-07-01,165.94
2008-10-01,166.38
2009-01-01,167.87
2009-04-01,166.06
2009-07-01,163.91
2009-10-01,163.47
2010-01-01,162.68
2010-04-01,161.6
2010-07-01,164.26
2010-10-01,163.3
2011-01-01,161.01
2011-04-01,158.98
2011-07-01,160.28
2011-10-01,161.06
2012-01-01,160.13
2012-04-01,159.94
2012-07-01,161
2012-10-01,161.95
2013-01-01,161.77
2013-04-01,162.94
2013-07-01,163
2013-10-01,162.72
2014-01-01,163.24
2014-04-01,166.1
2014-07-01,166.7
2014-10-01,167.87
2015-01-01,170.46
2015-04-01,173.3
2015-07-01,173.97
2015-10-01,175.39
2016-01-01,177.05
2016-04-01,180.12
2016-07-01,182.96
2016-10-01,184.1
2017-01-01,186.66
2017-04-01,190.68
2017-07-01,192.25
2017-10-01,193.85
2018-01-01,196.13
2018-04-01,198.69
2018-07-01,201.26
2018-10-01,202.94
2019-01-01,204
2019-04-01,207.81
2019-07-01,210.55
2019-10-01,211.6
2020-01-01,214.26
2020-04-01,216.69
2020-07-01,220.37
2020-10-01,225.78
2021-01-01,228.67
2021-04-01,240.18
