DATE,ATNHPIUS31540Q
1976-10-01,33.79
1977-01-01,36.03
1977-04-01,37.57
1977-07-01,39.26
1977-10-01,39.97
1978-01-01,41.62
1978-04-01,43.62
1978-07-01,44.57
1978-10-01,45.46
1979-01-01,47.64
1979-04-01,48.68
1979-07-01,49.89
1979-10-01,50.68
1980-01-01,49.44
1980-04-01,52.09
1980-07-01,53.75
1980-10-01,49.94
1981-01-01,53.29
1981-04-01,52.32
1981-07-01,53.59
1981-10-01,.
1982-01-01,55.46
1982-04-01,60.22
1982-07-01,55.22
1982-10-01,50.99
1983-01-01,56.63
1983-04-01,56.26
1983-07-01,55.72
1983-10-01,57.18
1984-01-01,57.54
1984-04-01,57.45
1984-07-01,56.25
1984-10-01,57.83
1985-01-01,56.72
1985-04-01,57.81
1985-07-01,58.33
1985-10-01,57.9
1986-01-01,59.39
1986-04-01,59.14
1986-07-01,59.53
1986-10-01,60.14
1987-01-01,60.75
1987-04-01,61.25
1987-07-01,61.83
1987-10-01,63.07
1988-01-01,62.9
1988-04-01,64.13
1988-07-01,65.77
1988-10-01,66.32
1989-01-01,67.57
1989-04-01,68.14
1989-07-01,69.05
1989-10-01,68.75
1990-01-01,70.43
1990-04-01,71.43
1990-07-01,72.46
1990-10-01,72.56
1991-01-01,74.12
1991-04-01,75.07
1991-07-01,76.52
1991-10-01,77.14
1992-01-01,78.13
1992-04-01,79.8
1992-07-01,80.61
1992-10-01,81.74
1993-01-01,82.21
1993-04-01,83.65
1993-07-01,84.77
1993-10-01,85.97
1994-01-01,88.8
1994-04-01,94.98
1994-07-01,97.66
1994-10-01,98.34
1995-01-01,100.00
1995-04-01,101.66
1995-07-01,102.85
1995-10-01,103.87
1996-01-01,104.37
1996-04-01,105.5
1996-07-01,107.08
1996-10-01,107.88
1997-01-01,108.72
1997-04-01,109.72
1997-07-01,110.8
1997-10-01,111.48
1998-01-01,112.03
1998-04-01,113.32
1998-07-01,114.55
1998-10-01,114.63
1999-01-01,116.63
1999-04-01,118.82
1999-07-01,120.69
1999-10-01,121.71
2000-01-01,128.08
2000-04-01,126.12
2000-07-01,127.74
2000-10-01,129.23
2001-01-01,130.58
2001-04-01,132.23
2001-07-01,134.57
2001-10-01,135.19
2002-01-01,137.46
2002-04-01,140.31
2002-07-01,141.74
2002-10-01,142.91
2003-01-01,144.49
2003-04-01,145.64
2003-07-01,148.26
2003-10-01,153.69
2004-01-01,154.34
2004-04-01,158.81
2004-07-01,164.3
2004-10-01,166.85
2005-01-01,170.1
2005-04-01,174.15
2005-07-01,177.49
2005-10-01,178.39
2006-01-01,179.36
2006-04-01,179.84
2006-07-01,181.48
2006-10-01,182.78
2007-01-01,183.66
2007-04-01,183.38
2007-07-01,182.72
2007-10-01,183.98
2008-01-01,184.46
2008-04-01,181.76
2008-07-01,179.17
2008-10-01,180.52
2009-01-01,180.72
2009-04-01,178.69
2009-07-01,175.9
2009-10-01,176.82
2010-01-01,174.66
2010-04-01,173.47
2010-07-01,175.21
2010-10-01,174.55
2011-01-01,171.59
2011-04-01,170.32
2011-07-01,171.22
2011-10-01,171.61
2012-01-01,170.35
2012-04-01,169.59
2012-07-01,170.73
2012-10-01,171.15
2013-01-01,170.78
2013-04-01,171.55
2013-07-01,173.13
2013-10-01,172.64
2014-01-01,172.56
2014-04-01,175.66
2014-07-01,177.84
2014-10-01,178.63
2015-01-01,179.18
2015-04-01,181.99
2015-07-01,183.95
2015-10-01,185.56
2016-01-01,187.08
2016-04-01,191.26
2016-07-01,193.18
2016-10-01,194.25
2017-01-01,197.2
2017-04-01,203.49
2017-07-01,204.84
2017-10-01,205.8
2018-01-01,208.2
2018-04-01,214.14
2018-07-01,216.31
2018-10-01,215.61
2019-01-01,217.62
2019-04-01,221.34
2019-07-01,223.49
2019-10-01,224.55
2020-01-01,226.2
2020-04-01,227.99
2020-07-01,231.7
2020-10-01,236.18
2021-01-01,238.82
2021-04-01,251.96
