DATE,ATNHPIUS32820Q
1977-04-01,45.22
1977-07-01,46.82
1977-10-01,48
1978-01-01,52.44
1978-04-01,49.76
1978-07-01,52.49
1978-10-01,54.84
1979-01-01,53.99
1979-04-01,53.52
1979-07-01,57.37
1979-10-01,58.47
1980-01-01,61.47
1980-04-01,62.53
1980-07-01,59.34
1980-10-01,64.37
1981-01-01,62.04
1981-04-01,68.5
1981-07-01,65.69
1981-10-01,64.3
1982-01-01,65.37
1982-04-01,57.39
1982-07-01,64.31
1982-10-01,63.7
1983-01-01,69.94
1983-04-01,67.46
1983-07-01,71.89
1983-10-01,69.12
1984-01-01,62.75
1984-04-01,69.83
1984-07-01,60.91
1984-10-01,72.06
1985-01-01,73.84
1985-04-01,75.03
1985-07-01,77.73
1985-10-01,77.51
1986-01-01,80.21
1986-04-01,80.78
1986-07-01,81.65
1986-10-01,83.24
1987-01-01,84.45
1987-04-01,86.18
1987-07-01,86.53
1987-10-01,85.81
1988-01-01,88.02
1988-04-01,88.3
1988-07-01,87.59
1988-10-01,87.84
1989-01-01,88.68
1989-04-01,88.89
1989-07-01,90.01
1989-10-01,90.52
1990-01-01,89.78
1990-04-01,89.74
1990-07-01,89.37
1990-10-01,88.89
1991-01-01,89.69
1991-04-01,89.96
1991-07-01,90.45
1991-10-01,92.97
1992-01-01,93.93
1992-04-01,91.75
1992-07-01,94.23
1992-10-01,93.98
1993-01-01,94.47
1993-04-01,95.02
1993-07-01,96.13
1993-10-01,96.69
1994-01-01,96.76
1994-04-01,96.89
1994-07-01,98.1
1994-10-01,99.66
1995-01-01,100.00
1995-04-01,101.64
1995-07-01,103.14
1995-10-01,105.41
1996-01-01,105.55
1996-04-01,107.05
1996-07-01,108.25
1996-10-01,109.1
1997-01-01,110.91
1997-04-01,111.1
1997-07-01,112.86
1997-10-01,113.56
1998-01-01,115.81
1998-04-01,116.82
1998-07-01,118.48
1998-10-01,119.94
1999-01-01,121.38
1999-04-01,122.12
1999-07-01,123.59
1999-10-01,124.58
2000-01-01,125.08
2000-04-01,125.07
2000-07-01,126.46
2000-10-01,127.03
2001-01-01,129.96
2001-04-01,130.84
2001-07-01,131.53
2001-10-01,132.68
2002-01-01,132.42
2002-04-01,132.79
2002-07-01,134.39
2002-10-01,135.53
2003-01-01,136.21
2003-04-01,136.95
2003-07-01,137.43
2003-10-01,138.45
2004-01-01,138.83
2004-04-01,140.54
2004-07-01,142.05
2004-10-01,143.29
2005-01-01,144.45
2005-04-01,146.44
2005-07-01,149.48
2005-10-01,149.26
2006-01-01,151.8
2006-04-01,152.91
2006-07-01,153.43
2006-10-01,155.64
2007-01-01,156.07
2007-04-01,157.52
2007-07-01,156.09
2007-10-01,156.92
2008-01-01,156.64
2008-04-01,154.3
2008-07-01,151.01
2008-10-01,150.95
2009-01-01,153.07
2009-04-01,150.73
2009-07-01,146.2
2009-10-01,144.93
2010-01-01,142.48
2010-04-01,142.25
2010-07-01,144.33
2010-10-01,141.93
2011-01-01,137.24
2011-04-01,134.77
2011-07-01,137.32
2011-10-01,137.42
2012-01-01,135.59
2012-04-01,134.29
2012-07-01,136.07
2012-10-01,136.89
2013-01-01,135.78
2013-04-01,136.37
2013-07-01,137.65
2013-10-01,137.21
2014-01-01,138.25
2014-04-01,140.94
2014-07-01,142.46
2014-10-01,144.67
2015-01-01,144.81
2015-04-01,145.56
2015-07-01,147.71
2015-10-01,148.55
2016-01-01,148.84
2016-04-01,151.07
2016-07-01,153.37
2016-10-01,155.32
2017-01-01,156.46
2017-04-01,160.04
2017-07-01,163.39
2017-10-01,163.59
2018-01-01,165.91
2018-04-01,170.43
2018-07-01,172.34
2018-10-01,173.28
2019-01-01,175.14
2019-04-01,178.79
2019-07-01,181.71
2019-10-01,184.07
2020-01-01,187.01
2020-04-01,188.36
2020-07-01,193.65
2020-10-01,197.08
2021-01-01,202.1
2021-04-01,211.75
