DATE,ATNHPIUS33124Q
1975-10-01,36.57
1976-01-01,34.75
1976-04-01,35.91
1976-07-01,36.48
1976-10-01,37.95
1977-01-01,37.1
1977-04-01,39.42
1977-07-01,40.32
1977-10-01,41.87
1978-01-01,39.74
1978-04-01,43.06
1978-07-01,42.12
1978-10-01,45.86
1979-01-01,48.38
1979-04-01,48.35
1979-07-01,53.54
1979-10-01,56.79
1980-01-01,58.64
1980-04-01,57.51
1980-07-01,63.51
1980-10-01,64.79
1981-01-01,67.03
1981-04-01,66.93
1981-07-01,55.43
1981-10-01,63.26
1982-01-01,64.35
1982-04-01,70.07
1982-07-01,66.11
1982-10-01,69.86
1983-01-01,68.86
1983-04-01,68.53
1983-07-01,68.93
1983-10-01,69.13
1984-01-01,68.25
1984-04-01,69.67
1984-07-01,67.26
1984-10-01,68.49
1985-01-01,68.87
1985-04-01,67.73
1985-07-01,66.97
1985-10-01,66.83
1986-01-01,68.7
1986-04-01,70.13
1986-07-01,71.28
1986-10-01,71.12
1987-01-01,68.11
1987-04-01,72.57
1987-07-01,73.65
1987-10-01,74.5
1988-01-01,74.63
1988-04-01,76.55
1988-07-01,77.8
1988-10-01,79.15
1989-01-01,79.46
1989-04-01,80.07
1989-07-01,81.65
1989-10-01,81.53
1990-01-01,83.34
1990-04-01,82.86
1990-07-01,83.69
1990-10-01,83.34
1991-01-01,84.62
1991-04-01,84.7
1991-07-01,85.37
1991-10-01,86.98
1992-01-01,87.92
1992-04-01,87.74
1992-07-01,89.07
1992-10-01,89.11
1993-01-01,90.38
1993-04-01,92.72
1993-07-01,95.48
1993-10-01,96.87
1994-01-01,97.6
1994-04-01,98.49
1994-07-01,98.73
1994-10-01,98.89
1995-01-01,100.00
1995-04-01,101.51
1995-07-01,103.58
1995-10-01,105.21
1996-01-01,106.49
1996-04-01,105.91
1996-07-01,105.6
1996-10-01,107.02
1997-01-01,108.05
1997-04-01,107.7
1997-07-01,107.98
1997-10-01,110.06
1998-01-01,113.32
1998-04-01,113.15
1998-07-01,113.58
1998-10-01,115.73
1999-01-01,116.15
1999-04-01,115.39
1999-07-01,116.71
1999-10-01,118.43
2000-01-01,121.08
2000-04-01,122.88
2000-07-01,124.97
2000-10-01,127.96
2001-01-01,132
2001-04-01,136.34
2001-07-01,140.1
2001-10-01,144.77
2002-01-01,148.85
2002-04-01,154.53
2002-07-01,160.84
2002-10-01,165.75
2003-01-01,170.57
2003-04-01,176.03
2003-07-01,180.63
2003-10-01,190.64
2004-01-01,197.32
2004-04-01,206.84
2004-07-01,220.71
2004-10-01,229.82
2005-01-01,242.09
2005-04-01,258.4
2005-07-01,275.93
2005-10-01,294.43
2006-01-01,308.85
2006-04-01,322
2006-07-01,330.32
2006-10-01,336.51
2007-01-01,342.26
2007-04-01,342.33
2007-07-01,337.8
2007-10-01,330.84
2008-01-01,315.25
2008-04-01,291.92
2008-07-01,256.2
2008-10-01,235.41
2009-01-01,226.29
2009-04-01,212.9
2009-07-01,199.58
2009-10-01,200.42
2010-01-01,195.82
2010-04-01,194.06
2010-07-01,197.13
2010-10-01,194.14
2011-01-01,184.87
2011-04-01,180.56
2011-07-01,182.08
2011-10-01,184.84
2012-01-01,180.83
2012-04-01,182.22
2012-07-01,186.49
2012-10-01,193.52
2013-01-01,196.4
2013-04-01,205.72
2013-07-01,210.85
2013-10-01,217.89
2014-01-01,221.98
2014-04-01,228.94
2014-07-01,236.68
2014-10-01,242.22
2015-01-01,244.88
2015-04-01,252.24
2015-07-01,260.25
2015-10-01,264.94
2016-01-01,271.15
2016-04-01,275.59
2016-07-01,282.99
2016-10-01,287.97
2017-01-01,292.72
2017-04-01,299.24
2017-07-01,303.18
2017-10-01,307.92
2018-01-01,316.08
2018-04-01,317.86
2018-07-01,324.42
2018-10-01,328.42
2019-01-01,331.13
2019-04-01,335.81
2019-07-01,342.61
2019-10-01,344.44
2020-01-01,350.58
2020-04-01,353.98
2020-07-01,360.13
2020-10-01,367.04
2021-01-01,377.99
2021-04-01,396.49
