DATE,ATNHPIUS33540Q
1987-04-01,58.87
1987-07-01,59.21
1987-10-01,57.66
1988-01-01,61.48
1988-04-01,60.18
1988-07-01,59.45
1988-10-01,57.22
1989-01-01,56.29
1989-04-01,57.28
1989-07-01,59.15
1989-10-01,63.63
1990-01-01,59.47
1990-04-01,66.23
1990-07-01,61.14
1990-10-01,64.85
1991-01-01,64.26
1991-04-01,66.19
1991-07-01,68.12
1991-10-01,70.85
1992-01-01,72.27
1992-04-01,74.86
1992-07-01,76.05
1992-10-01,78.55
1993-01-01,80.83
1993-04-01,83.28
1993-07-01,85.02
1993-10-01,88.55
1994-01-01,89.92
1994-04-01,95.14
1994-07-01,97.3
1994-10-01,99
1995-01-01,100.00
1995-04-01,102.48
1995-07-01,103.43
1995-10-01,105.64
1996-01-01,107.37
1996-04-01,108
1996-07-01,110.45
1996-10-01,110.54
1997-01-01,111.18
1997-04-01,110.47
1997-07-01,112.75
1997-10-01,115.43
1998-01-01,115.28
1998-04-01,115.55
1998-07-01,117.98
1998-10-01,117.88
1999-01-01,119.2
1999-04-01,119.34
1999-07-01,122.5
1999-10-01,121.31
2000-01-01,123.85
2000-04-01,124.22
2000-07-01,127.03
2000-10-01,129.59
2001-01-01,131.05
2001-04-01,133.98
2001-07-01,135.63
2001-10-01,136.72
2002-01-01,140.31
2002-04-01,142.55
2002-07-01,147.84
2002-10-01,148.53
2003-01-01,149.89
2003-04-01,154.8
2003-07-01,160.03
2003-10-01,166.98
2004-01-01,169.33
2004-04-01,175.59
2004-07-01,182.12
2004-10-01,184.11
2005-01-01,188.15
2005-04-01,194.14
2005-07-01,199.94
2005-10-01,203.9
2006-01-01,205.79
2006-04-01,213.31
2006-07-01,217.93
2006-10-01,222.68
2007-01-01,223.1
2007-04-01,227.74
2007-07-01,226.93
2007-10-01,227.3
2008-01-01,229.11
2008-04-01,229.23
2008-07-01,223.87
2008-10-01,226.12
2009-01-01,227.83
2009-04-01,223.66
2009-07-01,219.68
2009-10-01,218.43
2010-01-01,212.9
2010-04-01,212.14
2010-07-01,216.91
2010-10-01,214.05
2011-01-01,206.42
2011-04-01,204.52
2011-07-01,207.05
2011-10-01,208.98
2012-01-01,208.77
2012-04-01,207.83
2012-07-01,211.56
2012-10-01,212.84
2013-01-01,212.81
2013-04-01,216.44
2013-07-01,215.3
2013-10-01,215.75
2014-01-01,219.43
2014-04-01,217.31
2014-07-01,222.77
2014-10-01,225.68
2015-01-01,228.01
2015-04-01,230.31
2015-07-01,234.19
2015-10-01,232.14
2016-01-01,238.5
2016-04-01,238.93
2016-07-01,245.02
2016-10-01,249.09
2017-01-01,251.27
2017-04-01,255.8
2017-07-01,260.13
2017-10-01,261.77
2018-01-01,266.37
2018-04-01,271.51
2018-07-01,272.18
2018-10-01,279.26
2019-01-01,276.52
2019-04-01,290.23
2019-07-01,291.22
2019-10-01,296.38
2020-01-01,298.89
2020-04-01,301.82
2020-07-01,311.21
2020-10-01,324.15
2021-01-01,334.65
2021-04-01,366.77
