DATE,ATNHPIUS33660Q
1984-01-01,82.21
1984-04-01,78.58
1984-07-01,84.78
1984-10-01,68.81
1985-01-01,68.13
1985-04-01,80.04
1985-07-01,79.09
1985-10-01,80.57
1986-01-01,79
1986-04-01,81.75
1986-07-01,83.13
1986-10-01,83.82
1987-01-01,83.35
1987-04-01,81.32
1987-07-01,80.49
1987-10-01,80.27
1988-01-01,83.91
1988-04-01,83.02
1988-07-01,83.67
1988-10-01,80.32
1989-01-01,80.04
1989-04-01,78.59
1989-07-01,80.65
1989-10-01,82.54
1990-01-01,80.33
1990-04-01,81.39
1990-07-01,82.78
1990-10-01,82.95
1991-01-01,83.44
1991-04-01,84.4
1991-07-01,85.36
1991-10-01,86.87
1992-01-01,88.19
1992-04-01,87.41
1992-07-01,89.37
1992-10-01,90.55
1993-01-01,91.63
1993-04-01,93.23
1993-07-01,94.75
1993-10-01,95.41
1994-01-01,94.69
1994-04-01,96.01
1994-07-01,97.66
1994-10-01,97.48
1995-01-01,100.00
1995-04-01,102.33
1995-07-01,102.84
1995-10-01,101.53
1996-01-01,104.54
1996-04-01,104.55
1996-07-01,106.14
1996-10-01,106.84
1997-01-01,109.68
1997-04-01,109.75
1997-07-01,110.61
1997-10-01,111.79
1998-01-01,113.37
1998-04-01,115.42
1998-07-01,117.4
1998-10-01,118.63
1999-01-01,119.25
1999-04-01,119.91
1999-07-01,120.79
1999-10-01,121.76
2000-01-01,121.86
2000-04-01,123.29
2000-07-01,124.34
2000-10-01,125.96
2001-01-01,130.1
2001-04-01,130.8
2001-07-01,132.05
2001-10-01,133.32
2002-01-01,132.37
2002-04-01,133.26
2002-07-01,135.59
2002-10-01,136.51
2003-01-01,139.09
2003-04-01,139.85
2003-07-01,140.55
2003-10-01,140.18
2004-01-01,140.3
2004-04-01,141.81
2004-07-01,145.2
2004-10-01,146.03
2005-01-01,144.71
2005-04-01,149.36
2005-07-01,153.84
2005-10-01,158.5
2006-01-01,164.46
2006-04-01,171
2006-07-01,177.67
2006-10-01,181.76
2007-01-01,183.81
2007-04-01,188.39
2007-07-01,188.64
2007-10-01,190.27
2008-01-01,191.29
2008-04-01,191.18
2008-07-01,188.79
2008-10-01,187.93
2009-01-01,191.66
2009-04-01,189.05
2009-07-01,182.75
2009-10-01,181.38
2010-01-01,178.55
2010-04-01,172.79
2010-07-01,174.47
2010-10-01,171.97
2011-01-01,164.97
2011-04-01,165.23
2011-07-01,162.84
2011-10-01,163.71
2012-01-01,160.07
2012-04-01,158.81
2012-07-01,158.14
2012-10-01,158.47
2013-01-01,157.23
2013-04-01,155.36
2013-07-01,156.42
2013-10-01,156.22
2014-01-01,156.14
2014-04-01,158.16
2014-07-01,161.2
2014-10-01,157.11
2015-01-01,164.49
2015-04-01,164.76
2015-07-01,163.54
2015-10-01,162.51
2016-01-01,162.55
2016-04-01,166.12
2016-07-01,168.57
2016-10-01,170.45
2017-01-01,169.24
2017-04-01,170.68
2017-07-01,175.5
2017-10-01,174.7
2018-01-01,181.42
2018-04-01,180.26
2018-07-01,180.88
2018-10-01,184.21
2019-01-01,185.49
2019-04-01,190.86
2019-07-01,191.79
2019-10-01,197.34
2020-01-01,196.78
2020-04-01,199.78
2020-07-01,205.64
2020-10-01,207.73
2021-01-01,216.27
2021-04-01,220.71
