DATE,ATNHPIUS33860Q
1986-01-01,86.9
1986-04-01,83.35
1986-07-01,84.32
1986-10-01,85.05
1987-01-01,85.57
1987-04-01,85.02
1987-07-01,86.08
1987-10-01,86.04
1988-01-01,86.61
1988-04-01,88.37
1988-07-01,86.89
1988-10-01,85.99
1989-01-01,86.48
1989-04-01,87.42
1989-07-01,87.66
1989-10-01,88.57
1990-01-01,87.13
1990-04-01,88.79
1990-07-01,89.17
1990-10-01,89.4
1991-01-01,88.41
1991-04-01,90.19
1991-07-01,90.71
1991-10-01,92.52
1992-01-01,93.01
1992-04-01,93.07
1992-07-01,94.44
1992-10-01,95.74
1993-01-01,95.25
1993-04-01,95.94
1993-07-01,98.16
1993-10-01,98.95
1994-01-01,99.16
1994-04-01,99.65
1994-07-01,100.98
1994-10-01,101.68
1995-01-01,100.00
1995-04-01,102.08
1995-07-01,103.93
1995-10-01,106.36
1996-01-01,105.44
1996-04-01,106.33
1996-07-01,106.45
1996-10-01,106.38
1997-01-01,106.97
1997-04-01,106.89
1997-07-01,110.35
1997-10-01,109.94
1998-01-01,111.91
1998-04-01,112
1998-07-01,111.11
1998-10-01,113.8
1999-01-01,113.55
1999-04-01,113.74
1999-07-01,113.57
1999-10-01,113.82
2000-01-01,114.1
2000-04-01,114.79
2000-07-01,114.35
2000-10-01,115.24
2001-01-01,119.16
2001-04-01,119.15
2001-07-01,119.6
2001-10-01,121.65
2002-01-01,120.77
2002-04-01,120.46
2002-07-01,122.63
2002-10-01,123.93
2003-01-01,124.72
2003-04-01,125.67
2003-07-01,125.88
2003-10-01,126.94
2004-01-01,127.1
2004-04-01,128.27
2004-07-01,130.1
2004-10-01,132.62
2005-01-01,134
2005-04-01,138.31
2005-07-01,141.15
2005-10-01,142.29
2006-01-01,145.5
2006-04-01,146.03
2006-07-01,149.19
2006-10-01,153.06
2007-01-01,152.14
2007-04-01,156.19
2007-07-01,155.58
2007-10-01,155.83
2008-01-01,157.34
2008-04-01,155.72
2008-07-01,153.76
2008-10-01,155.59
2009-01-01,154.8
2009-04-01,154.46
2009-07-01,149.23
2009-10-01,149.07
2010-01-01,143.84
2010-04-01,145.33
2010-07-01,148.42
2010-10-01,146.94
2011-01-01,145.68
2011-04-01,140.12
2011-07-01,141.65
2011-10-01,142.88
2012-01-01,140.05
2012-04-01,137.71
2012-07-01,138.1
2012-10-01,139.54
2013-01-01,136.07
2013-04-01,138.18
2013-07-01,138.92
2013-10-01,138.54
2014-01-01,137.45
2014-04-01,137.78
2014-07-01,137.48
2014-10-01,139.68
2015-01-01,141.53
2015-04-01,140.47
2015-07-01,139.54
2015-10-01,140.1
2016-01-01,141.97
2016-04-01,141.83
2016-07-01,143.94
2016-10-01,141.07
2017-01-01,145
2017-04-01,141.9
2017-07-01,143.29
2017-10-01,142.96
2018-01-01,143.71
2018-04-01,144.93
2018-07-01,144.94
2018-10-01,145.48
2019-01-01,147.6
2019-04-01,148.88
2019-07-01,150.76
2019-10-01,151.11
2020-01-01,153.51
2020-04-01,155.09
2020-07-01,157.31
2020-10-01,159.85
2021-01-01,160.92
2021-04-01,165.54
