DATE,ATNHPIUS34820Q
1986-04-01,77.94
1986-07-01,80.98
1986-10-01,81.2
1987-01-01,84.53
1987-04-01,83.12
1987-07-01,78.86
1987-10-01,83.06
1988-01-01,83.87
1988-04-01,83.02
1988-07-01,82.67
1988-10-01,84.6
1989-01-01,83.9
1989-04-01,84.84
1989-07-01,85.49
1989-10-01,85.33
1990-01-01,86.68
1990-04-01,88.74
1990-07-01,86.69
1990-10-01,85.53
1991-01-01,89.25
1991-04-01,88.39
1991-07-01,90.43
1991-10-01,90.27
1992-01-01,91.01
1992-04-01,91.36
1992-07-01,92.27
1992-10-01,93.78
1993-01-01,92.27
1993-04-01,93.2
1993-07-01,94.56
1993-10-01,95.32
1994-01-01,95.04
1994-04-01,95.56
1994-07-01,96.9
1994-10-01,99.56
1995-01-01,100.00
1995-04-01,101.83
1995-07-01,104.12
1995-10-01,105.28
1996-01-01,105.95
1996-04-01,109.4
1996-07-01,109.2
1996-10-01,112.49
1997-01-01,113.44
1997-04-01,114.48
1997-07-01,118.13
1997-10-01,118.75
1998-01-01,120.37
1998-04-01,122.35
1998-07-01,122.95
1998-10-01,125.79
1999-01-01,126.62
1999-04-01,128.57
1999-07-01,132.21
1999-10-01,130.48
2000-01-01,133.66
2000-04-01,134.29
2000-07-01,134.82
2000-10-01,136.98
2001-01-01,140.4
2001-04-01,141.31
2001-07-01,142.67
2001-10-01,145.15
2002-01-01,146.34
2002-04-01,146.37
2002-07-01,149.01
2002-10-01,149.38
2003-01-01,151.33
2003-04-01,153.45
2003-07-01,155.46
2003-10-01,158.96
2004-01-01,162.24
2004-04-01,166.69
2004-07-01,173.99
2004-10-01,180.84
2005-01-01,183.25
2005-04-01,193.86
2005-07-01,205.63
2005-10-01,214.62
2006-01-01,224.61
2006-04-01,232.48
2006-07-01,238.87
2006-10-01,243.57
2007-01-01,247.22
2007-04-01,248.27
2007-07-01,245.08
2007-10-01,244.95
2008-01-01,246.78
2008-04-01,238.8
2008-07-01,228.52
2008-10-01,227.3
2009-01-01,227.73
2009-04-01,220.8
2009-07-01,210.58
2009-10-01,206.48
2010-01-01,199.69
2010-04-01,192.65
2010-07-01,195.08
2010-10-01,195.42
2011-01-01,184.57
2011-04-01,179.21
2011-07-01,177.92
2011-10-01,181.61
2012-01-01,178.11
2012-04-01,174.3
2012-07-01,172.62
2012-10-01,171.78
2013-01-01,175.15
2013-04-01,173.55
2013-07-01,174.86
2013-10-01,172.51
2014-01-01,176.19
2014-04-01,179.72
2014-07-01,177.25
2014-10-01,182.47
2015-01-01,183.07
2015-04-01,188.11
2015-07-01,185.96
2015-10-01,189.09
2016-01-01,191.29
2016-04-01,192.07
2016-07-01,196.52
2016-10-01,196.74
2017-01-01,199.91
2017-04-01,201.98
2017-07-01,204.58
2017-10-01,207.96
2018-01-01,211.06
2018-04-01,214.82
2018-07-01,217.9
2018-10-01,220.26
2019-01-01,221.47
2019-04-01,230.04
2019-07-01,230.59
2019-10-01,234.37
2020-01-01,240.53
2020-04-01,239.21
2020-07-01,244.38
2020-10-01,251.01
2021-01-01,257.47
2021-04-01,270.59
