DATE,ATNHPIUS34980Q
1979-04-01,49.99
1979-07-01,50.59
1979-10-01,50.62
1980-01-01,51.72
1980-04-01,50.17
1980-07-01,53.21
1980-10-01,52.12
1981-01-01,50.26
1981-04-01,55.19
1981-07-01,59.89
1981-10-01,49.57
1982-01-01,58.22
1982-04-01,57.61
1982-07-01,59.25
1982-10-01,55.23
1983-01-01,59.94
1983-04-01,61.04
1983-07-01,61.09
1983-10-01,62.43
1984-01-01,62.7
1984-04-01,65.36
1984-07-01,65.8
1984-10-01,67.3
1985-01-01,68.53
1985-04-01,69.36
1985-07-01,70.13
1985-10-01,71.65
1986-01-01,73.56
1986-04-01,74.56
1986-07-01,76.33
1986-10-01,78.17
1987-01-01,80.21
1987-04-01,81.59
1987-07-01,81.23
1987-10-01,82.58
1988-01-01,82.75
1988-04-01,83.75
1988-07-01,83.77
1988-10-01,83.18
1989-01-01,82.93
1989-04-01,83.76
1989-07-01,83.55
1989-10-01,83.32
1990-01-01,83.76
1990-04-01,83.28
1990-07-01,82.88
1990-10-01,83.25
1991-01-01,83.43
1991-04-01,83.53
1991-07-01,83.82
1991-10-01,84.38
1992-01-01,85.28
1992-04-01,85.24
1992-07-01,86.78
1992-10-01,86.74
1993-01-01,86.9
1993-04-01,88.39
1993-07-01,89.68
1993-10-01,91.03
1994-01-01,92.5
1994-04-01,95.33
1994-07-01,97.25
1994-10-01,98.14
1995-01-01,100.00
1995-04-01,102.1
1995-07-01,103.68
1995-10-01,105.55
1996-01-01,107.64
1996-04-01,108.93
1996-07-01,110.07
1996-10-01,111.4
1997-01-01,113.38
1997-04-01,114.77
1997-07-01,116.11
1997-10-01,117.65
1998-01-01,119.48
1998-04-01,120.65
1998-07-01,122.38
1998-10-01,123.9
1999-01-01,124.6
1999-04-01,125.26
1999-07-01,125.79
1999-10-01,126.46
2000-01-01,127.56
2000-04-01,128.14
2000-07-01,129.98
2000-10-01,131.09
2001-01-01,133.94
2001-04-01,134.53
2001-07-01,135.27
2001-10-01,136.71
2002-01-01,137.61
2002-04-01,137.87
2002-07-01,139.66
2002-10-01,140.72
2003-01-01,141.25
2003-04-01,142.44
2003-07-01,143.47
2003-10-01,145.02
2004-01-01,146.18
2004-04-01,147.84
2004-07-01,150.53
2004-10-01,152.7
2005-01-01,154.46
2005-04-01,158.19
2005-07-01,161.42
2005-10-01,164.85
2006-01-01,167.95
2006-04-01,172.54
2006-07-01,175.43
2006-10-01,178.95
2007-01-01,180.81
2007-04-01,183
2007-07-01,183.97
2007-10-01,184.89
2008-01-01,185.59
2008-04-01,185.51
2008-07-01,182.45
2008-10-01,183.77
2009-01-01,183.86
2009-04-01,181.45
2009-07-01,176.28
2009-10-01,175.22
2010-01-01,173.89
2010-04-01,173.29
2010-07-01,175.03
2010-10-01,174.27
2011-01-01,169.71
2011-04-01,168.98
2011-07-01,169.99
2011-10-01,170.54
2012-01-01,169.47
2012-04-01,169.2
2012-07-01,171.6
2012-10-01,172.07
2013-01-01,173.16
2013-04-01,176.04
2013-07-01,178.18
2013-10-01,180.94
2014-01-01,183.6
2014-04-01,188.42
2014-07-01,191.3
2014-10-01,194.27
2015-01-01,197.71
2015-04-01,202.49
2015-07-01,207.86
2015-10-01,210.16
2016-01-01,215.06
2016-04-01,221.65
2016-07-01,226.3
2016-10-01,231.05
2017-01-01,236.11
2017-04-01,242.4
2017-07-01,248.2
2017-10-01,252.02
2018-01-01,257.41
2018-04-01,263.79
2018-07-01,268.03
2018-10-01,271.05
2019-01-01,274.07
2019-04-01,278.31
2019-07-01,282.35
2019-10-01,284.99
2020-01-01,290.2
2020-04-01,292.39
2020-07-01,299
2020-10-01,304.63
2021-01-01,312.08
2021-04-01,330.87
