DATE,ATNHPIUS35380Q
1977-04-01,48.75
1977-07-01,47.34
1977-10-01,53.53
1978-01-01,55.29
1978-04-01,56.37
1978-07-01,58.98
1978-10-01,62.11
1979-01-01,68.23
1979-04-01,72.37
1979-07-01,73
1979-10-01,75.07
1980-01-01,78.24
1980-04-01,80.2
1980-07-01,75.43
1980-10-01,76.86
1981-01-01,80.54
1981-04-01,84.55
1981-07-01,87.35
1981-10-01,85.47
1982-01-01,84.28
1982-04-01,84.07
1982-07-01,84.44
1982-10-01,85.4
1983-01-01,84.82
1983-04-01,87.01
1983-07-01,86.85
1983-10-01,89.1
1984-01-01,88.89
1984-04-01,89.79
1984-07-01,90.54
1984-10-01,89.1
1985-01-01,86.15
1985-04-01,89.19
1985-07-01,87.95
1985-10-01,86.25
1986-01-01,89.03
1986-04-01,90.13
1986-07-01,88.49
1986-10-01,87.73
1987-01-01,87.71
1987-04-01,88.23
1987-07-01,83.73
1987-10-01,84.44
1988-01-01,82.99
1988-04-01,81.88
1988-07-01,81.32
1988-10-01,80.01
1989-01-01,81.52
1989-04-01,80.25
1989-07-01,81.81
1989-10-01,79.97
1990-01-01,80.54
1990-04-01,80.06
1990-07-01,80.7
1990-10-01,81.34
1991-01-01,79.69
1991-04-01,82.46
1991-07-01,83.04
1991-10-01,84.7
1992-01-01,86.24
1992-04-01,86.82
1992-07-01,88.24
1992-10-01,89.01
1993-01-01,89.77
1993-04-01,91.6
1993-07-01,93.24
1993-10-01,94.82
1994-01-01,96.66
1994-04-01,98.46
1994-07-01,98.94
1994-10-01,98.63
1995-01-01,100.00
1995-04-01,102.36
1995-07-01,103.86
1995-10-01,105.43
1996-01-01,107.49
1996-04-01,108.54
1996-07-01,109.32
1996-10-01,111.23
1997-01-01,112.09
1997-04-01,112.87
1997-07-01,114.75
1997-10-01,116.8
1998-01-01,118.22
1998-04-01,119.01
1998-07-01,121.42
1998-10-01,122.67
1999-01-01,123.99
1999-04-01,125.25
1999-07-01,125.78
1999-10-01,125.9
2000-01-01,128.47
2000-04-01,129.09
2000-07-01,130.72
2000-10-01,131.93
2001-01-01,135.93
2001-04-01,137.86
2001-07-01,138.82
2001-10-01,140.62
2002-01-01,141.37
2002-04-01,142.98
2002-07-01,145.63
2002-10-01,147.93
2003-01-01,149.78
2003-04-01,151.78
2003-07-01,153.64
2003-10-01,157.23
2004-01-01,159.2
2004-04-01,162.83
2004-07-01,166.65
2004-10-01,169.86
2005-01-01,171.52
2005-04-01,175.69
2005-07-01,179.91
2005-10-01,188.02
2006-01-01,194.76
2006-04-01,200.31
2006-07-01,204.19
2006-10-01,207.73
2007-01-01,209.07
2007-04-01,208.34
2007-07-01,207.67
2007-10-01,205.95
2008-01-01,206.16
2008-04-01,203.63
2008-07-01,199.32
2008-10-01,199.7
2009-01-01,201.61
2009-04-01,199.16
2009-07-01,194.74
2009-10-01,192.92
2010-01-01,191.47
2010-04-01,188.22
2010-07-01,191.28
2010-10-01,190.48
2011-01-01,188.35
2011-04-01,186.24
2011-07-01,187.3
2011-10-01,189.14
2012-01-01,188.88
2012-04-01,189.36
2012-07-01,192.1
2012-10-01,191.3
2013-01-01,192.09
2013-04-01,194.31
2013-07-01,195.77
2013-10-01,194.49
2014-01-01,194.8
2014-04-01,197.25
2014-07-01,201.35
2014-10-01,201.89
2015-01-01,206.66
2015-04-01,208.14
2015-07-01,211.32
2015-10-01,212.25
2016-01-01,215.89
2016-04-01,219.66
2016-07-01,222.84
2016-10-01,222.91
2017-01-01,221.41
2017-04-01,225.57
2017-07-01,228.99
2017-10-01,229.33
2018-01-01,230.19
2018-04-01,230.95
2018-07-01,234.2
2018-10-01,233.57
2019-01-01,237.83
2019-04-01,240.58
2019-07-01,242.76
2019-10-01,245.97
2020-01-01,248.34
2020-04-01,251.02
2020-07-01,253.93
2020-10-01,259.02
2021-01-01,262.09
2021-04-01,270.73
