DATE,ATNHPIUS44005A
1977-01-01,23.09
1978-01-01,26.43
1979-01-01,30.72
1980-01-01,33.14
1981-01-01,36.30
1982-01-01,37.73
1983-01-01,42.05
1984-01-01,46.18
1985-01-01,50.60
1986-01-01,57.98
1987-01-01,72.46
1988-01-01,83.24
1989-01-01,86.69
1990-01-01,82.54
1991-01-01,78.91
1992-01-01,77.74
1993-01-01,77.27
1994-01-01,75.72
1995-01-01,75.60
1996-01-01,78.17
1997-01-01,78.88
1998-01-01,82.10
1999-01-01,86.09
2000-01-01,100.00
2001-01-01,111.94
2002-01-01,127.51
2003-01-01,141.81
2004-01-01,164.47
2005-01-01,189.29
2006-01-01,201.94
2007-01-01,198.61
2008-01-01,189.99
2009-01-01,172.64
2010-01-01,164.06
2011-01-01,159.45
2012-01-01,155.44
2013-01-01,157.95
2014-01-01,160.58
2015-01-01,168.08
2016-01-01,173.95
2017-01-01,186.60
2018-01-01,197.94
2019-01-01,208.72
2020-01-01,217.70
