DATE,ATNHPIUS36420Q
1977-01-01,49.95
1977-04-01,51.31
1977-07-01,55.36
1977-10-01,58.93
1978-01-01,59.75
1978-04-01,64.88
1978-07-01,69.92
1978-10-01,71.92
1979-01-01,75.1
1979-04-01,78.05
1979-07-01,79.8
1979-10-01,83.31
1980-01-01,87.51
1980-04-01,83
1980-07-01,86.72
1980-10-01,85.32
1981-01-01,88.12
1981-04-01,90.42
1981-07-01,95.9
1981-10-01,97.06
1982-01-01,100.88
1982-04-01,102.68
1982-07-01,104.04
1982-10-01,106.83
1983-01-01,107.34
1983-04-01,111.48
1983-07-01,112.54
1983-10-01,111.68
1984-01-01,108.61
1984-04-01,109.06
1984-07-01,106.74
1984-10-01,108.44
1985-01-01,105.73
1985-04-01,104.17
1985-07-01,104.03
1985-10-01,100.96
1986-01-01,102.93
1986-04-01,103.02
1986-07-01,99.48
1986-10-01,98.34
1987-01-01,96.61
1987-04-01,92.56
1987-07-01,86.79
1987-10-01,84.65
1988-01-01,81.23
1988-04-01,83.48
1988-07-01,81.12
1988-10-01,81.95
1989-01-01,83.14
1989-04-01,84.32
1989-07-01,85.26
1989-10-01,83.96
1990-01-01,84.45
1990-04-01,85.52
1990-07-01,85.01
1990-10-01,84.7
1991-01-01,85.96
1991-04-01,87.22
1991-07-01,88.39
1991-10-01,89.38
1992-01-01,90.34
1992-04-01,90.09
1992-07-01,91.44
1992-10-01,91.64
1993-01-01,91.91
1993-04-01,93.76
1993-07-01,95.51
1993-10-01,96.63
1994-01-01,97.21
1994-04-01,99.77
1994-07-01,100.34
1994-10-01,100
1995-01-01,100.00
1995-04-01,102.43
1995-07-01,104.19
1995-10-01,104.1
1996-01-01,106.06
1996-04-01,106.5
1996-07-01,107.34
1996-10-01,108.07
1997-01-01,108.67
1997-04-01,109
1997-07-01,110.01
1997-10-01,111.67
1998-01-01,112.64
1998-04-01,113.87
1998-07-01,114.73
1998-10-01,116.51
1999-01-01,116.55
1999-04-01,117.46
1999-07-01,119.55
1999-10-01,119.97
2000-01-01,120.97
2000-04-01,122.27
2000-07-01,124.04
2000-10-01,125.09
2001-01-01,127.74
2001-04-01,128.64
2001-07-01,130.41
2001-10-01,132.05
2002-01-01,132.96
2002-04-01,134.56
2002-07-01,136.35
2002-10-01,137.83
2003-01-01,138.96
2003-04-01,141.08
2003-07-01,142.38
2003-10-01,144.74
2004-01-01,146.32
2004-04-01,148.49
2004-07-01,150.34
2004-10-01,152.76
2005-01-01,154.41
2005-04-01,157.86
2005-07-01,161.18
2005-10-01,162.68
2006-01-01,163.73
2006-04-01,166.14
2006-07-01,166.98
2006-10-01,168.96
2007-01-01,171.32
2007-04-01,171.74
2007-07-01,173.2
2007-10-01,174.69
2008-01-01,174.95
2008-04-01,175.47
2008-07-01,174.09
2008-10-01,173.97
2009-01-01,176.62
2009-04-01,175.81
2009-07-01,174.04
2009-10-01,174.38
2010-01-01,173.63
2010-04-01,173.82
2010-07-01,175.61
2010-10-01,175.29
2011-01-01,172.14
2011-04-01,171.22
2011-07-01,171.66
2011-10-01,173.88
2012-01-01,174.35
2012-04-01,174.32
2012-07-01,176.2
2012-10-01,176.36
2013-01-01,177.86
2013-04-01,179.11
2013-07-01,179.86
2013-10-01,180.31
2014-01-01,182.4
2014-04-01,184.9
2014-07-01,188.12
2014-10-01,189.22
2015-01-01,189.99
2015-04-01,192.37
2015-07-01,196.67
2015-10-01,197.32
2016-01-01,198.04
2016-04-01,199.42
2016-07-01,201.67
2016-10-01,202.47
2017-01-01,204.53
2017-04-01,207.06
2017-07-01,210.5
2017-10-01,208.8
2018-01-01,211.31
2018-04-01,215.73
2018-07-01,214.97
2018-10-01,215.94
2019-01-01,219.58
2019-04-01,220.68
2019-07-01,225.81
2019-10-01,226.78
2020-01-01,230.22
2020-04-01,232.13
2020-07-01,236.69
2020-10-01,239.73
2021-01-01,244.24
2021-04-01,254.67
