DATE,ATNHPIUS36540Q
1978-01-01,46.14
1978-04-01,51.77
1978-07-01,53.12
1978-10-01,52.51
1979-01-01,56.94
1979-04-01,57.38
1979-07-01,60.34
1979-10-01,59.39
1980-01-01,62.52
1980-04-01,63.89
1980-07-01,63.55
1980-10-01,61.98
1981-01-01,68.81
1981-04-01,59.57
1981-07-01,65.26
1981-10-01,63.21
1982-01-01,67.57
1982-04-01,67.96
1982-07-01,67.33
1982-10-01,70.02
1983-01-01,70.07
1983-04-01,70.47
1983-07-01,71.21
1983-10-01,71.37
1984-01-01,70.75
1984-04-01,73.46
1984-07-01,73.46
1984-10-01,73.48
1985-01-01,73.55
1985-04-01,74.17
1985-07-01,74.7
1985-10-01,75.32
1986-01-01,76.07
1986-04-01,76.33
1986-07-01,76.93
1986-10-01,76.72
1987-01-01,77.49
1987-04-01,77.43
1987-07-01,76.38
1987-10-01,77.12
1988-01-01,77.18
1988-04-01,77.59
1988-07-01,78.38
1988-10-01,77.63
1989-01-01,77.58
1989-04-01,78.87
1989-07-01,79.39
1989-10-01,80.61
1990-01-01,80.83
1990-04-01,81.97
1990-07-01,82.58
1990-10-01,82.54
1991-01-01,83.26
1991-04-01,84.17
1991-07-01,84.8
1991-10-01,85.2
1992-01-01,86.57
1992-04-01,87.69
1992-07-01,88.98
1992-10-01,89.32
1993-01-01,90.03
1993-04-01,90.82
1993-07-01,91.94
1993-10-01,93.36
1994-01-01,94.39
1994-04-01,97.48
1994-07-01,99.05
1994-10-01,99.33
1995-01-01,100.00
1995-04-01,102.48
1995-07-01,103.78
1995-10-01,104.47
1996-01-01,106.46
1996-04-01,108.38
1996-07-01,110.29
1996-10-01,111.2
1997-01-01,112.19
1997-04-01,114.94
1997-07-01,115.86
1997-10-01,117.93
1998-01-01,118.97
1998-04-01,119.71
1998-07-01,121.46
1998-10-01,123.25
1999-01-01,124.23
1999-04-01,126.69
1999-07-01,126.8
1999-10-01,127.8
2000-01-01,129.07
2000-04-01,131.55
2000-07-01,132.6
2000-10-01,133.72
2001-01-01,135.59
2001-04-01,137.34
2001-07-01,138.34
2001-10-01,139.51
2002-01-01,140.68
2002-04-01,141.61
2002-07-01,143.08
2002-10-01,144.16
2003-01-01,144.9
2003-04-01,145.75
2003-07-01,147.47
2003-10-01,149.85
2004-01-01,151.38
2004-04-01,152.92
2004-07-01,156.13
2004-10-01,157.61
2005-01-01,158.8
2005-04-01,160.71
2005-07-01,162.92
2005-10-01,162.57
2006-01-01,162.52
2006-04-01,164.22
2006-07-01,164.33
2006-10-01,164.73
2007-01-01,164.94
2007-04-01,165.56
2007-07-01,164.91
2007-10-01,164.35
2008-01-01,165.48
2008-04-01,163.52
2008-07-01,161.54
2008-10-01,162.67
2009-01-01,163.9
2009-04-01,163.42
2009-07-01,161.28
2009-10-01,160.94
2010-01-01,160.04
2010-04-01,160.48
2010-07-01,161.57
2010-10-01,160.81
2011-01-01,158.27
2011-04-01,157.03
2011-07-01,159.02
2011-10-01,160.19
2012-01-01,159.3
2012-04-01,159.13
2012-07-01,159.42
2012-10-01,159.93
2013-01-01,160.26
2013-04-01,161.66
2013-07-01,161.69
2013-10-01,162.78
2014-01-01,162.81
2014-04-01,165.47
2014-07-01,167.51
2014-10-01,167.46
2015-01-01,169.78
2015-04-01,172
2015-07-01,174.56
2015-10-01,174.72
2016-01-01,175.97
2016-04-01,178.91
2016-07-01,182.73
2016-10-01,182.91
2017-01-01,185.71
2017-04-01,190.51
2017-07-01,192.93
2017-10-01,193.83
2018-01-01,196.66
2018-04-01,202.17
2018-07-01,204.31
2018-10-01,205.38
2019-01-01,207.7
2019-04-01,214.06
2019-07-01,215.28
2019-10-01,217.2
2020-01-01,220.22
2020-04-01,222
2020-07-01,225.67
2020-10-01,229.88
2021-01-01,233.7
2021-04-01,248.3
