DATE,ATNHPIUS36740Q
1978-04-01,43.2
1978-07-01,46.63
1978-10-01,47.77
1979-01-01,51.81
1979-04-01,52.9
1979-07-01,55.59
1979-10-01,56.66
1980-01-01,58.79
1980-04-01,58.19
1980-07-01,62.94
1980-10-01,66.15
1981-01-01,63.65
1981-04-01,64.67
1981-07-01,65.32
1981-10-01,68.01
1982-01-01,69.95
1982-04-01,63.4
1982-07-01,74.44
1982-10-01,76.83
1983-01-01,76.65
1983-04-01,77.43
1983-07-01,78.28
1983-10-01,75.17
1984-01-01,78.93
1984-04-01,79.37
1984-07-01,80.35
1984-10-01,81.28
1985-01-01,81.19
1985-04-01,81.35
1985-07-01,82.4
1985-10-01,83.55
1986-01-01,84.89
1986-04-01,85.53
1986-07-01,86.42
1986-10-01,85.65
1987-01-01,87.69
1987-04-01,87.01
1987-07-01,87.47
1987-10-01,87.34
1988-01-01,87.93
1988-04-01,90.62
1988-07-01,90.4
1988-10-01,91.58
1989-01-01,92.11
1989-04-01,93
1989-07-01,94.49
1989-10-01,95.43
1990-01-01,95.32
1990-04-01,95.95
1990-07-01,96.54
1990-10-01,96.15
1991-01-01,97.29
1991-04-01,97.88
1991-07-01,96.75
1991-10-01,99.1
1992-01-01,99.79
1992-04-01,98.9
1992-07-01,100.26
1992-10-01,100.65
1993-01-01,100.71
1993-04-01,101.28
1993-07-01,102.02
1993-10-01,102.62
1994-01-01,102.13
1994-04-01,100.66
1994-07-01,100.49
1994-10-01,100.18
1995-01-01,100.00
1995-04-01,101.47
1995-07-01,102.58
1995-10-01,103.15
1996-01-01,104.86
1996-04-01,104.15
1996-07-01,104.02
1996-10-01,104.56
1997-01-01,106.15
1997-04-01,105.94
1997-07-01,106.97
1997-10-01,109.11
1998-01-01,110.85
1998-04-01,110.65
1998-07-01,112.54
1998-10-01,114.11
1999-01-01,114.95
1999-04-01,116.37
1999-07-01,117.95
1999-10-01,118.53
2000-01-01,121.4
2000-04-01,123.86
2000-07-01,125.69
2000-10-01,127.64
2001-01-01,131.63
2001-04-01,133.83
2001-07-01,136.7
2001-10-01,138.89
2002-01-01,140.77
2002-04-01,144.15
2002-07-01,147
2002-10-01,149.54
2003-01-01,151.78
2003-04-01,154.67
2003-07-01,157.01
2003-10-01,162.23
2004-01-01,166.03
2004-04-01,172.66
2004-07-01,182.39
2004-10-01,189.57
2005-01-01,199.48
2005-04-01,217.04
2005-07-01,235.97
2005-10-01,251.31
2006-01-01,263.86
2006-04-01,272.91
2006-07-01,275.56
2006-10-01,278.56
2007-01-01,280.48
2007-04-01,277.48
2007-07-01,270.03
2007-10-01,263.63
2008-01-01,253.34
2008-04-01,238.38
2008-07-01,219.27
2008-10-01,208.65
2009-01-01,208.19
2009-04-01,196.38
2009-07-01,183.77
2009-10-01,174.53
2010-01-01,169.66
2010-04-01,162.97
2010-07-01,163.56
2010-10-01,160.99
2011-01-01,155.75
2011-04-01,146.88
2011-07-01,145.75
2011-10-01,149.15
2012-01-01,145.07
2012-04-01,144.49
2012-07-01,147.41
2012-10-01,149.13
2013-01-01,152.95
2013-04-01,159.24
2013-07-01,163.94
2013-10-01,168.71
2014-01-01,174.24
2014-04-01,176.17
2014-07-01,179.78
2014-10-01,183.1
2015-01-01,186.66
2015-04-01,191.95
2015-07-01,195.9
2015-10-01,200.87
2016-01-01,202.79
2016-04-01,207.17
2016-07-01,214.7
2016-10-01,218.08
2017-01-01,223.06
2017-04-01,229.02
2017-07-01,234.04
2017-10-01,239.14
2018-01-01,244.23
2018-04-01,250.01
2018-07-01,254.27
2018-10-01,256.46
2019-01-01,261.44
2019-04-01,264.22
2019-07-01,269.74
2019-10-01,272.2
2020-01-01,276.36
2020-04-01,278.56
2020-07-01,284.19
2020-10-01,289.62
2021-01-01,296.8
2021-04-01,312.68
