DATE,ATNHPIUS37100Q
1976-04-01,24.19
1976-07-01,25.64
1976-10-01,26.9
1977-01-01,28.24
1977-04-01,30.94
1977-07-01,33.49
1977-10-01,34.78
1978-01-01,35.88
1978-04-01,37.41
1978-07-01,39.03
1978-10-01,40.12
1979-01-01,41.11
1979-04-01,43.23
1979-07-01,46.15
1979-10-01,47.53
1980-01-01,49.69
1980-04-01,51.35
1980-07-01,53.49
1980-10-01,54.45
1981-01-01,53.72
1981-04-01,54.12
1981-07-01,57.94
1981-10-01,58.78
1982-01-01,55.88
1982-04-01,55.49
1982-07-01,50.51
1982-10-01,58.2
1983-01-01,57.85
1983-04-01,58.8
1983-07-01,61.08
1983-10-01,61.03
1984-01-01,61
1984-04-01,62.56
1984-07-01,62.84
1984-10-01,63.98
1985-01-01,64.55
1985-04-01,65.34
1985-07-01,67.02
1985-10-01,67.89
1986-01-01,69.16
1986-04-01,70.53
1986-07-01,72.41
1986-10-01,74.29
1987-01-01,76.46
1987-04-01,78.76
1987-07-01,82.11
1987-10-01,85.44
1988-01-01,89.21
1988-04-01,93.4
1988-07-01,100.68
1988-10-01,109.02
1989-01-01,114.91
1989-04-01,120.66
1989-07-01,124.88
1989-10-01,125.37
1990-01-01,124.87
1990-04-01,122.56
1990-07-01,121.66
1990-10-01,119.24
1991-01-01,116.55
1991-04-01,115.5
1991-07-01,115.24
1991-10-01,115.79
1992-01-01,114.56
1992-04-01,113.18
1992-07-01,112.43
1992-10-01,111.19
1993-01-01,108.6
1993-04-01,107.36
1993-07-01,106.24
1993-10-01,105.29
1994-01-01,104.38
1994-04-01,102.19
1994-07-01,101.14
1994-10-01,100.45
1995-01-01,100.00
1995-04-01,101.04
1995-07-01,102.36
1995-10-01,103.18
1996-01-01,102.8
1996-04-01,102.44
1996-07-01,101.94
1996-10-01,102.7
1997-01-01,102.87
1997-04-01,103.51
1997-07-01,105.04
1997-10-01,106.88
1998-01-01,108.82
1998-04-01,110.79
1998-07-01,113.97
1998-10-01,116.3
1999-01-01,118.27
1999-04-01,122.06
1999-07-01,125.26
1999-10-01,127.87
2000-01-01,132.88
2000-04-01,135.64
2000-07-01,139.49
2000-10-01,142.37
2001-01-01,145.42
2001-04-01,149.23
2001-07-01,152.7
2001-10-01,155.58
2002-01-01,160.84
2002-04-01,167.86
2002-07-01,173.86
2002-10-01,179.63
2003-01-01,184.55
2003-04-01,189.77
2003-07-01,196.67
2003-10-01,213.07
2004-01-01,220.98
2004-04-01,234.81
2004-07-01,262.19
2004-10-01,269.59
2005-01-01,277.37
2005-04-01,289.04
2005-07-01,302.61
2005-10-01,316.09
2006-01-01,324.01
2006-04-01,325.43
2006-07-01,323.01
2006-10-01,318.09
2007-01-01,312.74
2007-04-01,305.39
2007-07-01,297.23
2007-10-01,285.63
2008-01-01,270.61
2008-04-01,249.93
2008-07-01,231.79
2008-10-01,224.74
2009-01-01,223.37
2009-04-01,216.53
2009-07-01,214.75
2009-10-01,217.82
2010-01-01,216.42
2010-04-01,214.81
2010-07-01,218.14
2010-10-01,215.48
2011-01-01,207.52
2011-04-01,203.8
2011-07-01,203.2
2011-10-01,202.77
2012-01-01,200.78
2012-04-01,199.77
2012-07-01,203.28
2012-10-01,206.52
2013-01-01,211.1
2013-04-01,219.23
2013-07-01,231.93
2013-10-01,239.82
2014-01-01,244.72
2014-04-01,248.62
2014-07-01,252.72
2014-10-01,254.71
2015-01-01,256.39
2015-04-01,260.11
2015-07-01,265.05
2015-10-01,268.56
2016-01-01,271.59
2016-04-01,275.78
2016-07-01,280.26
2016-10-01,283.19
2017-01-01,286.36
2017-04-01,291.96
2017-07-01,295.24
2017-10-01,298.51
2018-01-01,301.65
2018-04-01,306.05
2018-07-01,308.68
2018-10-01,307.42
2019-01-01,310.37
2019-04-01,312.34
2019-07-01,316.21
2019-10-01,316.49
2020-01-01,319.83
2020-04-01,322.03
2020-07-01,326.25
2020-10-01,332.55
2021-01-01,339.3
2021-04-01,356.17
