DATE,ATNHPIUS38060Q
1977-04-01,42.74
1977-07-01,43.86
1977-10-01,46.18
1978-01-01,47.59
1978-04-01,49.36
1978-07-01,52.45
1978-10-01,55.96
1979-01-01,58.07
1979-04-01,60.35
1979-07-01,64.1
1979-10-01,65.85
1980-01-01,65.16
1980-04-01,66.33
1980-07-01,70.69
1980-10-01,71.23
1981-01-01,73.36
1981-04-01,74.12
1981-07-01,77.91
1981-10-01,74.24
1982-01-01,71.31
1982-04-01,73.58
1982-07-01,68.26
1982-10-01,75.05
1983-01-01,79.59
1983-04-01,80.54
1983-07-01,77.47
1983-10-01,76.27
1984-01-01,78.79
1984-04-01,82.94
1984-07-01,84.13
1984-10-01,82.42
1985-01-01,84.52
1985-04-01,85.64
1985-07-01,86.22
1985-10-01,86.89
1986-01-01,89.06
1986-04-01,91.62
1986-07-01,91.83
1986-10-01,89.62
1987-01-01,93.01
1987-04-01,92.25
1987-07-01,91.75
1987-10-01,90.18
1988-01-01,91.7
1988-04-01,91.8
1988-07-01,90.62
1988-10-01,90.88
1989-01-01,89.68
1989-04-01,89.06
1989-07-01,90.09
1989-10-01,89.65
1990-01-01,88.76
1990-04-01,87.64
1990-07-01,87.28
1990-10-01,86.06
1991-01-01,87.31
1991-04-01,87.76
1991-07-01,87.52
1991-10-01,90.29
1992-01-01,90.45
1992-04-01,90.17
1992-07-01,91.02
1992-10-01,91.51
1993-01-01,91.24
1993-04-01,92.29
1993-07-01,92.89
1993-10-01,94.03
1994-01-01,94.96
1994-04-01,95.96
1994-07-01,97.51
1994-10-01,98.94
1995-01-01,100.00
1995-04-01,101.83
1995-07-01,103.92
1995-10-01,105.16
1996-01-01,107.17
1996-04-01,107.68
1996-07-01,109.08
1996-10-01,110.12
1997-01-01,111.57
1997-04-01,112.54
1997-07-01,114.46
1997-10-01,116.43
1998-01-01,118.17
1998-04-01,119.45
1998-07-01,121.28
1998-10-01,122.75
1999-01-01,124.42
1999-04-01,126.66
1999-07-01,128.93
1999-10-01,130.45
2000-01-01,133.84
2000-04-01,135.37
2000-07-01,137.29
2000-10-01,139.35
2001-01-01,142.47
2001-04-01,144.64
2001-07-01,146.93
2001-10-01,148.12
2002-01-01,150.11
2002-04-01,151.91
2002-07-01,154.21
2002-10-01,155.7
2003-01-01,157.41
2003-04-01,158.89
2003-07-01,160.86
2003-10-01,165.77
2004-01-01,168.44
2004-04-01,173.92
2004-07-01,184.2
2004-10-01,192.25
2005-01-01,205.61
2005-04-01,229.74
2005-07-01,251.86
2005-10-01,272.01
2006-01-01,282.96
2006-04-01,287.81
2006-07-01,290.58
2006-10-01,292.57
2007-01-01,290.38
2007-04-01,287.76
2007-07-01,281.43
2007-10-01,274.81
2008-01-01,262.79
2008-04-01,244.32
2008-07-01,222.03
2008-10-01,210.78
2009-01-01,209.67
2009-04-01,191.15
2009-07-01,179.77
2009-10-01,175.23
2010-01-01,170.95
2010-04-01,164.43
2010-07-01,164.8
2010-10-01,159.77
2011-01-01,150.47
2011-04-01,143.15
2011-07-01,145.4
2011-10-01,149.24
2012-01-01,150.02
2012-04-01,154.12
2012-07-01,161.88
2012-10-01,168.07
2013-01-01,174.12
2013-04-01,184.04
2013-07-01,191.74
2013-10-01,198.16
2014-01-01,202.03
2014-04-01,206.65
2014-07-01,208.26
2014-10-01,211.77
2015-01-01,213.24
2015-04-01,218.62
2015-07-01,224.2
2015-10-01,227.33
2016-01-01,230.58
2016-04-01,235.58
2016-07-01,240.05
2016-10-01,244.28
2017-01-01,247.85
2017-04-01,254.3
2017-07-01,259.71
2017-10-01,263.09
2018-01-01,268.95
2018-04-01,274.64
2018-07-01,281.52
2018-10-01,284.45
2019-01-01,288.23
2019-04-01,293.67
2019-07-01,298.05
2019-10-01,303.29
2020-01-01,310.02
2020-04-01,315.81
2020-07-01,323.48
2020-10-01,335.01
2021-01-01,349.26
2021-04-01,377.25
