DATE,ATNHPIUS38860Q
1982-07-01,49.55
1982-10-01,51.55
1983-01-01,51.09
1983-04-01,53.51
1983-07-01,55.46
1983-10-01,58.91
1984-01-01,58.33
1984-04-01,61.42
1984-07-01,63.7
1984-10-01,63.9
1985-01-01,66.16
1985-04-01,69.02
1985-07-01,71.19
1985-10-01,75.83
1986-01-01,76.45
1986-04-01,79.82
1986-07-01,83.26
1986-10-01,87.96
1987-01-01,91.26
1987-04-01,94.71
1987-07-01,100.48
1987-10-01,104.14
1988-01-01,106.44
1988-04-01,107.54
1988-07-01,110.49
1988-10-01,110.32
1989-01-01,110.23
1989-04-01,111.35
1989-07-01,112.75
1989-10-01,113.03
1990-01-01,112.21
1990-04-01,107.89
1990-07-01,106.52
1990-10-01,107.78
1991-01-01,103.71
1991-04-01,104.66
1991-07-01,103.26
1991-10-01,104.18
1992-01-01,104.78
1992-04-01,102.65
1992-07-01,102.54
1992-10-01,103.9
1993-01-01,102.11
1993-04-01,103.71
1993-07-01,102.78
1993-10-01,103.5
1994-01-01,104.09
1994-04-01,101.01
1994-07-01,100.81
1994-10-01,99.1
1995-01-01,100.00
1995-04-01,101.75
1995-07-01,103.42
1995-10-01,104.06
1996-01-01,105.91
1996-04-01,105.35
1996-07-01,105.1
1996-10-01,106.9
1997-01-01,106.12
1997-04-01,107.76
1997-07-01,109.46
1997-10-01,110.83
1998-01-01,112.62
1998-04-01,113.95
1998-07-01,115.28
1998-10-01,116.97
1999-01-01,118.26
1999-04-01,121.96
1999-07-01,125.49
1999-10-01,126.26
2000-01-01,130.11
2000-04-01,133.65
2000-07-01,137.15
2000-10-01,140.12
2001-01-01,144.12
2001-04-01,147.21
2001-07-01,152.23
2001-10-01,154.51
2002-01-01,158.24
2002-04-01,164.15
2002-07-01,168.36
2002-10-01,172
2003-01-01,175.26
2003-04-01,177.81
2003-07-01,183.28
2003-10-01,190.97
2004-01-01,194.8
2004-04-01,200.52
2004-07-01,210.68
2004-10-01,214.36
2005-01-01,220.81
2005-04-01,225.59
2005-07-01,231.95
2005-10-01,234.17
2006-01-01,236.29
2006-04-01,234.49
2006-07-01,234.79
2006-10-01,236.88
2007-01-01,239.32
2007-04-01,236.57
2007-07-01,235.65
2007-10-01,238.07
2008-01-01,238.39
2008-04-01,233.02
2008-07-01,228.35
2008-10-01,227.71
2009-01-01,229.21
2009-04-01,223.59
2009-07-01,218.5
2009-10-01,216.33
2010-01-01,215.18
2010-04-01,212.32
2010-07-01,214.95
2010-10-01,214.98
2011-01-01,211.65
2011-04-01,208.14
2011-07-01,210.08
2011-10-01,211.39
2012-01-01,209.56
2012-04-01,208.22
2012-07-01,208.42
2012-10-01,209.03
2013-01-01,210.39
2013-04-01,211.56
2013-07-01,211.52
2013-10-01,210.37
2014-01-01,211.73
2014-04-01,214.58
2014-07-01,218.31
2014-10-01,216.95
2015-01-01,220.53
2015-04-01,222.71
2015-07-01,224.53
2015-10-01,227.66
2016-01-01,228.22
2016-04-01,231.23
2016-07-01,236.18
2016-10-01,237.76
2017-01-01,240.56
2017-04-01,244.98
2017-07-01,250.64
2017-10-01,252.08
2018-01-01,256.04
2018-04-01,260.48
2018-07-01,264.59
2018-10-01,266.31
2019-01-01,269.17
2019-04-01,274.41
2019-07-01,277.5
2019-10-01,280.62
2020-01-01,284.61
2020-04-01,288.44
2020-07-01,294.11
2020-10-01,305.74
2021-01-01,314.29
2021-04-01,332.55
