DATE,ATNHPIUS38900Q
1976-04-01,28.53
1976-07-01,30.14
1976-10-01,31.61
1977-01-01,33.32
1977-04-01,34.01
1977-07-01,36.75
1977-10-01,38.59
1978-01-01,40.42
1978-04-01,41.66
1978-07-01,43.98
1978-10-01,46.19
1979-01-01,47.67
1979-04-01,48.91
1979-07-01,49.44
1979-10-01,51.24
1980-01-01,50.45
1980-04-01,50.43
1980-07-01,54.28
1980-10-01,52.99
1981-01-01,51.54
1981-04-01,50.86
1981-07-01,48.04
1981-10-01,48.71
1982-01-01,44.88
1982-04-01,37.37
1982-07-01,48.62
1982-10-01,52.09
1983-01-01,53.26
1983-04-01,53.13
1983-07-01,51.2
1983-10-01,49.92
1984-01-01,51.75
1984-04-01,51.65
1984-07-01,50.86
1984-10-01,52.55
1985-01-01,52.36
1985-04-01,51.82
1985-07-01,51.5
1985-10-01,51.34
1986-01-01,51.75
1986-04-01,52.51
1986-07-01,52.46
1986-10-01,51.99
1987-01-01,53.08
1987-04-01,52.93
1987-07-01,52.82
1987-10-01,52.57
1988-01-01,53.21
1988-04-01,53.5
1988-07-01,54.95
1988-10-01,55.42
1989-01-01,56.42
1989-04-01,57.66
1989-07-01,58.98
1989-10-01,60.64
1990-01-01,63.03
1990-04-01,66.47
1990-07-01,69.31
1990-10-01,70.72
1991-01-01,71.9
1991-04-01,73.81
1991-07-01,75.06
1991-10-01,76.85
1992-01-01,78.37
1992-04-01,79.44
1992-07-01,81.55
1992-10-01,82.66
1993-01-01,83.94
1993-04-01,85.76
1993-07-01,87.67
1993-10-01,89.23
1994-01-01,91.53
1994-04-01,94.16
1994-07-01,96.52
1994-10-01,98.09
1995-01-01,100.00
1995-04-01,102.89
1995-07-01,105.53
1995-10-01,107.5
1996-01-01,109.92
1996-04-01,111.52
1996-07-01,113.38
1996-10-01,115.32
1997-01-01,117.76
1997-04-01,119.17
1997-07-01,121.98
1997-10-01,123.56
1998-01-01,125.47
1998-04-01,126.18
1998-07-01,127.79
1998-10-01,129.04
1999-01-01,129.28
1999-04-01,130.3
1999-07-01,130.16
1999-10-01,131.02
2000-01-01,131.97
2000-04-01,132.86
2000-07-01,133.95
2000-10-01,135.24
2001-01-01,138.77
2001-04-01,140.07
2001-07-01,141.25
2001-10-01,142.48
2002-01-01,144.13
2002-04-01,145.39
2002-07-01,147.69
2002-10-01,148.72
2003-01-01,149.91
2003-04-01,151.22
2003-07-01,153.01
2003-10-01,156.86
2004-01-01,158.61
2004-04-01,163.08
2004-07-01,169.33
2004-10-01,173.48
2005-01-01,178.69
2005-04-01,188.51
2005-07-01,199.46
2005-10-01,208.28
2006-01-01,216.07
2006-04-01,224.83
2006-07-01,230.86
2006-10-01,235.06
2007-01-01,238.1
2007-04-01,240.72
2007-07-01,240.04
2007-10-01,241.27
2008-01-01,240.19
2008-04-01,235.95
2008-07-01,227.5
2008-10-01,223.88
2009-01-01,222.6
2009-04-01,213.22
2009-07-01,205.9
2009-10-01,203.53
2010-01-01,200.3
2010-04-01,197.25
2010-07-01,197.79
2010-10-01,195.09
2011-01-01,187.33
2011-04-01,182.08
2011-07-01,183.08
2011-10-01,185.35
2012-01-01,181.9
2012-04-01,181.05
2012-07-01,185.43
2012-10-01,189.02
2013-01-01,191.12
2013-04-01,197.1
2013-07-01,203.91
2013-10-01,206.52
2014-01-01,210.72
2014-04-01,217.99
2014-07-01,221.94
2014-10-01,224.63
2015-01-01,228.27
2015-04-01,236.75
2015-07-01,245.9
2015-10-01,250.83
2016-01-01,257
2016-04-01,267
2016-07-01,275.36
2016-10-01,279.45
2017-01-01,283.85
2017-04-01,292.4
2017-07-01,298.02
2017-10-01,298.91
2018-01-01,302.92
2018-04-01,310.28
2018-07-01,312.36
2018-10-01,311.49
2019-01-01,314.72
2019-04-01,318.97
2019-07-01,322.16
2019-10-01,324.48
2020-01-01,327.47
2020-04-01,331.04
2020-07-01,337.33
2020-10-01,345.28
2021-01-01,354.44
2021-04-01,376.93
