DATE,ATNHPIUS39150Q
1987-01-01,69.12
1987-04-01,67.21
1987-07-01,67.95
1987-10-01,65.65
1988-01-01,66.44
1988-04-01,68.08
1988-07-01,69.39
1988-10-01,68.86
1989-01-01,71.36
1989-04-01,71.44
1989-07-01,73.84
1989-10-01,74.37
1990-01-01,74.59
1990-04-01,75.31
1990-07-01,76.91
1990-10-01,77.27
1991-01-01,79.6
1991-04-01,78.76
1991-07-01,79.86
1991-10-01,81.8
1992-01-01,84.01
1992-04-01,83.33
1992-07-01,84.39
1992-10-01,85.29
1993-01-01,86.61
1993-04-01,87.22
1993-07-01,89.38
1993-10-01,91.5
1994-01-01,93.4
1994-04-01,94.72
1994-07-01,96.47
1994-10-01,97.84
1995-01-01,100
1995-04-01,102.15
1995-07-01,104.19
1995-10-01,105.46
1996-01-01,106.88
1996-04-01,106
1996-07-01,105.68
1996-10-01,106.43
1997-01-01,107.3
1997-04-01,107.25
1997-07-01,108.52
1997-10-01,110.26
1998-01-01,112.54
1998-04-01,113.55
1998-07-01,113.9
1998-10-01,114.32
1999-01-01,115.52
1999-04-01,115.19
1999-07-01,116.45
1999-10-01,117.91
2000-01-01,120.07
2000-04-01,120.47
2000-07-01,122.71
2000-10-01,124.39
2001-01-01,127.2
2001-04-01,129.63
2001-07-01,131.23
2001-10-01,131.74
2002-01-01,134.26
2002-04-01,136.25
2002-07-01,139.08
2002-10-01,140.55
2003-01-01,142.78
2003-04-01,144.4
2003-07-01,146.7
2003-10-01,151.12
2004-01-01,155.27
2004-04-01,160.52
2004-07-01,169.56
2004-10-01,176.2
2005-01-01,188.56
2005-04-01,205.97
2005-07-01,219.8
2005-10-01,232.42
2006-01-01,242.63
2006-04-01,248.87
2006-07-01,250.24
2006-10-01,254.53
2007-01-01,254.59
2007-04-01,251.04
2007-07-01,241.49
2007-10-01,241.1
2008-01-01,237.33
2008-04-01,227.24
2008-07-01,211.35
2008-10-01,203.84
2009-01-01,204.21
2009-04-01,190.57
2009-07-01,179.01
2009-10-01,174.79
2010-01-01,167.53
2010-04-01,161.46
2010-07-01,160.41
2010-10-01,155.45
2011-01-01,152.05
2011-04-01,143.08
2011-07-01,144.81
2011-10-01,148.23
2012-01-01,145.95
2012-04-01,147.44
2012-07-01,151.09
2012-10-01,152.73
2013-01-01,157.11
2013-04-01,161.82
2013-07-01,165.67
2013-10-01,170.54
2014-01-01,174.35
2014-04-01,177.71
2014-07-01,182.33
2014-10-01,184.45
2015-01-01,189.07
2015-04-01,190.96
2015-07-01,195.05
2015-10-01,199.84
2016-01-01,201.25
2016-04-01,205.85
2016-07-01,207.55
2016-10-01,212.48
2017-01-01,217.05
2017-04-01,223.98
2017-07-01,228.89
2017-10-01,232.76
2018-01-01,236.42
2018-04-01,244.89
2018-07-01,249.55
2018-10-01,252.35
2019-01-01,254.32
2019-04-01,259.56
2019-07-01,263.41
2019-10-01,266.48
2020-01-01,271.61
2020-04-01,274.45
2020-07-01,281.28
2020-10-01,287.14
2021-01-01,299.54
2021-04-01,323.15
