DATE,ATNHPIUS39580Q
1977-10-01,38.83
1978-01-01,39.64
1978-04-01,40.27
1978-07-01,40.98
1978-10-01,42.99
1979-01-01,44.22
1979-04-01,45.88
1979-07-01,46.21
1979-10-01,48.03
1980-01-01,49.22
1980-04-01,49.07
1980-07-01,50.33
1980-10-01,52.48
1981-01-01,57.05
1981-04-01,53.77
1981-07-01,53.59
1981-10-01,50.44
1982-01-01,53.89
1982-04-01,56.34
1982-07-01,55.09
1982-10-01,57.26
1983-01-01,56.45
1983-04-01,56.13
1983-07-01,58.41
1983-10-01,59.26
1984-01-01,61.4
1984-04-01,63.5
1984-07-01,64.86
1984-10-01,66.73
1985-01-01,67.94
1985-04-01,70.68
1985-07-01,72.14
1985-10-01,72.93
1986-01-01,75.15
1986-04-01,75.95
1986-07-01,76.83
1986-10-01,77.54
1987-01-01,78.24
1987-04-01,78.46
1987-07-01,78.7
1987-10-01,78.37
1988-01-01,78.94
1988-04-01,80.2
1988-07-01,80.54
1988-10-01,80.67
1989-01-01,81.19
1989-04-01,80.95
1989-07-01,82.13
1989-10-01,81.58
1990-01-01,82.81
1990-04-01,82.42
1990-07-01,82.9
1990-10-01,82.95
1991-01-01,83.05
1991-04-01,83.33
1991-07-01,83.98
1991-10-01,85.09
1992-01-01,85.08
1992-04-01,85.83
1992-07-01,86.58
1992-10-01,86.82
1993-01-01,87.29
1993-04-01,88.45
1993-07-01,89.64
1993-10-01,90.19
1994-01-01,92.36
1994-04-01,95.21
1994-07-01,97.28
1994-10-01,99.38
1995-01-01,100.00
1995-04-01,101.45
1995-07-01,102.66
1995-10-01,103.55
1996-01-01,104.83
1996-04-01,105.49
1996-07-01,106.18
1996-10-01,106.7
1997-01-01,107.85
1997-04-01,109.13
1997-07-01,110.35
1997-10-01,111.97
1998-01-01,112.65
1998-04-01,113.68
1998-07-01,115.17
1998-10-01,116.02
1999-01-01,116.97
1999-04-01,118.71
1999-07-01,119.2
1999-10-01,120.57
2000-01-01,121.06
2000-04-01,121.85
2000-07-01,123.38
2000-10-01,124.52
2001-01-01,126.75
2001-04-01,127.87
2001-07-01,128.3
2001-10-01,129.43
2002-01-01,130.19
2002-04-01,130.58
2002-07-01,131.82
2002-10-01,132.42
2003-01-01,133.19
2003-04-01,133.69
2003-07-01,134.09
2003-10-01,134.88
2004-01-01,135.86
2004-04-01,136.8
2004-07-01,138.11
2004-10-01,139.72
2005-01-01,141.31
2005-04-01,142.58
2005-07-01,144.82
2005-10-01,147.38
2006-01-01,148.97
2006-04-01,152.13
2006-07-01,154.49
2006-10-01,156.92
2007-01-01,159.35
2007-04-01,161.65
2007-07-01,163.65
2007-10-01,165.13
2008-01-01,165.93
2008-04-01,166.56
2008-07-01,166.88
2008-10-01,166.2
2009-01-01,166.63
2009-04-01,164.05
2009-07-01,161.48
2009-10-01,160.36
2010-01-01,157.95
2010-04-01,157.1
2010-07-01,158.18
2010-10-01,157.72
2011-01-01,154.53
2011-04-01,153
2011-07-01,153.48
2011-10-01,153.68
2012-01-01,151.58
2012-04-01,150.93
2012-07-01,152.62
2012-10-01,153.41
2013-01-01,153.36
2013-04-01,154.6
2013-07-01,156.3
2013-10-01,156.39
2014-01-01,158.22
2014-04-01,162.11
2014-07-01,163.61
2014-10-01,164.12
2015-01-01,166.42
2015-04-01,169.01
2015-07-01,170.91
2015-10-01,173.33
2016-01-01,176.43
2016-04-01,179.37
2016-07-01,182.33
2016-10-01,183.51
2017-01-01,187.94
2017-04-01,193.54
2017-07-01,195.77
2017-10-01,195.6
2018-01-01,199.5
2018-04-01,204.53
2018-07-01,207.44
2018-10-01,208.01
2019-01-01,213.16
2019-04-01,215.41
2019-07-01,217.32
2019-10-01,219.56
2020-01-01,222.85
2020-04-01,224.6
2020-07-01,228.34
2020-10-01,232.59
2021-01-01,236.18
2021-04-01,252.06
