DATE,ATNHPIUS39900Q
1978-04-01,49.83
1978-07-01,52.31
1978-10-01,53.17
1979-01-01,55.81
1979-04-01,59.65
1979-07-01,58.66
1979-10-01,58.37
1980-01-01,60.49
1980-04-01,59.65
1980-07-01,60.33
1980-10-01,61.62
1981-01-01,67.92
1981-04-01,64.03
1981-07-01,67.02
1981-10-01,66.95
1982-01-01,69.45
1982-04-01,69.13
1982-07-01,66.58
1982-10-01,67.55
1983-01-01,68.15
1983-04-01,68.47
1983-07-01,71.56
1983-10-01,73.39
1984-01-01,71.46
1984-04-01,68.45
1984-07-01,66.19
1984-10-01,70.41
1985-01-01,68.85
1985-04-01,70.31
1985-07-01,69.53
1985-10-01,70.14
1986-01-01,72.15
1986-04-01,73.61
1986-07-01,73.93
1986-10-01,74.66
1987-01-01,75.68
1987-04-01,74.56
1987-07-01,75.01
1987-10-01,74.75
1988-01-01,75.97
1988-04-01,74.44
1988-07-01,76.33
1988-10-01,76.95
1989-01-01,76.23
1989-04-01,77.45
1989-07-01,79.27
1989-10-01,80.48
1990-01-01,81.49
1990-04-01,81.59
1990-07-01,83.82
1990-10-01,84.3
1991-01-01,85.71
1991-04-01,86.42
1991-07-01,87.67
1991-10-01,88.94
1992-01-01,89.85
1992-04-01,90.39
1992-07-01,91.54
1992-10-01,92.67
1993-01-01,92.83
1993-04-01,93.56
1993-07-01,94.7
1993-10-01,95.58
1994-01-01,96.31
1994-04-01,97.62
1994-07-01,99.01
1994-10-01,99.27
1995-01-01,100.00
1995-04-01,102.45
1995-07-01,104.15
1995-10-01,104.38
1996-01-01,105.99
1996-04-01,105.76
1996-07-01,106.2
1996-10-01,106.86
1997-01-01,107.81
1997-04-01,107.62
1997-07-01,109.65
1997-10-01,110.12
1998-01-01,111.02
1998-04-01,111.17
1998-07-01,112.07
1998-10-01,112.74
1999-01-01,112.25
1999-04-01,112.57
1999-07-01,113.48
1999-10-01,113.49
2000-01-01,115
2000-04-01,116.2
2000-07-01,117.18
2000-10-01,118.54
2001-01-01,120.73
2001-04-01,122.02
2001-07-01,124.8
2001-10-01,126.35
2002-01-01,128.75
2002-04-01,131.79
2002-07-01,134.8
2002-10-01,136.81
2003-01-01,139.72
2003-04-01,142.67
2003-07-01,146.76
2003-10-01,156.23
2004-01-01,162
2004-04-01,173.93
2004-07-01,195.16
2004-10-01,204.85
2005-01-01,216.08
2005-04-01,232.02
2005-07-01,241.34
2005-10-01,248.65
2006-01-01,251.62
2006-04-01,248.78
2006-07-01,247.37
2006-10-01,242.89
2007-01-01,239.1
2007-04-01,232.42
2007-07-01,223.67
2007-10-01,218.07
2008-01-01,210.3
2008-04-01,197.82
2008-07-01,184.23
2008-10-01,175.77
2009-01-01,172.2
2009-04-01,160.17
2009-07-01,149.44
2009-10-01,145.53
2010-01-01,138.19
2010-04-01,131.66
2010-07-01,135.14
2010-10-01,131.22
2011-01-01,125.4
2011-04-01,117.38
2011-07-01,117.33
2011-10-01,116.65
2012-01-01,115.86
2012-04-01,114.89
2012-07-01,117.9
2012-10-01,121.22
2013-01-01,126.01
2013-04-01,134.03
2013-07-01,142.05
2013-10-01,147.85
2014-01-01,150.91
2014-04-01,158.06
2014-07-01,164.95
2014-10-01,166.91
2015-01-01,171.66
2015-04-01,179.81
2015-07-01,187.54
2015-10-01,190.71
2016-01-01,194.77
2016-04-01,201.13
2016-07-01,208.12
2016-10-01,210.07
2017-01-01,212.92
2017-04-01,220.02
2017-07-01,226.92
2017-10-01,231.74
2018-01-01,237.13
2018-04-01,246.97
2018-07-01,251.78
2018-10-01,254.74
2019-01-01,255.57
2019-04-01,259.74
2019-07-01,263.49
2019-10-01,263.8
2020-01-01,266.93
2020-04-01,270.21
2020-07-01,274.95
2020-10-01,282.14
2021-01-01,292.98
2021-04-01,316.95
