DATE,ATNHPIUS40060Q
1976-01-01,42.57
1976-04-01,42.18
1976-07-01,41.38
1976-10-01,42.69
1977-01-01,43.56
1977-04-01,44.85
1977-07-01,46.04
1977-10-01,47.15
1978-01-01,47.17
1978-04-01,47.66
1978-07-01,49.3
1978-10-01,50.47
1979-01-01,50.58
1979-04-01,53.17
1979-07-01,53.68
1979-10-01,54.52
1980-01-01,57.29
1980-04-01,56.76
1980-07-01,58.57
1980-10-01,58.44
1981-01-01,59.71
1981-04-01,57.25
1981-07-01,60.23
1981-10-01,60.51
1982-01-01,63.12
1982-04-01,64.14
1982-07-01,59.26
1982-10-01,62.03
1983-01-01,64.42
1983-04-01,65.07
1983-07-01,65.54
1983-10-01,65.8
1984-01-01,67.92
1984-04-01,67.4
1984-07-01,69.11
1984-10-01,67.89
1985-01-01,69.66
1985-04-01,70.45
1985-07-01,71.05
1985-10-01,70.87
1986-01-01,72.82
1986-04-01,74.1
1986-07-01,74.82
1986-10-01,75.81
1987-01-01,77.17
1987-04-01,78.51
1987-07-01,81.34
1987-10-01,82.32
1988-01-01,83.33
1988-04-01,85.34
1988-07-01,86.17
1988-10-01,87.52
1989-01-01,88.98
1989-04-01,89.7
1989-07-01,91.31
1989-10-01,91.36
1990-01-01,92.03
1990-04-01,93.59
1990-07-01,93.24
1990-10-01,93.46
1991-01-01,92.88
1991-04-01,94.53
1991-07-01,93.8
1991-10-01,95.66
1992-01-01,96.75
1992-04-01,95.83
1992-07-01,97.31
1992-10-01,97.77
1993-01-01,97.23
1993-04-01,98.4
1993-07-01,98.9
1993-10-01,99.64
1994-01-01,99.63
1994-04-01,99.76
1994-07-01,100.57
1994-10-01,100.41
1995-01-01,100.00
1995-04-01,101.78
1995-07-01,102.57
1995-10-01,103.94
1996-01-01,104.55
1996-04-01,104.77
1996-07-01,104.62
1996-10-01,105.64
1997-01-01,105.94
1997-04-01,106.73
1997-07-01,107.48
1997-10-01,109.19
1998-01-01,110.92
1998-04-01,110.91
1998-07-01,111.88
1998-10-01,113.52
1999-01-01,114.61
1999-04-01,115.47
1999-07-01,117.14
1999-10-01,117.9
2000-01-01,119.78
2000-04-01,121.08
2000-07-01,122.62
2000-10-01,123.68
2001-01-01,126.32
2001-04-01,128.22
2001-07-01,129.89
2001-10-01,131.33
2002-01-01,132.77
2002-04-01,135.78
2002-07-01,138.05
2002-10-01,139.58
2003-01-01,141.37
2003-04-01,143.07
2003-07-01,145.93
2003-10-01,150.02
2004-01-01,152.93
2004-04-01,156.75
2004-07-01,164.54
2004-10-01,167.86
2005-01-01,173.09
2005-04-01,180.98
2005-07-01,189.16
2005-10-01,195.01
2006-01-01,200.55
2006-04-01,206.86
2006-07-01,209.71
2006-10-01,213.39
2007-01-01,216.14
2007-04-01,219.33
2007-07-01,218.21
2007-10-01,219.22
2008-01-01,219.09
2008-04-01,215.99
2008-07-01,212.71
2008-10-01,211.32
2009-01-01,210.52
2009-04-01,204.8
2009-07-01,199.58
2009-10-01,198.07
2010-01-01,195
2010-04-01,191.16
2010-07-01,192.14
2010-10-01,190.91
2011-01-01,184.38
2011-04-01,180.3
2011-07-01,179.14
2011-10-01,180.28
2012-01-01,178.54
2012-04-01,176.48
2012-07-01,178.4
2012-10-01,178.77
2013-01-01,178.28
2013-04-01,179.34
2013-07-01,180.94
2013-10-01,181.41
2014-01-01,182.18
2014-04-01,187.07
2014-07-01,187.12
2014-10-01,188.31
2015-01-01,189.33
2015-04-01,192.79
2015-07-01,194.08
2015-10-01,196.59
2016-01-01,195.05
2016-04-01,199.65
2016-07-01,202.54
2016-10-01,204.74
2017-01-01,207.23
2017-04-01,211.18
2017-07-01,213.55
2017-10-01,215.12
2018-01-01,219.57
2018-04-01,223.05
2018-07-01,224.91
2018-10-01,226.75
2019-01-01,228.2
2019-04-01,233.32
2019-07-01,235.69
2019-10-01,237.37
2020-01-01,239.14
2020-04-01,242.38
2020-07-01,246.82
2020-10-01,252.16
2021-01-01,257.2
2021-04-01,270.6
