DATE,ATNHPIUS40340Q
1983-04-01,69.11
1983-07-01,75.21
1983-10-01,76.56
1984-01-01,74.26
1984-04-01,74.32
1984-07-01,76.45
1984-10-01,75.73
1985-01-01,76.1
1985-04-01,78.8
1985-07-01,79.23
1985-10-01,79.01
1986-01-01,79.45
1986-04-01,79.9
1986-07-01,78.74
1986-10-01,79.4
1987-01-01,81.84
1987-04-01,81.13
1987-07-01,81.38
1987-10-01,79.97
1988-01-01,80.71
1988-04-01,82.33
1988-07-01,82.32
1988-10-01,82.78
1989-01-01,86.22
1989-04-01,86.99
1989-07-01,87.38
1989-10-01,85.87
1990-01-01,89.09
1990-04-01,89.57
1990-07-01,90.3
1990-10-01,90.51
1991-01-01,90.98
1991-04-01,92.64
1991-07-01,93.75
1991-10-01,94.36
1992-01-01,94.87
1992-04-01,96.48
1992-07-01,96.93
1992-10-01,97.22
1993-01-01,98.89
1993-04-01,99.13
1993-07-01,99.44
1993-10-01,100.29
1994-01-01,101.04
1994-04-01,100.61
1994-07-01,99.67
1994-10-01,98.41
1995-01-01,100.00
1995-04-01,101.64
1995-07-01,103.18
1995-10-01,103.99
1996-01-01,106.1
1996-04-01,104.71
1996-07-01,106.37
1996-10-01,107.32
1997-01-01,107.25
1997-04-01,109.31
1997-07-01,111.08
1997-10-01,112.72
1998-01-01,114.3
1998-04-01,115.85
1998-07-01,118.56
1998-10-01,119.34
1999-01-01,122
1999-04-01,126.26
1999-07-01,129.68
1999-10-01,131.79
2000-01-01,133.86
2000-04-01,138.78
2000-07-01,142.11
2000-10-01,143.01
2001-01-01,147.48
2001-04-01,149.9
2001-07-01,153.08
2001-10-01,154.46
2002-01-01,155.87
2002-04-01,157.73
2002-07-01,160.23
2002-10-01,161.65
2003-01-01,162.89
2003-04-01,163.58
2003-07-01,165.9
2003-10-01,168.69
2004-01-01,170.37
2004-04-01,170.27
2004-07-01,173.89
2004-10-01,176.12
2005-01-01,177.38
2005-04-01,180.68
2005-07-01,183.56
2005-10-01,183.34
2006-01-01,182.33
2006-04-01,181.73
2006-07-01,184.59
2006-10-01,183.55
2007-01-01,183.63
2007-04-01,183.18
2007-07-01,183.57
2007-10-01,182.11
2008-01-01,186.23
2008-04-01,181.67
2008-07-01,179.26
2008-10-01,180.05
2009-01-01,182.68
2009-04-01,179.82
2009-07-01,177.32
2009-10-01,174.84
2010-01-01,172.15
2010-04-01,170.7
2010-07-01,173.52
2010-10-01,171.55
2011-01-01,167.72
2011-04-01,166.69
2011-07-01,169.34
2011-10-01,169.92
2012-01-01,168.25
2012-04-01,167.77
2012-07-01,170.79
2012-10-01,171.75
2013-01-01,171.97
2013-04-01,172.97
2013-07-01,174.7
2013-10-01,172.82
2014-01-01,174.64
2014-04-01,178.92
2014-07-01,179.79
2014-10-01,178.59
2015-01-01,179.75
2015-04-01,183.89
2015-07-01,186.14
2015-10-01,189.48
2016-01-01,188.48
2016-04-01,193.91
2016-07-01,200.12
2016-10-01,199.51
2017-01-01,205.88
2017-04-01,210.72
2017-07-01,214.19
2017-10-01,213.22
2018-01-01,218.85
2018-04-01,221.65
2018-07-01,225.23
2018-10-01,226.18
2019-01-01,229.75
2019-04-01,232.48
2019-07-01,234.13
2019-10-01,235.36
2020-01-01,238.07
2020-04-01,239.96
2020-07-01,245.88
2020-10-01,250.37
2021-01-01,253.59
2021-04-01,267.58
