DATE,ATNHPIUS40380Q
1978-10-01,44.22
1979-01-01,48.74
1979-04-01,47.2
1979-07-01,50.56
1979-10-01,49.63
1980-01-01,49.48
1980-04-01,51.32
1980-07-01,54.3
1980-10-01,52.48
1981-01-01,52.06
1981-04-01,55.59
1981-07-01,57.32
1981-10-01,54.89
1982-01-01,53.7
1982-04-01,58.37
1982-07-01,60.02
1982-10-01,62.1
1983-01-01,63.22
1983-04-01,64.49
1983-07-01,65.88
1983-10-01,69.13
1984-01-01,68.21
1984-04-01,72.8
1984-07-01,72.56
1984-10-01,73.33
1985-01-01,75.18
1985-04-01,76.23
1985-07-01,79.12
1985-10-01,79.66
1986-01-01,81.64
1986-04-01,83.46
1986-07-01,84.09
1986-10-01,86.74
1987-01-01,87.8
1987-04-01,90.15
1987-07-01,91.68
1987-10-01,91.89
1988-01-01,93.06
1988-04-01,94.68
1988-07-01,95.1
1988-10-01,95.58
1989-01-01,95.88
1989-04-01,96.98
1989-07-01,98.45
1989-10-01,98.73
1990-01-01,98.54
1990-04-01,98.47
1990-07-01,98.6
1990-10-01,98.25
1991-01-01,98.34
1991-04-01,99.95
1991-07-01,99.77
1991-10-01,100.48
1992-01-01,101.87
1992-04-01,101.5
1992-07-01,102.59
1992-10-01,103.19
1993-01-01,102.55
1993-04-01,103.79
1993-07-01,104.23
1993-10-01,104.25
1994-01-01,104.01
1994-04-01,102.43
1994-07-01,101.6
1994-10-01,100.07
1995-01-01,100.00
1995-04-01,101.23
1995-07-01,102.19
1995-10-01,102.43
1996-01-01,103.65
1996-04-01,102.86
1996-07-01,101.7
1996-10-01,101.53
1997-01-01,101.99
1997-04-01,101.74
1997-07-01,102.45
1997-10-01,103.42
1998-01-01,104.76
1998-04-01,105.02
1998-07-01,105.03
1998-10-01,106.36
1999-01-01,106.63
1999-04-01,106.74
1999-07-01,106.71
1999-10-01,106.64
2000-01-01,105.86
2000-04-01,108.16
2000-07-01,109.03
2000-10-01,109.73
2001-01-01,110.64
2001-04-01,112.01
2001-07-01,113.17
2001-10-01,113.89
2002-01-01,114.93
2002-04-01,115.77
2002-07-01,116.99
2002-10-01,117.91
2003-01-01,119.16
2003-04-01,119.86
2003-07-01,121.77
2003-10-01,123.26
2004-01-01,124.15
2004-04-01,126.19
2004-07-01,127.39
2004-10-01,128.53
2005-01-01,128.12
2005-04-01,131.33
2005-07-01,133.86
2005-10-01,133.89
2006-01-01,133.04
2006-04-01,134.71
2006-07-01,135.78
2006-10-01,135.48
2007-01-01,135.38
2007-04-01,137.58
2007-07-01,137.31
2007-10-01,136.97
2008-01-01,138.7
2008-04-01,139.27
2008-07-01,138.19
2008-10-01,138.01
2009-01-01,140.6
2009-04-01,139.86
2009-07-01,139.33
2009-10-01,139.3
2010-01-01,139.63
2010-04-01,138.29
2010-07-01,140.25
2010-10-01,140.38
2011-01-01,139.21
2011-04-01,137.63
2011-07-01,139.37
2011-10-01,139.49
2012-01-01,139.48
2012-04-01,139.06
2012-07-01,139.62
2012-10-01,140.26
2013-01-01,140.39
2013-04-01,140.53
2013-07-01,141.48
2013-10-01,139.49
2014-01-01,139.34
2014-04-01,142.56
2014-07-01,143.05
2014-10-01,142.59
2015-01-01,142.95
2015-04-01,144.42
2015-07-01,146.63
2015-10-01,146.07
2016-01-01,145.55
2016-04-01,148.63
2016-07-01,149.56
2016-10-01,149.85
2017-01-01,149.54
2017-04-01,153.17
2017-07-01,156.19
2017-10-01,156.97
2018-01-01,156.83
2018-04-01,161.67
2018-07-01,164.14
2018-10-01,163.77
2019-01-01,164.76
2019-04-01,168.8
2019-07-01,170.35
2019-10-01,171.14
2020-01-01,173.59
2020-04-01,175.79
2020-07-01,180.94
2020-10-01,184.47
2021-01-01,187.93
2021-04-01,199.07
