DATE,ATNHPIUS40900Q
1976-04-01,27.8
1976-07-01,30.22
1976-10-01,30.55
1977-01-01,24.24
1977-04-01,26.66
1977-07-01,34.7
1977-10-01,35.57
1978-01-01,37.61
1978-04-01,39.3
1978-07-01,40.95
1978-10-01,43.45
1979-01-01,45.04
1979-04-01,47.77
1979-07-01,49.47
1979-10-01,50.09
1980-01-01,51.76
1980-04-01,53.25
1980-07-01,54.44
1980-10-01,55.96
1981-01-01,56.68
1981-04-01,58.7
1981-07-01,61.64
1981-10-01,64.43
1982-01-01,60.05
1982-04-01,57.45
1982-07-01,57.67
1982-10-01,62.67
1983-01-01,61.29
1983-04-01,61.3
1983-07-01,59.51
1983-10-01,60.63
1984-01-01,60.65
1984-04-01,61.62
1984-07-01,61.55
1984-10-01,61.66
1985-01-01,63.06
1985-04-01,63.72
1985-07-01,64.53
1985-10-01,64.9
1986-01-01,65.77
1986-04-01,66.96
1986-07-01,67.48
1986-10-01,69.03
1987-01-01,70.52
1987-04-01,71.42
1987-07-01,72.26
1987-10-01,73.55
1988-01-01,74.82
1988-04-01,76.63
1988-07-01,79.16
1988-10-01,80.99
1989-01-01,82.84
1989-04-01,86.91
1989-07-01,92.21
1989-10-01,96.54
1990-01-01,101.79
1990-04-01,108.12
1990-07-01,113.38
1990-10-01,114.2
1991-01-01,115.52
1991-04-01,115.61
1991-07-01,114.78
1991-10-01,115.18
1992-01-01,114.4
1992-04-01,113.03
1992-07-01,112.64
1992-10-01,111.47
1993-01-01,109.88
1993-04-01,109.13
1993-07-01,108.55
1993-10-01,107.87
1994-01-01,106.79
1994-04-01,104
1994-07-01,101.93
1994-10-01,100.84
1995-01-01,100.00
1995-04-01,100.87
1995-07-01,102.12
1995-10-01,101.73
1996-01-01,101.86
1996-04-01,100.11
1996-07-01,99.34
1996-10-01,99.52
1997-01-01,99.82
1997-04-01,100.12
1997-07-01,101.79
1997-10-01,103.6
1998-01-01,105
1998-04-01,105.54
1998-07-01,107.41
1998-10-01,109.03
1999-01-01,110.26
1999-04-01,111.62
1999-07-01,113.56
1999-10-01,115.46
2000-01-01,120.96
2000-04-01,123.44
2000-07-01,128.28
2000-10-01,132.25
2001-01-01,138.3
2001-04-01,144.21
2001-07-01,149.31
2001-10-01,152.09
2002-01-01,155.52
2002-04-01,161.55
2002-07-01,168.6
2002-10-01,173.48
2003-01-01,177.72
2003-04-01,181.49
2003-07-01,187.67
2003-10-01,199.18
2004-01-01,204.96
2004-04-01,218.06
2004-07-01,239.37
2004-10-01,248.85
2005-01-01,260.55
2005-04-01,275.75
2005-07-01,287.25
2005-10-01,293.81
2006-01-01,291.78
2006-04-01,288.57
2006-07-01,284.77
2006-10-01,280.77
2007-01-01,273.81
2007-04-01,265.82
2007-07-01,252.41
2007-10-01,242.14
2008-01-01,230.19
2008-04-01,211.17
2008-07-01,196.43
2008-10-01,190.53
2009-01-01,192.26
2009-04-01,183.67
2009-07-01,176.74
2009-10-01,174.45
2010-01-01,171.63
2010-04-01,168.12
2010-07-01,168.88
2010-10-01,166.06
2011-01-01,157.27
2011-04-01,153.49
2011-07-01,153.62
2011-10-01,154.36
2012-01-01,152.97
2012-04-01,152.55
2012-07-01,156.64
2012-10-01,161.36
2013-01-01,166.79
2013-04-01,177.69
2013-07-01,190.2
2013-10-01,196.47
2014-01-01,199.58
2014-04-01,204.68
2014-07-01,208.67
2014-10-01,210.49
2015-01-01,212.37
2015-04-01,217.6
2015-07-01,222.97
2015-10-01,225.36
2016-01-01,228.98
2016-04-01,234.58
2016-07-01,239.73
2016-10-01,243.56
2017-01-01,248.81
2017-04-01,255.74
2017-07-01,261.44
2017-10-01,265.29
2018-01-01,269.59
2018-04-01,274.69
2018-07-01,278.38
2018-10-01,277.93
2019-01-01,280.03
2019-04-01,283.71
2019-07-01,288.01
2019-10-01,289.38
2020-01-01,292.74
2020-04-01,296.35
2020-07-01,301.27
2020-10-01,310.12
2021-01-01,319.85
2021-04-01,340.68
