DATE,ATNHPIUS41620Q
1977-01-01,34.87
1977-04-01,36.36
1977-07-01,37.75
1977-10-01,38.79
1978-01-01,41.02
1978-04-01,41.99
1978-07-01,44.6
1978-10-01,45.28
1979-01-01,48.6
1979-04-01,50.22
1979-07-01,49.87
1979-10-01,51.35
1980-01-01,50.8
1980-04-01,48.9
1980-07-01,53.22
1980-10-01,52.68
1981-01-01,55.3
1981-04-01,54.9
1981-07-01,53.79
1981-10-01,57.61
1982-01-01,55.99
1982-04-01,56.77
1982-07-01,56.27
1982-10-01,57.19
1983-01-01,58.58
1983-04-01,58.7
1983-07-01,58.69
1983-10-01,59.85
1984-01-01,59.68
1984-04-01,59.75
1984-07-01,62.1
1984-10-01,59.21
1985-01-01,61.2
1985-04-01,62.14
1985-07-01,61.18
1985-10-01,60.95
1986-01-01,63.46
1986-04-01,63.55
1986-07-01,62.71
1986-10-01,63.03
1987-01-01,63.42
1987-04-01,63.25
1987-07-01,61.11
1987-10-01,59.76
1988-01-01,60.02
1988-04-01,59.87
1988-07-01,59.84
1988-10-01,58.32
1989-01-01,59.23
1989-04-01,59.33
1989-07-01,60.79
1989-10-01,60.46
1990-01-01,60.94
1990-04-01,61.66
1990-07-01,62.69
1990-10-01,62.78
1991-01-01,64.5
1991-04-01,66.1
1991-07-01,65.95
1991-10-01,67.58
1992-01-01,68.67
1992-04-01,70.21
1992-07-01,71.4
1992-10-01,73.45
1993-01-01,75.37
1993-04-01,77.52
1993-07-01,80.76
1993-10-01,83.95
1994-01-01,87.74
1994-04-01,92.82
1994-07-01,96.15
1994-10-01,98.22
1995-01-01,100.00
1995-04-01,103.21
1995-07-01,106.93
1995-10-01,108.94
1996-01-01,111.22
1996-04-01,113.13
1996-07-01,115.3
1996-10-01,117.54
1997-01-01,119.44
1997-04-01,120.14
1997-07-01,122.22
1997-10-01,124.43
1998-01-01,126.08
1998-04-01,127.31
1998-07-01,128.34
1998-10-01,129.65
1999-01-01,130.42
1999-04-01,129.88
1999-07-01,128.74
1999-10-01,129.14
2000-01-01,130.06
2000-04-01,130.35
2000-07-01,131.41
2000-10-01,133.29
2001-01-01,136.27
2001-04-01,136.59
2001-07-01,137
2001-10-01,138.15
2002-01-01,138.32
2002-04-01,138.22
2002-07-01,139.98
2002-10-01,140.57
2003-01-01,140.91
2003-04-01,141.46
2003-07-01,141.99
2003-10-01,142.51
2004-01-01,143.99
2004-04-01,145.42
2004-07-01,147.61
2004-10-01,149.81
2005-01-01,152.16
2005-04-01,157.33
2005-07-01,162.88
2005-10-01,169.24
2006-01-01,175.67
2006-04-01,185.95
2006-07-01,195.46
2006-10-01,202.76
2007-01-01,209.18
2007-04-01,214.53
2007-07-01,217.51
2007-10-01,218.78
2008-01-01,217.7
2008-04-01,213.82
2008-07-01,207.79
2008-10-01,206.8
2009-01-01,204.69
2009-04-01,196.09
2009-07-01,187.74
2009-10-01,186.02
2010-01-01,183.42
2010-04-01,180.42
2010-07-01,182.1
2010-10-01,181.22
2011-01-01,173.87
2011-04-01,170.88
2011-07-01,172.77
2011-10-01,173.73
2012-01-01,173.61
2012-04-01,172.98
2012-07-01,177.59
2012-10-01,180.65
2013-01-01,182.9
2013-04-01,188.99
2013-07-01,193.51
2013-10-01,196.78
2014-01-01,197.94
2014-04-01,201.87
2014-07-01,204.12
2014-10-01,206.08
2015-01-01,207.43
2015-04-01,211.33
2015-07-01,215.85
2015-10-01,218.56
2016-01-01,221.82
2016-04-01,227.24
2016-07-01,232.82
2016-10-01,235.87
2017-01-01,240.57
2017-04-01,249.32
2017-07-01,254.4
2017-10-01,257.48
2018-01-01,263.62
2018-04-01,272.49
2018-07-01,278.18
2018-10-01,281.44
2019-01-01,285.34
2019-04-01,291.95
2019-07-01,296.32
2019-10-01,300.52
2020-01-01,304.26
2020-04-01,310.5
2020-07-01,317.81
2020-10-01,328.27
2021-01-01,339.81
2021-04-01,371.61
