DATE,ATNHPIUS41700Q
1979-04-01,65.33
1979-07-01,66.84
1979-10-01,70.28
1980-01-01,73.65
1980-04-01,76.51
1980-07-01,73.24
1980-10-01,73.61
1981-01-01,77.52
1981-04-01,77.67
1981-07-01,84.06
1981-10-01,99.86
1982-01-01,100.37
1982-04-01,88.4
1982-07-01,86.99
1982-10-01,84.92
1983-01-01,91.2
1983-04-01,94.92
1983-07-01,96.5
1983-10-01,94.98
1984-01-01,93.96
1984-04-01,97.18
1984-07-01,108.68
1984-10-01,108.86
1985-01-01,95.52
1985-04-01,99.04
1985-07-01,97.92
1985-10-01,99.74
1986-01-01,102.85
1986-04-01,103.69
1986-07-01,102.81
1986-10-01,101.33
1987-01-01,100.7
1987-04-01,99.11
1987-07-01,95.78
1987-10-01,90.66
1988-01-01,88.16
1988-04-01,89.68
1988-07-01,88.17
1988-10-01,85.66
1989-01-01,83.8
1989-04-01,83.7
1989-07-01,87.06
1989-10-01,84.81
1990-01-01,83.14
1990-04-01,82.59
1990-07-01,85.18
1990-10-01,83.93
1991-01-01,84.17
1991-04-01,85.33
1991-07-01,85.79
1991-10-01,86.82
1992-01-01,89.06
1992-04-01,89.74
1992-07-01,90.9
1992-10-01,92.22
1993-01-01,93.78
1993-04-01,95.12
1993-07-01,96.79
1993-10-01,98.28
1994-01-01,99.39
1994-04-01,99.88
1994-07-01,99.72
1994-10-01,98.52
1995-01-01,100.00
1995-04-01,102.01
1995-07-01,103.66
1995-10-01,104.24
1996-01-01,105.43
1996-04-01,103.75
1996-07-01,102.19
1996-10-01,102.86
1997-01-01,103.59
1997-04-01,103.03
1997-07-01,104.34
1997-10-01,105.36
1998-01-01,107.26
1998-04-01,107.3
1998-07-01,108.31
1998-10-01,108.7
1999-01-01,109.4
1999-04-01,110.14
1999-07-01,111.4
1999-10-01,111.8
2000-01-01,113.05
2000-04-01,114.13
2000-07-01,114.25
2000-10-01,116.85
2001-01-01,119.16
2001-04-01,120.06
2001-07-01,120.93
2001-10-01,122.66
2002-01-01,123.76
2002-04-01,124.66
2002-07-01,126.4
2002-10-01,127.58
2003-01-01,128.82
2003-04-01,131.29
2003-07-01,131.23
2003-10-01,133.57
2004-01-01,133.83
2004-04-01,135.75
2004-07-01,139.26
2004-10-01,139.43
2005-01-01,141.78
2005-04-01,146.04
2005-07-01,148.46
2005-10-01,152.2
2006-01-01,154.55
2006-04-01,157.75
2006-07-01,161.24
2006-10-01,164.03
2007-01-01,168.53
2007-04-01,170.75
2007-07-01,172.12
2007-10-01,173.84
2008-01-01,173.54
2008-04-01,174.28
2008-07-01,172.13
2008-10-01,170.69
2009-01-01,175.27
2009-04-01,174.72
2009-07-01,172.13
2009-10-01,170.9
2010-01-01,169.8
2010-04-01,168.07
2010-07-01,170.22
2010-10-01,171.85
2011-01-01,169.74
2011-04-01,169.65
2011-07-01,170.45
2011-10-01,169.64
2012-01-01,169.78
2012-04-01,172.72
2012-07-01,171.7
2012-10-01,175.35
2013-01-01,174.16
2013-04-01,175.58
2013-07-01,176.68
2013-10-01,179.5
2014-01-01,182.27
2014-04-01,184.72
2014-07-01,189.48
2014-10-01,190.05
2015-01-01,194.08
2015-04-01,199.72
2015-07-01,203.14
2015-10-01,202.36
2016-01-01,207.88
2016-04-01,210
2016-07-01,215.62
2016-10-01,217.29
2017-01-01,220.06
2017-04-01,225.97
2017-07-01,228.56
2017-10-01,231.66
2018-01-01,232.35
2018-04-01,238.37
2018-07-01,241.53
2018-10-01,244.95
2019-01-01,247.21
2019-04-01,252.16
2019-07-01,256.59
2019-10-01,257.61
2020-01-01,261.22
2020-04-01,262.36
2020-07-01,266.63
2020-10-01,273.08
2021-01-01,278.38
2021-04-01,290.55
