DATE,ATNHPIUS41740Q
1975-10-01,25.19
1976-01-01,28.08
1976-04-01,27.31
1976-07-01,28.06
1976-10-01,29.35
1977-01-01,30.38
1977-04-01,32.84
1977-07-01,35.55
1977-10-01,38.29
1978-01-01,39.92
1978-04-01,41.7
1978-07-01,43.5
1978-10-01,45.28
1979-01-01,47.91
1979-04-01,50.51
1979-07-01,52.77
1979-10-01,54.26
1980-01-01,54.94
1980-04-01,55.79
1980-07-01,56.85
1980-10-01,51.88
1981-01-01,57.17
1981-04-01,59.12
1981-07-01,60.51
1981-10-01,56.07
1982-01-01,57.63
1982-04-01,52.38
1982-07-01,52.92
1982-10-01,59.37
1983-01-01,57.77
1983-04-01,57.42
1983-07-01,60.14
1983-10-01,60.82
1984-01-01,61.29
1984-04-01,61.71
1984-07-01,62.43
1984-10-01,63.35
1985-01-01,63.56
1985-04-01,64.6
1985-07-01,66
1985-10-01,66.12
1986-01-01,67.49
1986-04-01,68.42
1986-07-01,70.1
1986-10-01,71.27
1987-01-01,72.93
1987-04-01,74.6
1987-07-01,76.45
1987-10-01,78.18
1988-01-01,80.42
1988-04-01,82.94
1988-07-01,86.63
1988-10-01,91.93
1989-01-01,96.76
1989-04-01,101.58
1989-07-01,106.7
1989-10-01,109.68
1990-01-01,110.94
1990-04-01,111.15
1990-07-01,112.36
1990-10-01,111.27
1991-01-01,111.29
1991-04-01,110.57
1991-07-01,110.51
1991-10-01,111.09
1992-01-01,110.77
1992-04-01,109.83
1992-07-01,109.59
1992-10-01,108.62
1993-01-01,107.29
1993-04-01,106.37
1993-07-01,105.51
1993-10-01,105.25
1994-01-01,104.31
1994-04-01,102.28
1994-07-01,101.29
1994-10-01,100.35
1995-01-01,100.00
1995-04-01,100.68
1995-07-01,101.72
1995-10-01,101.68
1996-01-01,101.74
1996-04-01,100.13
1996-07-01,100.12
1996-10-01,101.04
1997-01-01,101.2
1997-04-01,102.14
1997-07-01,104.26
1997-10-01,105.8
1998-01-01,108.41
1998-04-01,111.57
1998-07-01,115.28
1998-10-01,117.74
1999-01-01,119.93
1999-04-01,122.39
1999-07-01,126.49
1999-10-01,129.97
2000-01-01,136.62
2000-04-01,140.74
2000-07-01,145.54
2000-10-01,150.05
2001-01-01,154.93
2001-04-01,159.26
2001-07-01,163.84
2001-10-01,167.62
2002-01-01,173.46
2002-04-01,181.61
2002-07-01,190.07
2002-10-01,196.52
2003-01-01,202.43
2003-04-01,207.07
2003-07-01,214.55
2003-10-01,229.67
2004-01-01,238.88
2004-04-01,254.32
2004-07-01,283.13
2004-10-01,292.05
2005-01-01,301.11
2005-04-01,309.47
2005-07-01,316.71
2005-10-01,323.69
2006-01-01,324.8
2006-04-01,323.3
2006-07-01,322.19
2006-10-01,318.73
2007-01-01,313.41
2007-04-01,307.14
2007-07-01,297.02
2007-10-01,287.72
2008-01-01,274.17
2008-04-01,254.42
2008-07-01,237.79
2008-10-01,231.53
2009-01-01,231.4
2009-04-01,223.15
2009-07-01,219.23
2009-10-01,222.67
2010-01-01,222.01
2010-04-01,221.61
2010-07-01,223.74
2010-10-01,222.69
2011-01-01,216.06
2011-04-01,211.15
2011-07-01,213.26
2011-10-01,213.09
2012-01-01,211.61
2012-04-01,211.46
2012-07-01,215.86
2012-10-01,220.26
2013-01-01,224.8
2013-04-01,235.76
2013-07-01,248.02
2013-10-01,255.01
2014-01-01,258.78
2014-04-01,263.93
2014-07-01,266.88
2014-10-01,269.66
2015-01-01,272
2015-04-01,276.56
2015-07-01,282.91
2015-10-01,286.62
2016-01-01,290.4
2016-04-01,295
2016-07-01,300.87
2016-10-01,305.14
2017-01-01,309.42
2017-04-01,316.79
2017-07-01,323.01
2017-10-01,327.09
2018-01-01,332.32
2018-04-01,337.91
2018-07-01,340.27
2018-10-01,341.28
2019-01-01,341.87
2019-04-01,345.43
2019-07-01,349.25
2019-10-01,351.9
2020-01-01,355.64
2020-04-01,360.7
2020-07-01,366.11
2020-10-01,373.7
2021-01-01,385.04
2021-04-01,407.88
