DATE,ATNHPIUS42140Q
1983-10-01,52.64
1984-01-01,54.47
1984-04-01,52.27
1984-07-01,54.06
1984-10-01,58.52
1985-01-01,58.52
1985-04-01,56.56
1985-07-01,55.1
1985-10-01,57.98
1986-01-01,55.67
1986-04-01,58.09
1986-07-01,57.7
1986-10-01,58.76
1987-01-01,58.73
1987-04-01,58.43
1987-07-01,56.43
1987-10-01,58.85
1988-01-01,58.09
1988-04-01,58.09
1988-07-01,62.33
1988-10-01,61
1989-01-01,60.27
1989-04-01,63.74
1989-07-01,63.13
1989-10-01,66.41
1990-01-01,65.29
1990-04-01,67.31
1990-07-01,69.71
1990-10-01,72.66
1991-01-01,71.2
1991-04-01,73.23
1991-07-01,74.39
1991-10-01,75.92
1992-01-01,77.94
1992-04-01,78.99
1992-07-01,79.98
1992-10-01,82.07
1993-01-01,84.68
1993-04-01,85.82
1993-07-01,88.02
1993-10-01,89.79
1994-01-01,93.85
1994-04-01,95
1994-07-01,95.2
1994-10-01,98
1995-01-01,100.00
1995-04-01,102.16
1995-07-01,102.68
1995-10-01,104.89
1996-01-01,104.55
1996-04-01,103.49
1996-07-01,102.11
1996-10-01,102.94
1997-01-01,103.66
1997-04-01,103.6
1997-07-01,104.52
1997-10-01,104.76
1998-01-01,107.07
1998-04-01,106.23
1998-07-01,107.7
1998-10-01,108.8
1999-01-01,110.46
1999-04-01,109.09
1999-07-01,109.88
1999-10-01,110.55
2000-01-01,110.74
2000-04-01,115.04
2000-07-01,114.67
2000-10-01,117.57
2001-01-01,120.78
2001-04-01,121.21
2001-07-01,122.9
2001-10-01,124.53
2002-01-01,125.98
2002-04-01,128.51
2002-07-01,131.13
2002-10-01,132.42
2003-01-01,136.04
2003-04-01,138.29
2003-07-01,141.56
2003-10-01,146.77
2004-01-01,149.37
2004-04-01,151.67
2004-07-01,157.38
2004-10-01,159.74
2005-01-01,165.57
2005-04-01,168.57
2005-07-01,175.72
2005-10-01,180.57
2006-01-01,182.34
2006-04-01,188.53
2006-07-01,193.04
2006-10-01,195.41
2007-01-01,196.95
2007-04-01,198.14
2007-07-01,199.16
2007-10-01,202.02
2008-01-01,198.88
2008-04-01,197.32
2008-07-01,191.97
2008-10-01,188.78
2009-01-01,190.44
2009-04-01,186.23
2009-07-01,181.3
2009-10-01,177.55
2010-01-01,174.55
2010-04-01,170.83
2010-07-01,172.24
2010-10-01,170.39
2011-01-01,165.23
2011-04-01,162.1
2011-07-01,163.87
2011-10-01,163.77
2012-01-01,161.65
2012-04-01,157.19
2012-07-01,158.68
2012-10-01,159.43
2013-01-01,158.99
2013-04-01,160.62
2013-07-01,159.59
2013-10-01,162.72
2014-01-01,160.26
2014-04-01,160.21
2014-07-01,162.92
2014-10-01,161.82
2015-01-01,163.69
2015-04-01,165.68
2015-07-01,170.95
2015-10-01,170.24
2016-01-01,169.59
2016-04-01,174.25
2016-07-01,176.89
2016-10-01,179.74
2017-01-01,175.68
2017-04-01,180.62
2017-07-01,183.31
2017-10-01,186.15
2018-01-01,188.76
2018-04-01,191.9
2018-07-01,197.12
2018-10-01,200.54
2019-01-01,201.13
2019-04-01,206.03
2019-07-01,213.13
2019-10-01,215.74
2020-01-01,217.57
2020-04-01,220.42
2020-07-01,225.5
2020-10-01,228.16
2021-01-01,235.39
2021-04-01,247.76
