DATE,ATNHPIUS42340Q
1984-01-01,72.42
1984-04-01,72.46
1984-07-01,59.66
1984-10-01,75.19
1985-01-01,73.47
1985-04-01,74.82
1985-07-01,75.59
1985-10-01,76.51
1986-01-01,77.14
1986-04-01,78.23
1986-07-01,80.37
1986-10-01,81.24
1987-01-01,80.84
1987-04-01,80.42
1987-07-01,82.11
1987-10-01,80.61
1988-01-01,80.23
1988-04-01,82.55
1988-07-01,83.6
1988-10-01,81.63
1989-01-01,81.54
1989-04-01,82.3
1989-07-01,83.29
1989-10-01,84.58
1990-01-01,85.06
1990-04-01,82.29
1990-07-01,84.19
1990-10-01,82.43
1991-01-01,83.71
1991-04-01,84.77
1991-07-01,86.86
1991-10-01,86.37
1992-01-01,86.66
1992-04-01,88.14
1992-07-01,90.96
1992-10-01,90.65
1993-01-01,90.03
1993-04-01,92.52
1993-07-01,94.23
1993-10-01,95.65
1994-01-01,96.92
1994-04-01,98.18
1994-07-01,96.32
1994-10-01,99.45
1995-01-01,100.00
1995-04-01,99.73
1995-07-01,102.9
1995-10-01,104.49
1996-01-01,104.47
1996-04-01,105
1996-07-01,106.88
1996-10-01,108.52
1997-01-01,109.84
1997-04-01,110.25
1997-07-01,112.07
1997-10-01,113.4
1998-01-01,115.95
1998-04-01,116.89
1998-07-01,118.13
1998-10-01,121.65
1999-01-01,122.15
1999-04-01,123.43
1999-07-01,125.65
1999-10-01,128.1
2000-01-01,130.1
2000-04-01,132.33
2000-07-01,132.65
2000-10-01,135.32
2001-01-01,139.27
2001-04-01,140.17
2001-07-01,142.3
2001-10-01,144.42
2002-01-01,147.82
2002-04-01,147.71
2002-07-01,151.11
2002-10-01,154.31
2003-01-01,156.43
2003-04-01,158.22
2003-07-01,160.62
2003-10-01,164.68
2004-01-01,167.79
2004-04-01,172.53
2004-07-01,180.45
2004-10-01,183.97
2005-01-01,188.44
2005-04-01,193.77
2005-07-01,201.35
2005-10-01,205.01
2006-01-01,211.94
2006-04-01,215.2
2006-07-01,218.36
2006-10-01,225.07
2007-01-01,229.04
2007-04-01,230.42
2007-07-01,230.08
2007-10-01,227.39
2008-01-01,229.6
2008-04-01,228.41
2008-07-01,220.47
2008-10-01,220.94
2009-01-01,225.5
2009-04-01,218.9
2009-07-01,210.66
2009-10-01,211.22
2010-01-01,202.14
2010-04-01,201.43
2010-07-01,202.26
2010-10-01,193.05
2011-01-01,193.37
2011-04-01,183.9
2011-07-01,183.44
2011-10-01,184.7
2012-01-01,177.88
2012-04-01,176.84
2012-07-01,176.83
2012-10-01,182.52
2013-01-01,181.89
2013-04-01,182.84
2013-07-01,187.1
2013-10-01,189.64
2014-01-01,188.9
2014-04-01,190
2014-07-01,197.63
2014-10-01,195.65
2015-01-01,194.96
2015-04-01,205.14
2015-07-01,205.93
2015-10-01,200.22
2016-01-01,206.28
2016-04-01,213.82
2016-07-01,212.86
2016-10-01,215.15
2017-01-01,218.65
2017-04-01,222.55
2017-07-01,224.21
2017-10-01,227.06
2018-01-01,225.87
2018-04-01,233.79
2018-07-01,239.73
2018-10-01,239.14
2019-01-01,241.42
2019-04-01,247.44
2019-07-01,253.59
2019-10-01,255.39
2020-01-01,256.22
2020-04-01,259.31
2020-07-01,265.62
2020-10-01,267.67
2021-01-01,274.72
2021-04-01,289.35
