DATE,ATNHPIUS42644Q
1975-07-01,20.78
1975-10-01,20.05
1976-01-01,21.81
1976-04-01,22.41
1976-07-01,23.9
1976-10-01,24.33
1977-01-01,25.42
1977-04-01,26.79
1977-07-01,28.7
1977-10-01,30.89
1978-01-01,32.54
1978-04-01,35.64
1978-07-01,37.78
1978-10-01,39.28
1979-01-01,39.99
1979-04-01,42.26
1979-07-01,43.4
1979-10-01,45.14
1980-01-01,46.38
1980-04-01,46.02
1980-07-01,47.71
1980-10-01,47.18
1981-01-01,45.03
1981-04-01,48.12
1981-07-01,48.97
1981-10-01,48.83
1982-01-01,38.97
1982-04-01,44.94
1982-07-01,43.79
1982-10-01,48.37
1983-01-01,48.43
1983-04-01,48.33
1983-07-01,48.62
1983-10-01,49.33
1984-01-01,49.61
1984-04-01,50.09
1984-07-01,50.64
1984-10-01,51.23
1985-01-01,51.64
1985-04-01,51.89
1985-07-01,52.41
1985-10-01,52.67
1986-01-01,53.12
1986-04-01,53.38
1986-07-01,54.08
1986-10-01,54.72
1987-01-01,55.58
1987-04-01,56.21
1987-07-01,56.98
1987-10-01,57.59
1988-01-01,58.9
1988-04-01,59.98
1988-07-01,61.33
1988-10-01,62.42
1989-01-01,64.88
1989-04-01,68.44
1989-07-01,71.85
1989-10-01,76.9
1990-01-01,84.06
1990-04-01,90.75
1990-07-01,92.42
1990-10-01,91.51
1991-01-01,91.86
1991-04-01,92.25
1991-07-01,92.39
1991-10-01,93.54
1992-01-01,93.56
1992-04-01,94.04
1992-07-01,94.87
1992-10-01,95.22
1993-01-01,95.32
1993-04-01,95.81
1993-07-01,96.51
1993-10-01,97.21
1994-01-01,98.16
1994-04-01,99.2
1994-07-01,99.23
1994-10-01,98.87
1995-01-01,100.00
1995-04-01,100.97
1995-07-01,101.98
1995-10-01,102.77
1996-01-01,103.65
1996-04-01,104.39
1996-07-01,105.05
1996-10-01,105.77
1997-01-01,107.43
1997-04-01,110.03
1997-07-01,112.48
1997-10-01,114.57
1998-01-01,117.24
1998-04-01,120.43
1998-07-01,123.58
1998-10-01,125.08
1999-01-01,127.16
1999-04-01,130.98
1999-07-01,134.29
1999-10-01,135.64
2000-01-01,139.73
2000-04-01,141.9
2000-07-01,143.93
2000-10-01,145.94
2001-01-01,149.29
2001-04-01,151.83
2001-07-01,153.83
2001-10-01,154.6
2002-01-01,156.54
2002-04-01,159.15
2002-07-01,160.91
2002-10-01,161.9
2003-01-01,163.37
2003-04-01,164.75
2003-07-01,166.6
2003-10-01,170.9
2004-01-01,173.1
2004-04-01,178.16
2004-07-01,185.4
2004-10-01,189.21
2005-01-01,195.32
2005-04-01,205.27
2005-07-01,213.5
2005-10-01,222.14
2006-01-01,230.78
2006-04-01,240.36
2006-07-01,248.04
2006-10-01,252.89
2007-01-01,258.44
2007-04-01,262.83
2007-07-01,263.75
2007-10-01,264.01
2008-01-01,262.24
2008-04-01,256.39
2008-07-01,248.11
2008-10-01,243.32
2009-01-01,240.41
2009-04-01,228.61
2009-07-01,220.68
2009-10-01,217.51
2010-01-01,213.9
2010-04-01,211.59
2010-07-01,211.05
2010-10-01,207.06
2011-01-01,199.87
2011-04-01,195.15
2011-07-01,195.97
2011-10-01,195.89
2012-01-01,193.18
2012-04-01,192.49
2012-07-01,196.75
2012-10-01,200.1
2013-01-01,202.32
2013-04-01,208.78
2013-07-01,216.03
2013-10-01,219.43
2014-01-01,222.57
2014-04-01,229.9
2014-07-01,235.43
2014-10-01,237.21
2015-01-01,240.5
2015-04-01,249.9
2015-07-01,258.05
2015-10-01,262.22
2016-01-01,269.41
2016-04-01,280.48
2016-07-01,289.03
2016-10-01,293.54
2017-01-01,301.64
2017-04-01,316.55
2017-07-01,326.08
2017-10-01,331.44
2018-01-01,340.5
2018-04-01,352.84
2018-07-01,353.89
2018-10-01,351.2
2019-01-01,353.7
2019-04-01,358.65
2019-07-01,361.44
2019-10-01,363.45
2020-01-01,368.91
2020-04-01,373.8
2020-07-01,380.89
2020-10-01,388.99
2021-01-01,397.43
2021-04-01,427.2
