DATE,ATNHPIUS41060Q
1987-10-01,78.24
1988-01-01,76.34
1988-04-01,80.89
1988-07-01,78.57
1988-10-01,77.64
1989-01-01,79.88
1989-04-01,82.57
1989-07-01,81.7
1989-10-01,82.24
1990-01-01,85.78
1990-04-01,83.92
1990-07-01,83
1990-10-01,85.64
1991-01-01,85.23
1991-04-01,86.82
1991-07-01,86.38
1991-10-01,88.8
1992-01-01,88.87
1992-04-01,89.35
1992-07-01,90.94
1992-10-01,91.72
1993-01-01,92.57
1993-04-01,93.75
1993-07-01,94.72
1993-10-01,96.26
1994-01-01,97.17
1994-04-01,99.52
1994-07-01,100.4
1994-10-01,100.38
1995-01-01,100.00
1995-04-01,104.17
1995-07-01,105.24
1995-10-01,105.24
1996-01-01,108.46
1996-04-01,109.15
1996-07-01,109.4
1996-10-01,110.59
1997-01-01,112.31
1997-04-01,114.26
1997-07-01,115.72
1997-10-01,117.63
1998-01-01,119.2
1998-04-01,118.96
1998-07-01,120.83
1998-10-01,122.07
1999-01-01,123.59
1999-04-01,125.93
1999-07-01,129.35
1999-10-01,129.45
2000-01-01,132.33
2000-04-01,136.29
2000-07-01,140.22
2000-10-01,142.63
2001-01-01,145.12
2001-04-01,147.88
2001-07-01,151.75
2001-10-01,153.97
2002-01-01,156.66
2002-04-01,160.98
2002-07-01,164.64
2002-10-01,166.34
2003-01-01,168.22
2003-04-01,172.01
2003-07-01,175.64
2003-10-01,181.22
2004-01-01,183.09
2004-04-01,187.76
2004-07-01,192.06
2004-10-01,194.09
2005-01-01,199.35
2005-04-01,203.05
2005-07-01,206.35
2005-10-01,209.96
2006-01-01,212.85
2006-04-01,212.02
2006-07-01,212.5
2006-10-01,212.68
2007-01-01,214.24
2007-04-01,215.52
2007-07-01,208.52
2007-10-01,206.87
2008-01-01,208.03
2008-04-01,203.25
2008-07-01,200.12
2008-10-01,199.86
2009-01-01,203.03
2009-04-01,197.79
2009-07-01,191.05
2009-10-01,187.31
2010-01-01,183.54
2010-04-01,183.8
2010-07-01,189.68
2010-10-01,187.65
2011-01-01,177.99
2011-04-01,177.85
2011-07-01,180.17
2011-10-01,181.14
2012-01-01,176.76
2012-04-01,174.86
2012-07-01,177.21
2012-10-01,178.17
2013-01-01,177.54
2013-04-01,178.84
2013-07-01,179.7
2013-10-01,180.37
2014-01-01,179.59
2014-04-01,184.77
2014-07-01,184.87
2014-10-01,187.43
2015-01-01,186.62
2015-04-01,190.8
2015-07-01,192.47
2015-10-01,191.73
2016-01-01,193.84
2016-04-01,196.91
2016-07-01,200.52
2016-10-01,200.75
2017-01-01,202
2017-04-01,207.96
2017-07-01,210.44
2017-10-01,213.93
2018-01-01,214.86
2018-04-01,219.56
2018-07-01,221.16
2018-10-01,220.38
2019-01-01,223.92
2019-04-01,227.08
2019-07-01,231.09
2019-10-01,231.32
2020-01-01,234.44
2020-04-01,235.73
2020-07-01,240.85
2020-10-01,244.53
2021-01-01,248.4
2021-04-01,261.87
