DATE,ATNHPIUS41100Q
1986-04-01,65.2
1986-07-01,65.5
1986-10-01,65.84
1987-01-01,68.19
1987-04-01,67.03
1987-07-01,64.96
1987-10-01,63.33
1988-01-01,67.15
1988-04-01,70.47
1988-07-01,63.02
1988-10-01,67.91
1989-01-01,67.07
1989-04-01,64.53
1989-07-01,66.49
1989-10-01,70.81
1990-01-01,65.61
1990-04-01,69.13
1990-07-01,67.91
1990-10-01,67.47
1991-01-01,69.91
1991-04-01,72.39
1991-07-01,70.93
1991-10-01,72.26
1992-01-01,72.35
1992-04-01,74.24
1992-07-01,74.77
1992-10-01,77.28
1993-01-01,78.95
1993-04-01,80.63
1993-07-01,83.74
1993-10-01,85.34
1994-01-01,89
1994-04-01,92.14
1994-07-01,94.3
1994-10-01,95.7
1995-01-01,100.00
1995-04-01,99.99
1995-07-01,102.57
1995-10-01,103.37
1996-01-01,106
1996-04-01,105.7
1996-07-01,106.78
1996-10-01,107.23
1997-01-01,108.16
1997-04-01,107.35
1997-07-01,109.45
1997-10-01,111.94
1998-01-01,111.67
1998-04-01,113.83
1998-07-01,112.71
1998-10-01,114.85
1999-01-01,114.47
1999-04-01,112.16
1999-07-01,111.16
1999-10-01,111.37
2000-01-01,111.04
2000-04-01,111.77
2000-07-01,112.15
2000-10-01,113.85
2001-01-01,115.9
2001-04-01,117.23
2001-07-01,115.67
2001-10-01,117.77
2002-01-01,117.11
2002-04-01,116.66
2002-07-01,118.78
2002-10-01,119.95
2003-01-01,120.48
2003-04-01,121.59
2003-07-01,121.75
2003-10-01,123.49
2004-01-01,125.68
2004-04-01,129.4
2004-07-01,136.37
2004-10-01,143.3
2005-01-01,150.29
2005-04-01,165.58
2005-07-01,181.06
2005-10-01,195.01
2006-01-01,205.82
2006-04-01,208.25
2006-07-01,211.91
2006-10-01,214.59
2007-01-01,214.14
2007-04-01,212.78
2007-07-01,209.43
2007-10-01,206.47
2008-01-01,203.57
2008-04-01,193.57
2008-07-01,179.28
2008-10-01,175.99
2009-01-01,173.67
2009-04-01,160.77
2009-07-01,151.61
2009-10-01,147.32
2010-01-01,142.25
2010-04-01,139.67
2010-07-01,138.74
2010-10-01,138.92
2011-01-01,131.98
2011-04-01,126.43
2011-07-01,130.78
2011-10-01,131.93
2012-01-01,133.82
2012-04-01,131.78
2012-07-01,136.03
2012-10-01,139.3
2013-01-01,140.38
2013-04-01,142.8
2013-07-01,148.53
2013-10-01,151.32
2014-01-01,151.84
2014-04-01,156.32
2014-07-01,159.52
2014-10-01,159.32
2015-01-01,162.64
2015-04-01,164.76
2015-07-01,167.42
2015-10-01,170.16
2016-01-01,173.45
2016-04-01,174.65
2016-07-01,178.75
2016-10-01,180.42
2017-01-01,181.21
2017-04-01,186.63
2017-07-01,191.59
2017-10-01,194.57
2018-01-01,200.1
2018-04-01,204
2018-07-01,207.95
2018-10-01,211.2
2019-01-01,216.38
2019-04-01,218.75
2019-07-01,222.62
2019-10-01,225.49
2020-01-01,229.35
2020-04-01,232.87
2020-07-01,238.28
2020-10-01,244.91
2021-01-01,258.11
2021-04-01,287.91
