DATE,ATNHPIUS44700Q
1977-04-01,34.97
1977-07-01,34.96
1977-10-01,38.85
1978-01-01,39.83
1978-04-01,41.5
1978-07-01,43.94
1978-10-01,46.05
1979-01-01,45.96
1979-04-01,48.86
1979-07-01,49.03
1979-10-01,49.29
1980-01-01,52.51
1980-04-01,52.33
1980-07-01,53.51
1980-10-01,57.78
1981-01-01,56.94
1981-04-01,57.69
1981-07-01,55.36
1981-10-01,61.63
1982-01-01,58.71
1982-04-01,61.56
1982-07-01,61.08
1982-10-01,59.71
1983-01-01,60.8
1983-04-01,61.53
1983-07-01,60.73
1983-10-01,59.84
1984-01-01,62.71
1984-04-01,61.2
1984-07-01,60.73
1984-10-01,61.14
1985-01-01,61.69
1985-04-01,63.98
1985-07-01,66.22
1985-10-01,66.27
1986-01-01,67.91
1986-04-01,69.46
1986-07-01,70.8
1986-10-01,71.51
1987-01-01,73.41
1987-04-01,74.49
1987-07-01,76.73
1987-10-01,78.69
1988-01-01,80.78
1988-04-01,82.7
1988-07-01,85.02
1988-10-01,87.48
1989-01-01,89.42
1989-04-01,94.57
1989-07-01,99.3
1989-10-01,103.8
1990-01-01,105.66
1990-04-01,108.4
1990-07-01,110.06
1990-10-01,110.07
1991-01-01,110.29
1991-04-01,109.75
1991-07-01,109.97
1991-10-01,110.44
1992-01-01,110.25
1992-04-01,109.27
1992-07-01,109.08
1992-10-01,109.09
1993-01-01,107.64
1993-04-01,107.55
1993-07-01,106.94
1993-10-01,106.6
1994-01-01,105.74
1994-04-01,103.68
1994-07-01,102.45
1994-10-01,101.07
1995-01-01,100.00
1995-04-01,100.7
1995-07-01,101.49
1995-10-01,101.47
1996-01-01,100.62
1996-04-01,98.95
1996-07-01,98.17
1996-10-01,98.6
1997-01-01,98.1
1997-04-01,98.51
1997-07-01,100.55
1997-10-01,100.91
1998-01-01,102.31
1998-04-01,103.01
1998-07-01,105.19
1998-10-01,107.46
1999-01-01,110.16
1999-04-01,111.25
1999-07-01,113.5
1999-10-01,115.42
2000-01-01,119.34
2000-04-01,123.57
2000-07-01,130.65
2000-10-01,136.9
2001-01-01,145.36
2001-04-01,153.39
2001-07-01,157.55
2001-10-01,157.89
2002-01-01,159.93
2002-04-01,163.64
2002-07-01,168.11
2002-10-01,172.54
2003-01-01,176.11
2003-04-01,178.74
2003-07-01,184.29
2003-10-01,192.76
2004-01-01,198.21
2004-04-01,207.72
2004-07-01,228.98
2004-10-01,240.9
2005-01-01,256.14
2005-04-01,275.11
2005-07-01,290.32
2005-10-01,303.55
2006-01-01,307.67
2006-04-01,307.23
2006-07-01,301.62
2006-10-01,299.24
2007-01-01,290.29
2007-04-01,281.95
2007-07-01,259.65
2007-10-01,239.69
2008-01-01,214.87
2008-04-01,181.85
2008-07-01,156.61
2008-10-01,148.45
2009-01-01,147.69
2009-04-01,140.62
2009-07-01,134.13
2009-10-01,134.64
2010-01-01,135.01
2010-04-01,133.15
2010-07-01,134.53
2010-10-01,132.48
2011-01-01,127.34
2011-04-01,124.14
2011-07-01,124.48
2011-10-01,123.7
2012-01-01,122.58
2012-04-01,123.62
2012-07-01,127.27
2012-10-01,131.32
2013-01-01,137.42
2013-04-01,147.85
2013-07-01,161.7
2013-10-01,170.07
2014-01-01,175.58
2014-04-01,180.44
2014-07-01,184.49
2014-10-01,187.65
2015-01-01,188.44
2015-04-01,193.09
2015-07-01,199.27
2015-10-01,203.25
2016-01-01,205.26
2016-04-01,210.29
2016-07-01,216.28
2016-10-01,219.67
2017-01-01,223.62
2017-04-01,229.75
2017-07-01,236.11
2017-10-01,239.62
2018-01-01,243.85
2018-04-01,250.92
2018-07-01,255.38
2018-10-01,257.4
2019-01-01,257.82
2019-04-01,261.76
2019-07-01,263.15
2019-10-01,265.76
2020-01-01,267.15
2020-04-01,270.43
2020-07-01,274.99
2020-10-01,283.28
2021-01-01,294.72
2021-04-01,317.83
