DATE,ATNHPIUS46060Q
1977-04-01,36.62
1977-07-01,37.38
1977-10-01,39.25
1978-01-01,40.42
1978-04-01,41.6
1978-07-01,45.72
1978-10-01,47.47
1979-01-01,51.18
1979-04-01,57.01
1979-07-01,55.62
1979-10-01,58.44
1980-01-01,60.4
1980-04-01,55.66
1980-07-01,63.82
1980-10-01,63.5
1981-01-01,62.78
1981-04-01,69.39
1981-07-01,68.58
1981-10-01,61.42
1982-01-01,56.55
1982-04-01,62.51
1982-07-01,64.41
1982-10-01,52.87
1983-01-01,68.71
1983-04-01,64.79
1983-07-01,64.65
1983-10-01,65.55
1984-01-01,64.64
1984-04-01,64.65
1984-07-01,67.68
1984-10-01,70.06
1985-01-01,70.98
1985-04-01,69.37
1985-07-01,71.79
1985-10-01,73.33
1986-01-01,73.29
1986-04-01,74.93
1986-07-01,75.96
1986-10-01,75.61
1987-01-01,77.68
1987-04-01,76.84
1987-07-01,77.21
1987-10-01,76.34
1988-01-01,77.59
1988-04-01,78.74
1988-07-01,77.98
1988-10-01,78.61
1989-01-01,77.43
1989-04-01,78.34
1989-07-01,79.66
1989-10-01,79.58
1990-01-01,78.67
1990-04-01,78.68
1990-07-01,80.24
1990-10-01,79.29
1991-01-01,80.3
1991-04-01,81.23
1991-07-01,81.44
1991-10-01,82.96
1992-01-01,83.44
1992-04-01,84.23
1992-07-01,84.83
1992-10-01,85.5
1993-01-01,86.15
1993-04-01,87.43
1993-07-01,88.29
1993-10-01,90.3
1994-01-01,92.85
1994-04-01,95.81
1994-07-01,97.86
1994-10-01,98.19
1995-01-01,100.00
1995-04-01,101.33
1995-07-01,102.64
1995-10-01,104.2
1996-01-01,105.17
1996-04-01,105.29
1996-07-01,105.37
1996-10-01,105.81
1997-01-01,106.98
1997-04-01,106.37
1997-07-01,108.3
1997-10-01,109.66
1998-01-01,110.58
1998-04-01,111.26
1998-07-01,112.42
1998-10-01,113.51
1999-01-01,114.38
1999-04-01,115.28
1999-07-01,116.04
1999-10-01,116.98
2000-01-01,119.14
2000-04-01,120.16
2000-07-01,121.59
2000-10-01,123.21
2001-01-01,126.07
2001-04-01,127.89
2001-07-01,129.83
2001-10-01,131.33
2002-01-01,133.22
2002-04-01,135.35
2002-07-01,138.1
2002-10-01,139.75
2003-01-01,141.75
2003-04-01,143.16
2003-07-01,145.9
2003-10-01,151.44
2004-01-01,153.28
2004-04-01,158.41
2004-07-01,166.84
2004-10-01,172.19
2005-01-01,179.29
2005-04-01,195.72
2005-07-01,209.24
2005-10-01,222.72
2006-01-01,228.06
2006-04-01,234.93
2006-07-01,237.23
2006-10-01,237.61
2007-01-01,237.38
2007-04-01,236.25
2007-07-01,232.71
2007-10-01,230.99
2008-01-01,226.35
2008-04-01,214.95
2008-07-01,203.84
2008-10-01,201.35
2009-01-01,198.89
2009-04-01,189.55
2009-07-01,183.75
2009-10-01,176.92
2010-01-01,173.23
2010-04-01,169.32
2010-07-01,168.5
2010-10-01,165.77
2011-01-01,156.03
2011-04-01,150.89
2011-07-01,149.9
2011-10-01,151.08
2012-01-01,147.39
2012-04-01,146.95
2012-07-01,149.6
2012-10-01,152.93
2013-01-01,153.49
2013-04-01,157.5
2013-07-01,158.34
2013-10-01,161.04
2014-01-01,164.83
2014-04-01,165.76
2014-07-01,168.04
2014-10-01,169.03
2015-01-01,169.23
2015-04-01,171.43
2015-07-01,172.02
2015-10-01,174.05
2016-01-01,176.32
2016-04-01,179.65
2016-07-01,181.92
2016-10-01,184.05
2017-01-01,187.28
2017-04-01,192.79
2017-07-01,196.69
2017-10-01,197.23
2018-01-01,200.38
2018-04-01,203.64
2018-07-01,208.15
2018-10-01,211.74
2019-01-01,214.46
2019-04-01,217.48
2019-07-01,221.23
2019-10-01,224.53
2020-01-01,228.44
2020-04-01,231.83
2020-07-01,237.54
2020-10-01,242.86
2021-01-01,253.04
2021-04-01,268.3
